Therapeutic,Format
Itanistomig,Bispecific Mixed Domains (VH-G1CH1-h)-H-gamma1_L-kappa-L-kappa)
Ivonescimab,Bispecific (G1-kappa_scFv)
Izalontamab,Bispecific Mixed mAb and scFv
Izuralimab,Bispecific Mixed mAb and scFv
Ledostomig,Bispecific Mixed mAb and scFv
Lofacimig,Bispecific Tandem VH Domains fused to G1 Constant Domain
Lomvastomig,Bispecific mAb with Domain Crossover
Lorigerlimab,Bispecific Mixed scFv (scFv-CH2-CH3-scFv)
Mipletamig,Bispecific Mixed scFv (scFv-CH2-CH3-scFv)
Nebratamig1,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 1)
Nebratamig2,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 2)
Nesfrotamig,Bispecific Mixed mAb and scFv
Nivatrotamab,Bispecific Mixed mAb and scFv
Obertamig,Bispecific Mixed mAb and scFv
Obrindatamab,Bispecific scFv with Domain Crossover
Ompekimig1,Trispecific Mixed mAb and scFv; Bispecific entry
Ompekimig2,Trispecific Mixed mAb and scFv; Monospecific entry
Opamistomig,Bispecific Mixed mAb and scFv
Opugotamig,Bispecific Mixed mAb and scFv ((G1_L-kappa)_scFvkh-G1(h-CH2-CH3))
Ozoralizumab,Bispecific Single Domains (VH-VH'-VH)
Pacanalotamab,Bispecific scFv
Pasotuxizumab,Bispecific scFv
Pasritamig,Bispecific Mixed Domains ((H-gamma1_L-kappa)_scFvkh-G1(h-CH2-CH3))
Pavurutamab,Bispecific scFv
Plamotamab,Bispecific Mixed mAb and scFv
Podentamig1,Trispecific Mixed scFv and Single Domains (VH-VH'-scFvhl); Bispecific entry
Podentamig2,Trispecific Mixed scFv and Single Domains (VH-VH'-scFvhl); Monospecific entry
Ragistomig,Bispecific (G1-scFv_L-kappa)
Ramantamig1,Trispecific Mixed mAb and scFv; Bispecific entry
Ramantamig2,Trispecific Mixed mAb and scFv; Monospecific entry
Rezetamig,Bispecific (half G4-kappa_G4(VH-h-CH2-CH3))
Silevimig,Bispecific ((G1_L-kappa)_scFv-G1(h-CH2-CH3))
Simridarlimab,Bispecific Mixed mAb/VH-VH-CH2-CH3
Solitomab,Bispecific scFv
Sonelokimab1,Trispecific Single Domains (VH-VH'-VH''); Bispecific Entry
Sonelokimab2,Trispecific Single Domains (VH-VH'-VH''); Monospecific Entry
Surovatamig,Bispecific Mixed Domains ((H-gamma4_L-kappa)_VH-G4(h-CH2-CH3))
Tarlatamab,Bispecific scFv
Tarperprumig,Bispecific Single Domains (VH-VH')
Tebotelimab,Bispecific scFv with Crossover
Tibulizumab,Bispecific Mixed mAb and scFv
Tidutamab,Bispecific Mixed mAb and scFv
Tixentamig,Bispecific Mixed Domains  (H-gamma1_L-kappa)_scFvhh-G1(h-CH2-CH3)
Tobemstomig,Bispecific mAb with Domain Crossover
Tovecimig,Bispecific Mixed mAb and scFv
Trevotamig,Bispecific Mixed Domains (H-gamma1_L-kappa-scFvhl)
Trontinemab,Bispecific Mixed Format with Domain Crossover
Umizortamig1,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 1)
Umizortamig2,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 2)
Velaprumig,Bispecific Mixed mAb and scFv
Vepsitamab,Bispecific (scFv-scFv-scFc)
Vibecotamab,Bispecific Mixed mAb and scFv
Vixtimotamab,Bispecific Homodimer (VK-VH-VL'-VH'; Tandem diabody)
Vobarilizumab,Bispecific Single Domains (VH-VH')
Vudalimab,Bispecific Mixed mAb and scFv
Xaluritamig,Bispecific Mixed mAb and scFv
Xirestomig,Bispecific (G1-scFv_L2 dimer)
