antibody_name,ada_value,has_numeric_ada,source_type,source_url_field,citation_urls_in_chain,pmids,evidence_quality,evidence_source,route_admin_hint_from_text,target_gene_or_moiety,indication_or_disease,dose_regimen_population_cycle,value_matches_source_verified_by_human,notes
Brolucizumab,Pre-existing ADA: 36–52% in treatment-naïve patients (HAWK/HARRIER trials),True,PMC article (Brolucizumab-related retinal vasculitis: emerging disconnect between clinical trials and real world),https://pmc.ncbi.nlm.nih.gov/articles/PMC8182886/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8182886/,,high,批量升级至A类标准,,,,,,
Budigalimab,1.80%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/41054153/,https://pubmed.ncbi.nlm.nih.gov/41054153/,41054153,medium,250抗体检索验证,,,,,,
Burosumab,Adults: 15% (20/131) ADA positive; Children 5-12 years: 19% (10/52); Children 1-4 years: 0% (0/13),True,FDA label (CRYSVITA® burosumab-twza),https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,,high,FDA标签验证升级,,,,,,
Cadonilimab,5.2%,False,PubMed,https://pmc.ncbi.nlm.nih.gov/articles/PMC10012886/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10012886/,,low,D类数值化升级,,,,,,
Camrelizumab,20.4% of patients had at least one ADA-positive sample (49 patients evaluated),True,PMC article (Phase I study of camrelizumab in patients with advanced solid tumors),https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,,high,批量升级至A类标准,,,,,,
Canakinumab,"1.5% (CAPS patients), 3.1% (SJIA patients)",True,FDA prescribing information (Ilaris label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125319s100lbl.pdf,,high,FDA标签验证升级,,,,,,
Caplacizumab,3% ADA incidence in main trial (range: 2.8%-9% across studies),True,New England Journal of Medicine (Caplacizumab Treatment for Acquired Thrombotic Thrombocytopenic Purpura),https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,,high,批量升级至A类标准,,,,,,
Cemiplimab,"1.9% (3 mg/kg q2w), 2.5% (350 mg q3w)",True,PubMed article (J Clin Pharmacol. 2024),https://pubmed.ncbi.nlm.nih.gov/37656820/,https://pubmed.ncbi.nlm.nih.gov/37656820/,,high,批量升级至A类标准,,,,,,
Certolizumab,5.1-6.1%,True,PMC PubMed Central article,https://pmc.ncbi.nlm.nih.gov/articles/PMC6883678/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6883678/,,high,PubMed验证升级,,,,,,
Cetuximab,5% (non-neutralizing antibodies),True,Frontiers in Immunology review article (2022),https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.885672/full,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.885672/full,,high,批量升级至A类标准,,,,,,
Cilgavimab,Cilgavimab: 4.1% ADA incidence (2/49 participants); AZD7442 combination: 6.1% TE-ADA positive (3/49 participants),True,"PubMed article (Safety, Tolerability, and Pharmacokinetics of the Long-Acting SARS-CoV-2-Neutralizing Monoclonal Antibody Combination AZD7442 in Healthy Chinese Adults)",https://pubmed.ncbi.nlm.nih.gov/40799036/,https://pubmed.ncbi.nlm.nih.gov/40799036/,,high,批量升级至A类标准,,,,,,
Clazakizumab,1.00%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/38995690/,https://pubmed.ncbi.nlm.nih.gov/38995690/,38995690,medium,250抗体检索验证,,,,,,
Clesrovimab,22.6%,True,FDA prescribing information,https://api.fda.gov/drug/label.json,https://api.fda.gov/drug/label.json,,high,250抗体检索验证,intravenous (mentioned in evidence text),,,,,
Crizanlizumab,0% ADA in main trial (no detectable antibody response); 1.6% (1/61) in healthy subject study,True,New England Journal of Medicine (Crizanlizumab for the Prevention of Pain Crises in Sickle Cell Disease),https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,,high,批量升级至A类标准,,,,,,
Daclizumab,≤12% (anti-daclizumab antibodies including neutralizing),True,PMC article (The Formulary Monograph Service),https://pmc.ncbi.nlm.nih.gov/articles/PMC5199226/,https://pmc.ncbi.nlm.nih.gov/articles/PMC5199226/,,medium,批量升级至A类标准,,,,,,
Daratumumab,0% (no ADA detected in two monotherapy trials),True,ScienceDirect review article (2022),https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,,high,批量升级至A类标准,,,,,,
Dazukibart,20.0%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/40401504/,https://pubmed.ncbi.nlm.nih.gov/40401504/,40401504,medium,250抗体检索验证,,,,,,
Denosumab,<1% (exact percentage not specified but below 1% threshold),True,"Springer Phase 3 clinical trial (Osteoporosis International, 2025)",https://link.springer.com/article/10.1007/s00198-025-07711-x,https://link.springer.com/article/10.1007/s00198-025-07711-x,,high,批量升级至A类标准,,,,,,
Depemokimab,95%,True,FDA prescribing information,https://api.fda.gov/drug/label.json,https://api.fda.gov/drug/label.json,,high,250抗体检索验证,,,,,,
Dinutuximab,Overall ADA incidence: 16.8-57.1% across studies; Neutralizing antibodies: 3.6-63.5% of ADA-positive patients,True,OncologyNewsCentral monograph,https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,,high,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Domvanalimab,17.2%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/40592848/,https://pubmed.ncbi.nlm.nih.gov/40592848/,40592848,medium,250抗体检索验证,,,,,,
Dostarlimab,2.5% treatment-emergent ADA incidence at recommended therapeutic dose,True,PMC article (An Integrated Analysis of Dostarlimab Immunogenicity),https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,,high,批量升级至A类标准,,,,,,
Dupilumab,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.74%,True,Journal of Allergy and Clinical Immunology: In Practice (Incidence of Anti-Drug Antibodies to Monoclonal Antibodies in Asthma),https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf;https://www.jaci-inpractice.org/article/S2213-2198(23,,high,批量升级至A类标准,,,,,,
Durvalumab,"0.8% (anti-drug antibodies), 0.8% (neutralizing antibodies)",True,Targeted Oncology review article (2023),https://link.springer.com/article/10.1007/s11523-023-01007-y,https://link.springer.com/article/10.1007/s11523-023-01007-y,,high,批量升级至A类标准,,,,,,
Ebronucimab,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,True,"Circulation abstract (The Safety, Pharmacokinetics, Pharmacodynamics and Immunogenicity of Ebronucimab in Healthy Volunteers: Result From a Phase I, Randomized, Double-Blind, Placebo-Controlled, Single Dose-Escalation Study)",https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,,medium-high,批量升级至A类标准,,,,,,
Ecromeximab,1.80%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/28489678/,https://pubmed.ncbi.nlm.nih.gov/28489678/,28489678,medium,250抗体检索验证,,,,,,
Eculizumab,<2% detection rate (clinical trials),True,Drugs.com professional monograph,https://www.drugs.com/monograph/eculizumab.html,https://www.drugs.com/monograph/eculizumab.html,,high,批量升级至A类标准,,,,,,
Efalizumab,approximately 5%,True,PubMed review article (Expert Opin Drug Saf. 2006),https://pubmed.ncbi.nlm.nih.gov/16503742/,https://pubmed.ncbi.nlm.nih.gov/16503742/,,high,批量升级至A类标准,,,,,,
Elezanumab,2.0%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/38191982/,https://pubmed.ncbi.nlm.nih.gov/38191982/,38191982,medium,250抗体检索验证,intravenous (mentioned in evidence text),,,,,
Elotuzumab,"15% (NEJM), 18.5% (Springer), ~15-40% depending on regimen",True,New England Journal of Medicine article (ELOQUENT-2 trial),https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,,high,批量升级至A类标准,,,,,,
Emicizumab,5.1% (34/668 patients),True,Haematologica journal article,https://haematologica.org/article/view/haematol.2022.282099,https://haematologica.org/article/view/haematol.2022.282099,,high,批量升级至A类标准,,,,,,
Enfortumab,"1% transiently positive (4/365 patients), 0.3% persistently positive (1/365 patients)",True,FDA prescribing information (PADCEV label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761137s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761137s000lbl.pdf,,high,FDA标签验证更新,,,,,,
Enuzovimab,1.50%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/39793935/,https://pubmed.ncbi.nlm.nih.gov/39793935/,39793935,medium,250抗体检索验证,,,,,,
Erenumab,"6.3% (70mg dose), 2.6% (140mg dose)",True,EMA (European Medicines Agency) product information,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf,,high,批量升级至A类标准,,,,,,
Etaracizumab,5.0%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/17390341/,https://pubmed.ncbi.nlm.nih.gov/17390341/,17390341,medium,250抗体检索验证,,,,,,
Etrolizumab,2%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/40481373/,https://pubmed.ncbi.nlm.nih.gov/40481373/,40481373,medium,250抗体检索验证,,,,,,
Evolocumab,0.1% (7/4846 subjects),True,ScienceDirect topic (citing FDA data),https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,,high,FDA标签验证升级,,,,,,
Exidavnemab,7.00%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/39105497/,https://pubmed.ncbi.nlm.nih.gov/39105497/,39105497,medium,250抗体检索验证,,,,,,
Favezelimab,42.9%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/40668662/,https://pubmed.ncbi.nlm.nih.gov/40668662/,40668662,medium,250抗体检索验证,,,,,,
Frunevetmab,15.8%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/34179175/,https://pubmed.ncbi.nlm.nih.gov/34179175/,34179175,medium,250抗体检索验证,subcutaneous (mentioned in evidence text),,,,,
Fulranumab,6.0%,True,PubMed literature,https://pubmed.ncbi.nlm.nih.gov/24590506/,https://pubmed.ncbi.nlm.nih.gov/24590506/,24590506,medium,250抗体检索验证,,,,,,
Galcanezumab,"4.8% (EMA), 4.8% (33/688 patients), 4.6% (phase 2b)",True,EMA (European Medicines Agency) product information,https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,,high,批量升级至A类标准,,,,,,
Gemtuzumab,"1.1% (2/182 patients), 5% (2/40 phase 1), 0% (0/142 phase 2)",True,PMC article (Immunogenicity of Antibody Drug Conjugates),https://pmc.ncbi.nlm.nih.gov/articles/PMC4287284/,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287284/,,medium,批量升级至A类标准,,,,,,
Golimumab,4.1-4.6%,True,PMC PubMed Central article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8115761/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8115761/,,high,PubMed验证升级,,,,,,
Guselkumab,"4.1-14.7% (systematic review), 7.94% (pooled), 2% (clinical trial)",True,PubMed systematic review,https://pubmed.ncbi.nlm.nih.gov/35246887/,https://pubmed.ncbi.nlm.nih.gov/35246887/,,high,批量升级至A类标准,,,,,,
Ibritumomab,approximately 2% (HAMA in heavily pretreated patients),True,PMC review article (90Yttrium ibritumomab tiuxetan in NHL),https://pmc.ncbi.nlm.nih.gov/articles/PMC2721318/,https://pmc.ncbi.nlm.nih.gov/articles/PMC2721318/,,medium,批量升级至A类标准,,,,,,
Infliximab,"10-40% (Crohn's), 8-17% (RA), 12-44% (AS), 7-18% (PsA)",True,FDA label,FDA prescribing information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/103772s5412lbl.pdf,,high,FDA标签验证升级,,,,,,
Isatuximab,"1.9% (Springer), 2.3% (FDA), 4.2% (Nature)",True,Springer review article (Targeted Oncology),https://link.springer.com/article/10.1007/s11523-021-00827-0,https://link.springer.com/article/10.1007/s11523-021-00827-0,,high,批量升级至A类标准,,,,,,
Margetuximab,1.7%,True,FDA label (MARGENZA) referenced via Drugs.com,https://www.drugs.com/sfx/margetuximab-side-effects.html,https://www.drugs.com/sfx/margetuximab-side-effects.html,,high,FDA标签验证更新,,,,,,
Mepolizumab,2.91% (95% CI: 1.60-4.55),True,PMC systematic review and meta-analysis (The Journal of Allergy and Clinical Immunology: In Practice),https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,high,批量升级至A类标准,,,,,,
Mogamulizumab,3.9% (10/258 patients),True,OncologyNewsCentral drug monograph,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,,medium,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Natalizumab,6% persistent antibodies,True,PubMed article (Neurology journal),https://pubmed.ncbi.nlm.nih.gov/17761550/,https://pubmed.ncbi.nlm.nih.gov/17761550/,,high,批量升级至A类标准,,,,,,
Necitumumab,4.1% (33/814 patients),True,FDA prescribing information (PORTRAZZA label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,,high,FDA标签验证升级,,,,,,
Nivolumab,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",True,Clinical Cancer Research (AACR journal),https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,,high,批量升级至A类标准,,,,,,
Obinutuzumab,approximately 13%,True,OncologyNewsCentral drug monograph,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,,medium,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Ocrelizumab,approximately 1% (12/1311 patients),True,MedCentral drug monograph,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,,medium,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Ofatumumab,0.22% (2/914 patients),True,PubMed article (The Development of Ofatumumab for MS),https://pubmed.ncbi.nlm.nih.gov/37450172/,https://pubmed.ncbi.nlm.nih.gov/37450172/,,high,批量升级至A类标准,,,,,,
Olaratumab,3.5% (13/370 evaluable patients),True,FDA prescribing information (Lartruvo label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,,high,FDA标签验证升级,,,,,,
Omalizumab,"0.00% (systematic review), 0.06% (1/1723 patients)",True,PMC systematic review and meta-analysis (The Journal of Allergy and Clinical Immunology: In Practice),https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,high,批量升级至A类标准,,,,,,
Palivizumab,"0.7% (Synagis group), 1.1% (placebo group)",True,MedCentral drug monograph,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,,high,批量升级至A类标准,intramuscular (mentioned in evidence text),,,,,
Panitumumab,"1.8% binding antibodies (20/1124), 0.2% neutralizing antibodies (2/1124)",True,PMC article (Immunogenicity of panitumumab in combination chemotherapy clinical trials),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,,high,批量升级至A类标准,,,,,,
Pembrolizumab,"1.8% ADA incidence, 0.4% neutralizing antibodies",True,Journal for ImmunoTherapy of Cancer systematic review,https://jitc.bmj.com/content/12/1/e008266,https://jitc.bmj.com/content/12/1/e008266,,high,批量升级至A类标准,,,,,,
Pertuzumab,3% (13/389 patients in CLEOPATRA study),True,OncologyNewsCentral drug monograph,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,,medium,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Ramucirumab,3% (86/2890 patients),True,OncologyNewsCentral drug monograph,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,,medium,批量升级至A类标准,intravenous (mentioned in evidence text),,,,,
Ranibizumab,0-5% pre-treatment immunoreactivity,True,FDA prescribing information (Lucentis label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,,high,FDA标签验证升级,,,,,,
Reslizumab,"4.39% (95% CI: 2.88-6.20) in meta-analysis, 5.4% treatment-emergent ADA in FDA data",True,PMC systematic review and meta-analysis (Incidence of Anti-Drug Antibodies to Monoclonal Antibodies in Asthma),https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,high,批量升级至A类标准,,,,,,
Rilonacept,43% of patients developed anti-rilonacept antibodies,True,ScienceDirect overview,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,,medium,批量升级至A类标准,,,,,,
Risankizumab,"24% (263/1079 patients by Week 52), range 14.1-31% in systematic review",True,Skyrizi prescribing information (AbbVie),https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,,high,批量升级至A类标准,,,,,,
Rituximab,4-11%,True,"Peer-reviewed journal (Rheumatology, Oxford Academic)",https://academic.oup.com/rheumatology/article/62/7/2601/6825306,https://academic.oup.com/rheumatology/article/62/7/2601/6825306,,high,批量升级至A类标准,,,,,,
Romosozumab,"17.6% binding antibodies, 2.9% neutralizing antibodies (by month 9)",True,NCBI Bookshelf (StatPearls),https://www.ncbi.nlm.nih.gov/books/NBK585139/,https://www.ncbi.nlm.nih.gov/books/NBK585139/,,high,批量升级至A类标准,,,,,,
Sarilumab,"4.0% with 200 mg dose, 5.7% with 150 mg dose (FDA label data)",True,FDA prescribing information (Kevzara label),https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761037s013lbl.pdf,,high,FDA标签验证升级,,,,,,
Satralizumab,"41% in combination therapy study, 71% in monotherapy study (EMA data)",True,EMA (European Medicines Agency) product information,https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,,high,批量升级至A类标准,,,,,,
Secukinumab,"<1% ADA incidence at week 52, 0.4% treatment-emergent ADAs over 3 years",True,ScienceDirect overview,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,,high,批量升级至A类标准,,,,,,
Siltuximab,0.2% overall incidence of positive anti-therapeutic antibodies,True,FDA clinical pharmacology review (BLA 125496),https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125496Orig1s000ClinPharmR.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125496Orig1s000ClinPharmR.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125496s000lbl.pdf,,high,FDA标签验证升级,,,,,,
Teprotumumab,"2.3% ADA incidence (4 patients) in phase II/III trials, or 0% in specific placebo-controlled study",True,Drugs review article (Springer),https://link.springer.com/article/10.1007/s40265-022-01804-1,https://link.springer.com/article/10.1007/s40265-022-01804-1,,medium,批量升级至A类标准,,,,,,
Tezepelumab,"4.9% ADA positive in tezepelumab group (vs 8.3% placebo), 5% in FDA data (29/601 patients), 2.91% in systematic review",True,New England Journal of Medicine clinical trial,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,,high,批量升级至A类标准,,,,,,
Tildrakizumab,"6.5% TE-POS with 100 mg, 8.2% with 200 mg; neutralizing antibodies 2.5% (100 mg) and 3.2% (200 mg)",True,PMC immunogenicity assessment study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,,high,批量升级至A类标准,,,,,,
Tisotumab,5.7% ADA incidence in recurrent/metastatic cervical cancer patients,True,Pfizer Medical - TIVDAK Clinical Pharmacology,https://www.pfizermedical.com/tivdak/clinical-pharmacology,https://www.pfizermedical.com/tivdak/clinical-pharmacology,,high,批量升级至A类标准,,,,,,
