canonical_id,display_name,entity_class,modality_class,statistical_inclusion,vhh42_role,origin_tags,cohort_platform_tag,canonical_sequence_hash,sequence_status,duplicate_group_id,duplicate_group_size,duplicate_reason,aliases_same_sequence,in_clinical_39,in_master_table_40,in_vhh42_cmc,in_database_b_29,in_structural_union_69,germline_top_match,ada_majority_risk,structural_pdb_model
envafolimab,Envafolimab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,e127c7d46461,sequence_present,seqhash:e127c7d46461,3,alias_or_reused_construct,Envafolimab;Erfonrilimab;PD-L1 VHH CAR-T,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Envafolimab\rank0_unrefined.pdb
erfonrilimab,Erfonrilimab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,e127c7d46461,sequence_present,seqhash:e127c7d46461,3,alias_or_reused_construct,Envafolimab;Erfonrilimab;PD-L1 VHH CAR-T,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Erfonrilimab\rank0_unrefined.pdb
gefurulimab,Gefurulimab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,71bd8697a2f5,sequence_present,,1,unique_sequence,Gefurulimab,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Gefurulimab\rank0_unrefined.pdb
gocatamig1,Gocatamig1,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,7e5789b31d72,sequence_present,seqhash:7e5789b31d72,3,alias_or_reused_construct,Gocatamig1;Podentamig2;VHH-Cell Therapy (VHH-T cell engager),True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Gocatamig1\rank0_unrefined.pdb
gocatamig2,Gocatamig2,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,f1dfa0307e94,sequence_present,,1,unique_sequence,Gocatamig2,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Gocatamig2\rank0_unrefined.pdb
gontivimab,Gontivimab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,d5aadc3c9dd1,sequence_present,seqhash:d5aadc3c9dd1,2,alias_or_reused_construct,ALX-0171;Gontivimab,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Gontivimab\rank0_unrefined.pdb
her2_vhh_car_t,HER2 VHH CAR-T,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,591993115ad6,sequence_present,seqhash:591993115ad6,6,alias_or_reused_construct,131I-GMIB-Anti-HER2-VHH1;68-GaNOTA-Anti-HER2 VHH1;CD20 VHH CAR-T;CD33 VHH CAR-T;HER2 VHH CAR-T;VHH-ADC (HER2-MMAE),True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\HER2_VHH_CAR-T\rank0_unrefined.pdb
isecarosmab,Isecarosmab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,446675ea6826,sequence_present,,1,unique_sequence,Isecarosmab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Isecarosmab\rank0_unrefined.pdb
lcar_b38m,LCAR-B38M,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,4255a073ce13,sequence_present,seqhash:4255a073ce13,2,alias_or_reused_construct,Ciltacabtagene autoleucel (cilta-cel);LCAR-B38M,True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\LCAR-B38M\rank0_unrefined.pdb
letolizumab,Letolizumab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,9e7d277392b3,sequence_present,,1,unique_sequence,Letolizumab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Letolizumab\rank0_unrefined.pdb
nb_v565,Nb V565,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,8a23fd303833,sequence_present,seqhash:8a23fd303833,2,alias_or_reused_construct,Nb V565;Ozoralizumab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Nb_V565\rank0_unrefined.pdb
ozekibart,Ozekibart,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,91eaa854086a,sequence_present,,1,unique_sequence,Ozekibart,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Ozekibart\rank0_unrefined.pdb
ozoralizumab,Ozoralizumab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,8a23fd303833,sequence_present,seqhash:8a23fd303833,2,alias_or_reused_construct,Nb V565;Ozoralizumab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Ozoralizumab\rank0_unrefined.pdb
pd_l1_vhh_car_t,PD-L1 VHH CAR-T,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,e127c7d46461,sequence_present,seqhash:e127c7d46461,3,alias_or_reused_construct,Envafolimab;Erfonrilimab;PD-L1 VHH CAR-T,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\PD-L1_VHH_CAR-T\rank0_unrefined.pdb
podentamig1,Podentamig1,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,c4a026be718c,sequence_present,,1,unique_sequence,Podentamig1,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Podentamig1\rank0_unrefined.pdb
podentamig2,Podentamig2,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,7e5789b31d72,sequence_present,seqhash:7e5789b31d72,3,alias_or_reused_construct,Gocatamig1;Podentamig2;VHH-Cell Therapy (VHH-T cell engager),True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Podentamig2\rank0_unrefined.pdb
porustobart,Porustobart,transgenic_mouse_nanobody_vhh,single_domain_vhh_or_vh_like,include_all69_exclude_camelid68_calibration,vhh42_clinical_side,clinical_vhh,transgenic_mouse_nanobody,5d3abb5ddb59,sequence_present,,1,unique_sequence,Porustobart,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Porustobart\rank0_unrefined.pdb
produvofusp,Produvofusp,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,87efb55579e1,sequence_present,,1,unique_sequence,Produvofusp,True,True,True,False,True,IGHV3-21*01,MEDIUM,data\vhh_clinical_39_union\immunebuilder_models\Produvofusp\rank0_unrefined.pdb
pumitamig2,Pumitamig2,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,7b8b4b890a67,sequence_present,,1,unique_sequence,Pumitamig2,True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Pumitamig2\rank0_unrefined.pdb
rimteravimab,Rimteravimab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,ababb0e3fea8,sequence_present,,1,unique_sequence,Rimteravimab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Rimteravimab\rank0_unrefined.pdb
simridarlimab,Simridarlimab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,affbdb0ece5b,sequence_present,,1,unique_sequence,Simridarlimab,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Simridarlimab\rank0_unrefined.pdb
sonelokimab_m1095,Sonelokimab (M1095),clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,26ea7471fea2,sequence_present,seqhash:26ea7471fea2,2,alias_or_reused_construct,Sonelokimab (M1095);Sonelokimab1,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Sonelokimab_M1095\rank0_unrefined.pdb
sonelokimab1,Sonelokimab1,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,26ea7471fea2,sequence_present,seqhash:26ea7471fea2,2,alias_or_reused_construct,Sonelokimab (M1095);Sonelokimab1,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Sonelokimab1\rank0_unrefined.pdb
sonelokimab2,Sonelokimab2,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,c9ff7629aa09,sequence_present,,1,unique_sequence,Sonelokimab2,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Sonelokimab2\rank0_unrefined.pdb
tarperprumig,Tarperprumig,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,938f9336ddcc,sequence_present,,1,unique_sequence,Tarperprumig,True,True,True,False,True,IGHV4-59*01,UNKNOWN,data\vhh_clinical_39_union\immunebuilder_models\Tarperprumig\rank0_unrefined.pdb
tixentamig,Tixentamig,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,b01385c8769f,sequence_present,,1,unique_sequence,Tixentamig,True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\Tixentamig\rank0_unrefined.pdb
vhh_adc_her2_mmae,VHH-ADC (HER2-MMAE),clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,591993115ad6,sequence_present,seqhash:591993115ad6,6,alias_or_reused_construct,131I-GMIB-Anti-HER2-VHH1;68-GaNOTA-Anti-HER2 VHH1;CD20 VHH CAR-T;CD33 VHH CAR-T;HER2 VHH CAR-T;VHH-ADC (HER2-MMAE),True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\VHH-ADC_HER2-MMAE\rank0_unrefined.pdb
vhh_cell_therapy_vhh_t_cell_engager,VHH-Cell Therapy (VHH-T cell engager),clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,7e5789b31d72,sequence_present,seqhash:7e5789b31d72,3,alias_or_reused_construct,Gocatamig1;Podentamig2;VHH-Cell Therapy (VHH-T cell engager),True,True,True,False,True,IGHV3-23*01,HIGH,data\vhh_clinical_39_union\immunebuilder_models\VHH-Cell_Therapy_VHH-T_cell_engager\rank0_unrefined.pdb
vobarilizumab,Vobarilizumab,clinical_single_domain_vhh,single_domain_vhh_or_vh_like,include_validated_clinical39_and_vhh42,vhh42_clinical_side,clinical_vhh,,cbab448c059a,sequence_present,,1,unique_sequence,Vobarilizumab,True,True,True,False,True,IGHV3-7*01,LOW,data\vhh_clinical_39_union\immunebuilder_models\Vobarilizumab\rank0_unrefined.pdb
lofacimig,Lofacimig,humanized_camelid_tandem_vh_fc,tandem_vh_fc_not_single_domain,exclude_sequence_stats_not_single_domain_vhh,,master_table_only_no_seq,humanized_camelid_tandem_vh_fc,,full_chain_sequence_collected_excluded_from_sdvhh_stats,,0,no_sequence,,False,True,False,False,False,,,
1yzz_a,1yzz_A,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,vhh42_database_b_supplement,database_b_humanized_camelid;sabdab_humanized_vhh,,0ceb58f34621,sequence_present,,1,unique_sequence,1yzz_A,False,False,True,True,True,IGHV3-23*01,HIGH,data\vhh_database_b_union\immunebuilder_models\1yzz_A\rank0_unrefined.pdb
3eak_a,3eak_A,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,vhh42_database_b_supplement,database_b_humanized_camelid;sabdab_humanized_vhh,,9d6d30774c37,sequence_present,seqhash:9d6d30774c37,2,pdb_chain_copy,3eak_A;3eak_B,False,False,True,True,True,IGHV3-23*01,HIGH,data\vhh_database_b_union\immunebuilder_models\3eak_A\rank0_unrefined.pdb
6rnk_b,6rnk_B,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,vhh42_database_b_supplement,database_b_humanized_camelid;sabdab_humanized_vhh,,5869a2ddb199,sequence_present,,1,unique_sequence,6rnk_B,False,False,True,True,True,IGHV3-23*01,HIGH,data\vhh_database_b_union\immunebuilder_models\6rnk_B\rank0_unrefined.pdb
1yzz_b,1yzz_B,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,b290b649e9f7,sequence_present,,1,unique_sequence,1yzz_B,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1yzz_B\rank0_unrefined.pdb
3eak_b,3eak_B,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,9d6d30774c37,sequence_present,seqhash:9d6d30774c37,2,pdb_chain_copy,3eak_A;3eak_B,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\3eak_B\rank0_unrefined.pdb
3eba_a,3eba_A,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,c338f4e1474d,sequence_present,,1,unique_sequence,3eba_A,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\3eba_A\rank0_unrefined.pdb
6z10_b,6z10_B,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,c851b30d9eb1,sequence_present,,1,unique_sequence,6z10_B,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\6z10_B\rank0_unrefined.pdb
1bzq_k,1bzq_K,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,11163862dbc1,sequence_present,seqhash:11163862dbc1,4,pdb_chain_copy,1bzq_K;1bzq_L;1bzq_M;1bzq_N,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1bzq_K\rank0_unrefined.pdb
1bzq_l,1bzq_L,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,11163862dbc1,sequence_present,seqhash:11163862dbc1,4,pdb_chain_copy,1bzq_K;1bzq_L;1bzq_M;1bzq_N,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1bzq_L\rank0_unrefined.pdb
1bzq_m,1bzq_M,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,11163862dbc1,sequence_present,seqhash:11163862dbc1,4,pdb_chain_copy,1bzq_K;1bzq_L;1bzq_M;1bzq_N,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1bzq_M\rank0_unrefined.pdb
1bzq_n,1bzq_N,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,11163862dbc1,sequence_present,seqhash:11163862dbc1,4,pdb_chain_copy,1bzq_K;1bzq_L;1bzq_M;1bzq_N,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1bzq_N\rank0_unrefined.pdb
1f2x_k,1f2x_K,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,ef439bacbd7f,sequence_present,,1,unique_sequence,1f2x_K,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1f2x_K\rank0_unrefined.pdb
1f2x_l,1f2x_L,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,28d991ed17a7,sequence_present,,1,unique_sequence,1f2x_L,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1f2x_L\rank0_unrefined.pdb
1kxq_e,1kxq_E,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,645d7ad53ea4,sequence_present,seqhash:645d7ad53ea4,4,pdb_chain_copy,1kxq_E;1kxq_F;1kxq_G;1kxq_H,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxq_E\rank0_unrefined.pdb
1kxq_f,1kxq_F,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,645d7ad53ea4,sequence_present,seqhash:645d7ad53ea4,4,pdb_chain_copy,1kxq_E;1kxq_F;1kxq_G;1kxq_H,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxq_F\rank0_unrefined.pdb
1kxq_g,1kxq_G,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,645d7ad53ea4,sequence_present,seqhash:645d7ad53ea4,4,pdb_chain_copy,1kxq_E;1kxq_F;1kxq_G;1kxq_H,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxq_G\rank0_unrefined.pdb
1kxq_h,1kxq_H,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,645d7ad53ea4,sequence_present,seqhash:645d7ad53ea4,4,pdb_chain_copy,1kxq_E;1kxq_F;1kxq_G;1kxq_H,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxq_H\rank0_unrefined.pdb
1kxt_b,1kxt_B,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,a18d79eb2c16,sequence_present,seqhash:a18d79eb2c16,3,pdb_chain_copy,1kxt_B;1kxt_D;1kxt_F,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxt_B\rank0_unrefined.pdb
1kxt_d,1kxt_D,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,a18d79eb2c16,sequence_present,seqhash:a18d79eb2c16,3,pdb_chain_copy,1kxt_B;1kxt_D;1kxt_F,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxt_D\rank0_unrefined.pdb
1kxt_f,1kxt_F,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,a18d79eb2c16,sequence_present,seqhash:a18d79eb2c16,3,pdb_chain_copy,1kxt_B;1kxt_D;1kxt_F,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxt_F\rank0_unrefined.pdb
1kxv_c,1kxv_C,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,4eee5b3a8525,sequence_present,,1,unique_sequence,1kxv_C,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxv_C\rank0_unrefined.pdb
1kxv_d,1kxv_D,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,14ef5a69e480,sequence_present,,1,unique_sequence,1kxv_D,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1kxv_D\rank0_unrefined.pdb
1mel_a,1mel_A,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,3b2872af0f91,sequence_present,seqhash:3b2872af0f91,2,pdb_chain_copy,1mel_A;1mel_B,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1mel_A\rank0_unrefined.pdb
1mel_b,1mel_B,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,3b2872af0f91,sequence_present,seqhash:3b2872af0f91,2,pdb_chain_copy,1mel_A;1mel_B,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1mel_B\rank0_unrefined.pdb
1op9_a,1op9_A,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,7c48e2d21a07,sequence_present,,1,unique_sequence,1op9_A,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1op9_A\rank0_unrefined.pdb
1xfp_a,1xfp_A,database_b_engineered_or_humanized_camelid_vhh,single_domain_vhh_or_vh_like,include_database_b29_and_structural_union69,,database_b_humanized_camelid,,5592bb81de6b,sequence_present,,1,unique_sequence,1xfp_A,False,False,False,True,True,,,data\vhh_database_b_union\immunebuilder_models\1xfp_A\rank0_unrefined.pdb
