antibody_id,ADI_abref458_27m,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Amtabafusp,63.91,9.02,-0.239,38.0,5.07,4.0,1.16,0.556,0.714,5.0,5.0,0.0,2.0,2.0,9.0,4.0,73.0,685.21,5.1,2.0,8.61,89.87482489170374,83.0,4.496501929919516,0.6005469560623169,463.44637642877416
Anrukinzumab,76.97,6.85,-0.304,41.1,-0.11,3.0,1.982,0.667,0.714,2.0,2.0,0.0,2.0,2.0,9.0,4.0,67.0,613.14,3.0,4.0,0.0,81.72870906366354,77.0,4.5902040488943605,0.815462589263916,506.11217739657195
Anvatabart,80.62,8.61,-0.334,40.7,2.97,3.0,0.921,0.667,0.714,4.0,3.0,0.0,2.0,2.0,8.0,4.0,65.0,365.35,3.1,2.0,6.2,83.95420399348158,71.0,4.707819249531994,2.683919906616211,495.2073035069108
Aplitabart,80.37,8.83,-0.3,38.1,3.89,3.0,2.007,0.667,0.714,4.0,3.0,0.0,1.0,2.0,9.0,4.0,63.0,300.8,3.0,2.0,8.2,84.22723473951645,71.0,4.582785334278955,0.57036292552948,437.6933905624576
Armocibart,72.71,6.79,-0.318,37.6,-0.18,3.0,0.091,0.556,0.571,2.0,2.0,0.0,0.0,2.0,7.0,4.0,71.0,259.95,2.0,4.0,0.2,75.07294435630509,79.0,4.623646365571346,0.9073113203048706,553.1029474477108
Aselizumab,67.61,4.76,-0.39,43.7,-5.19,3.0,3.072,0.667,0.714,2.0,2.0,0.0,1.0,4.0,9.0,4.0,65.0,183.11,1.0,4.0,-0.0,82.7743147696323,64.0,4.755208526639377,2.8347036838531494,509.04385406503667
Atezolizumab,76.6,7.87,-0.232,40.5,1.06,3.0,0.831,0.667,0.857,6.0,3.0,0.0,1.0,2.0,9.0,4.0,63.0,450.98,2.2,1.0,2.31,87.13257874349071,69.0,4.68634541589509,1.9547312259674072,503.3305811541539
Avitotamig,73.12,8.54,-0.379,42.4,2.81,3.0,1.085,0.556,0.571,2.0,2.0,0.0,0.0,0.0,9.0,4.0,63.0,355.95,2.0,2.0,3.1,80.44912737960692,60.0,4.7561706959664285,2.6762101650238037,576.3564979067945
Avizakimab,68.98,8.6,-0.393,33.1,2.99,3.0,3.083,0.556,0.714,2.0,2.0,0.0,0.0,0.0,10.0,4.0,61.0,396.85,3.0,2.0,0.0,84.59947347820874,62.0,4.640653609538424,1.8008699417114258,538.7192662760143
Axatilimab,54.85,5.01,-0.327,39.0,-3.2,3.0,7.067,0.778,0.857,6.0,6.0,0.0,0.0,2.0,12.0,4.0,71.0,426.78,2.0,4.0,-9.0,77.79983438501903,85.0,4.583975301766899,1.9327516555786133,475.8880873376419
Azintuxizumab,67.86,7.87,-0.283,41.3,1.06,3.0,3.186,0.556,0.714,5.0,4.0,0.0,3.0,2.0,7.0,4.0,68.0,373.6,2.0,2.0,0.0,80.98692207650018,66.0,4.688128995303042,2.327263116836548,455.5864166057792
Azirkitug,77.45,8.64,-0.245,37.8,2.98,3.0,4.811,0.667,0.714,4.0,4.0,0.0,1.0,1.0,8.0,4.0,65.0,559.8,4.0,2.0,5.0,85.07923704700524,65.0,4.694122250823232,1.7414759397506714,465.832578364796
Balertatug,67.07,7.78,-0.398,24.9,0.9,2.0,2.816,0.667,0.714,4.0,4.0,0.0,0.0,1.0,13.0,4.0,67.0,317.8,4.0,4.0,0.0,77.46291828962511,66.0,4.730835282548945,1.9661407470703125,537.2552003236374
Bapineuzumab,76.44,8.33,-0.366,44.5,1.98,3.0,2.071,0.556,0.714,3.0,3.0,0.0,2.0,3.0,8.0,4.0,69.0,270.9,3.0,3.0,3.41,80.4442999457719,74.0,4.650673413337571,1.5398861169815063,480.33076797072204
Barzolvolimab,58.2,9.22,-0.431,24.0,7.72,3.0,1.997,0.556,0.714,4.0,4.0,0.0,1.0,0.0,6.0,4.0,61.0,216.06,4.0,1.0,12.0,84.59439456121108,63.0,4.699305474144458,0.3399795889854431,558.8695240229464
Becotatug,72.18,5.04,-0.346,32.0,-5.09,3.0,1.081,0.667,0.714,3.0,3.0,0.0,1.0,0.0,6.0,4.0,64.0,283.84,1.1,3.0,0.0,82.68746441543738,82.0,4.647448770402017,1.5741556882858276,489.40186150355953
Belantamab,64.87,8.76,-0.476,32.9,3.98,3.0,0.091,0.556,0.571,1.0,1.0,0.0,0.0,1.0,10.0,4.0,66.0,191.51,3.0,2.0,3.41,82.55533970559088,69.0,4.638457796311891,1.6047269105911255,632.230708925584
Bemarituzumab,67.82,8.58,-0.419,26.3,2.9,3.0,0.995,0.556,0.571,2.0,2.0,0.0,1.0,0.0,6.0,4.0,59.0,343.5,2.0,1.0,4.0,82.86358480710719,57.0,4.714067951001619,2.272411584854126,631.3146309797729
Benmelstobart,67.64,8.3,-0.253,30.9,1.81,3.0,2.088,0.778,0.714,6.0,5.0,0.0,1.0,0.0,10.0,4.0,61.0,711.88,2.0,2.0,6.0,84.05231947370017,77.0,4.667673149458071,1.1233991384506226,458.3459117438793
Benralizumab,70.19,8.77,-0.395,34.5,3.98,3.0,4.076,0.556,0.714,3.0,2.0,0.0,0.0,1.0,7.0,4.0,66.0,232.35,3.0,3.0,5.5,82.25251572931678,69.0,4.6813223163856135,1.2622796297073364,564.9992255120377
Bepranemab,65.13,5.18,-0.285,28.0,-4.01,3.0,2.07,0.556,0.571,4.0,3.0,0.0,0.0,2.0,8.0,4.0,68.0,328.45,2.1,2.0,0.0,76.40119609131298,77.0,4.715779156582653,2.248645305633545,504.2283959746725
Betifisolimab,68.62,8.76,-0.398,30.4,3.9,4.0,5.988,0.556,0.714,3.0,3.0,0.0,2.0,0.0,9.0,4.0,68.0,367.03,5.0,4.0,3.0,77.54294198447033,72.0,4.721815098862485,2.1509792804718018,547.7762789287789
Betinukibart,71.86,5.78,-0.293,32.1,-2.92,3.0,1.35,0.556,0.714,3.0,3.0,0.0,1.0,0.0,10.0,4.0,67.0,348.92,1.1,2.0,-2.6,77.87922165553476,63.0,4.722250191574423,2.286726236343384,569.2221831549258
Bevacizumab,71.47,7.06,-0.331,36.4,0.06,3.0,0.164,0.556,0.714,1.0,1.0,0.0,1.0,0.0,10.0,4.0,68.0,224.0,3.0,2.0,1.32,86.22396399983005,69.0,4.665337518432466,1.6150346994400024,535.1788353450818
Bexmarilimab,62.9,8.78,-0.403,41.5,4.16,3.0,2.163,0.778,0.857,5.0,5.0,0.0,0.0,0.0,10.0,4.0,68.0,267.53,3.2,3.0,8.2,81.37002599723537,79.0,4.5132056679681085,0.616004467010498,489.62725245049745
Bimekizumab,77.63,7.87,-0.354,35.2,0.99,3.0,1.037,0.667,0.714,6.0,4.0,0.0,3.0,1.0,10.0,4.0,70.0,423.39,2.0,2.0,0.1,83.53134090495395,81.0,4.610879608756345,0.5799586176872253,481.0765951566536
Birtamimab,70.94,8.6,-0.29,49.5,3.06,3.0,0.81,0.556,0.714,3.0,3.0,0.0,2.0,3.0,7.0,4.0,69.0,348.22,4.0,2.0,6.4,76.84139480512084,67.0,4.682817958509331,1.8391155004501343,498.97863364390025
Blosozumab,63.77,5.42,-0.446,35.7,-3.09,3.0,4.985,0.667,0.714,3.0,2.0,0.0,0.0,0.0,12.0,4.0,63.0,329.63,1.0,5.0,-12.6,85.67333998328077,82.0,4.56138349300673,0.37912827730178833,562.5813759570218
Bococizumab,62.17,9.3,-0.438,42.5,7.81,3.0,1.902,0.556,0.714,3.0,2.0,0.0,0.0,0.0,10.0,4.0,63.0,242.23,4.1,2.0,20.0,82.44621565272855,74.0,4.549570974635978,0.6343612670898438,608.5281293195256
Bocunebart,63.51,4.79,-0.159,37.3,-5.18,3.0,1.072,0.667,0.714,4.0,3.0,0.0,3.0,0.0,7.0,4.0,59.0,801.63,2.0,3.0,3.0,83.07948784552389,53.0,4.646248371955846,2.794267416000366,597.213041969122
Bosakitug,72.4,7.78,-0.421,41.4,0.99,3.0,1.087,0.667,0.714,2.0,2.0,0.0,0.0,2.0,11.0,4.0,62.0,178.96,3.0,3.0,-2.0,84.14810249792572,68.0,4.725685346003023,2.529629945755005,550.3215645717938
Briquilimab,66.93,5.74,-0.431,29.5,-2.09,3.0,9.99,0.667,0.714,4.0,4.0,0.0,2.0,1.0,9.0,4.0,66.0,451.82,4.0,4.0,-15.0,78.65574744386625,66.0,4.753835697797523,1.9978128671646118,581.2259979357852
Brivestobart,68.41,5.89,-0.352,34.9,-1.18,4.0,4.986,0.667,0.714,4.0,4.0,0.0,0.0,0.0,8.0,4.0,66.0,238.84,2.0,5.0,2.2,81.96716545576668,60.0,4.716086848945674,1.681079626083374,548.7703861821236
Brolucizumab,53.37,4.93,-0.116,31.5,-5.02,4.0,4.992,0.667,0.714,5.0,4.0,0.0,4.0,0.0,10.0,4.0,68.0,1322.04,2.0,4.0,-0.29,85.10624154586596,84.0,4.679019701261462,1.826391577720642,478.2317809070669
Brontictuzumab,70.71,8.81,-0.325,28.3,3.82,4.0,0.087,0.556,0.571,4.0,4.0,0.0,0.0,1.0,10.0,4.0,69.0,577.96,3.0,2.0,6.2,86.81309610574483,79.0,4.706393814175987,1.7478448152542114,521.7773207566524
Budigalimab,65.98,5.38,-0.343,39.6,-4.83,3.0,3.094,0.556,0.714,2.0,2.0,0.0,0.0,0.0,8.0,4.0,68.0,623.09,3.0,4.0,-8.97,79.53758611570491,59.0,4.766821146806081,2.5185437202453613,571.1039330135761
Budoprutug,51.81,6.35,-0.579,42.9,-1.01,3.0,5.083,0.556,0.571,1.0,1.0,0.0,0.0,3.0,12.0,4.0,62.0,332.99,3.0,3.0,-12.0,82.91932930860517,69.0,4.606247089049395,1.8671660423278809,602.9134762380271
Bulumtatug,64.35,8.3,-0.171,36.1,1.89,2.0,1.984,0.667,0.714,7.0,7.0,0.0,2.0,1.0,7.0,4.0,70.0,644.43,3.0,2.0,3.0,75.217569253084,68.0,4.722179538046407,2.1413686275482178,546.4196371191977
Burfiralimab,77.46,8.3,-0.399,32.2,1.89,3.0,1.987,0.667,0.714,2.0,2.0,0.0,0.0,1.0,10.0,4.0,63.0,420.54,2.1,2.0,0.0,83.95071053398712,76.0,4.567851081269633,1.2501471042633057,617.3158197790829
Cabiralizumab,69.89,4.96,-0.357,44.1,-5.17,3.0,6.826,0.667,0.714,5.0,4.0,0.0,1.0,1.0,9.0,4.0,71.0,489.98,4.0,4.0,-10.0,77.0924161342315,61.0,4.711936172328802,1.6936774253845215,587.2339273666329
Cafelkibart,75.43,8.31,-0.337,42.5,1.98,3.0,0.099,0.556,0.714,4.0,4.0,0.0,0.0,2.0,10.0,4.0,73.0,435.74,4.0,4.0,8.4,76.62521592916931,75.0,4.6648221303907675,1.5623615980148315,475.85148254723987
Camrelizumab,70.52,7.85,-0.167,38.4,0.8,3.0,1.076,0.556,0.714,2.0,2.0,0.0,2.0,2.0,10.0,4.0,61.0,375.23,3.0,1.0,2.0,86.76476312143244,67.0,4.622564250294728,1.4447109699249268,492.3501126912657
Cantuzumab,72.44,8.79,-0.286,39.0,3.9,3.0,1.819,0.556,0.714,4.0,4.0,0.0,1.0,0.0,10.0,4.0,69.0,582.1,3.0,2.0,6.2,78.5419827008792,65.0,4.699798920299498,1.4966219663619995,540.9636541016591
Caxmotabart,80.62,8.61,-0.334,40.7,2.97,3.0,0.921,0.667,0.714,4.0,3.0,0.0,2.0,2.0,8.0,4.0,65.0,365.35,3.1,2.0,6.2,83.95420399348158,71.0,4.707819249531994,2.683919906616211,495.2073035069108
Cendakimab,67.67,8.79,-0.306,32.2,3.97,3.0,1.923,0.778,0.857,5.0,4.0,0.0,0.0,0.0,9.0,4.0,68.0,895.76,3.0,2.0,12.3,80.09329676372327,78.0,4.669988440760749,0.5922929644584656,473.5783138058972
Cenzestotug,70.32,8.35,-0.192,35.1,1.82,2.0,0.079,0.667,0.714,6.0,4.0,0.0,2.0,0.0,8.0,4.0,58.0,437.79,2.0,2.0,4.2,87.79062940563354,64.0,4.5854208037379,1.0160247087478638,539.2430208222484
Cergutuzumab,74.32,8.55,-0.345,34.4,2.82,3.0,7.067,0.667,0.714,3.0,3.0,0.0,0.0,0.0,11.0,4.0,67.0,852.3,4.0,3.0,-6.0,82.6421238775744,74.0,4.672305396827952,1.89983332157135,554.3884269477004
Certolizumab,76.56,7.83,-0.228,32.2,0.8,3.0,2.916,0.667,0.714,2.0,2.0,0.0,1.0,1.0,10.0,4.0,63.0,480.12,3.0,2.0,0.0,85.23994376937934,71.0,4.664360654267503,1.7907336950302124,577.6803061461552
Ciletatug,76.0,8.55,-0.361,33.0,2.73,3.0,3.001,0.667,0.714,2.0,2.0,0.0,2.0,0.0,10.0,4.0,70.0,220.83,3.0,1.0,6.0,74.55227248942649,76.0,4.693925162343418,1.8351625204086304,541.5668307281697
Ciltistotug,59.56,9.14,-0.361,35.2,6.16,3.0,3.734,0.556,0.571,1.0,1.0,0.0,3.0,0.0,7.0,4.0,65.0,284.26,4.0,1.0,9.02,76.30129819875529,55.0,4.682806912492932,1.459683895111084,581.0966271503105
Clazakizumab,59.99,5.49,-0.257,35.2,-1.19,4.0,4.951,0.556,0.714,1.0,1.0,0.0,2.0,1.0,7.0,4.0,68.0,885.73,2.0,5.0,-1.0,86.49352880006036,70.0,4.660617454766323,1.0195860862731934,491.61397993666424
Clivatuzumab,66.32,8.77,-0.411,34.5,3.9,3.0,0.002,0.556,0.571,1.0,1.0,0.0,0.0,2.0,8.0,4.0,65.0,553.27,4.0,1.0,0.0,82.4471180668351,83.0,4.513579151805743,0.5531941652297974,534.4427182984437
Cobolimab,74.54,8.64,-0.295,48.4,2.97,3.0,5.096,0.556,0.571,3.0,3.0,0.0,2.0,1.0,8.0,4.0,58.0,268.34,3.0,2.0,-5.1,87.31756681652821,51.0,4.659853312726083,1.231146216392517,547.5619188990457
Codrituzumab,70.57,8.58,-0.409,39.1,3.08,3.0,1.177,0.556,0.714,2.0,2.0,0.0,0.0,0.0,8.0,4.0,65.0,313.65,4.0,4.0,4.2,77.48800380134827,57.0,4.699700218074176,2.281270742416382,584.0135317883186
Cofetuzumab,73.18,6.92,-0.463,39.9,-0.09,3.0,5.909,0.556,0.714,3.0,3.0,0.0,1.0,1.0,8.0,4.0,68.0,250.01,4.0,4.0,-6.0,79.03281323769473,75.0,4.659170307938452,1.5162550210952759,489.5736909137476
Comekibart,70.52,8.82,-0.232,39.7,3.97,3.0,0.078,0.556,0.571,2.0,2.0,0.0,2.0,0.0,8.0,4.0,67.0,599.46,3.1,2.0,9.3,84.62857502663147,84.0,4.5659888449206205,0.5065357089042664,477.1607805555316
Concizumab,63.05,5.24,-0.244,46.1,-3.1,4.0,0.993,0.778,0.714,3.0,3.0,0.0,2.0,4.0,8.0,4.0,71.0,937.57,2.0,5.0,-0.0,82.27135978997694,74.0,4.700630056778056,2.272998332977295,467.6796201696088
Coprelotamab,80.62,8.61,-0.334,40.7,2.97,3.0,0.921,0.667,0.714,4.0,3.0,0.0,2.0,2.0,8.0,4.0,65.0,365.35,3.1,2.0,6.2,83.95420399348158,71.0,4.707819249531994,2.683919906616211,495.2073035069108
Crefmirlimab,70.2,8.34,-0.322,39.6,2.06,3.0,1.837,0.444,0.571,2.0,2.0,0.0,1.0,0.0,4.0,4.0,63.0,209.36,1.1,2.0,0.31,81.22884279749321,68.0,4.683066749074752,1.6598923206329346,550.1557958174333
Crenezumab,71.34,6.98,-0.271,43.0,-0.02,3.0,0.101,0.556,0.714,3.0,3.0,0.0,5.0,1.0,7.0,4.0,62.0,212.74,3.0,1.0,2.2,79.48805669682157,46.0,4.69712714744064,2.3341143131256104,554.0738461853272
Crizanlizumab,59.47,5.53,-0.49,37.0,-2.18,3.0,3.913,0.667,0.714,1.0,1.0,0.0,0.0,2.0,11.0,4.0,71.0,268.87,4.0,4.0,-0.0,77.33370885999753,69.0,4.71968313414984,2.766355037689209,576.044258939945
Crusekitug,73.89,8.32,-0.166,40.4,1.89,3.0,0.168,0.667,0.714,3.0,3.0,0.0,0.0,0.0,7.0,4.0,68.0,832.01,2.0,1.0,6.2,82.4729424629085,81.0,4.6381093590122875,2.067939519882202,527.8414153191616
Cusatuzumab,56.53,4.97,-0.192,29.4,-5.01,4.0,1.073,0.667,0.714,5.0,4.0,0.0,3.0,2.0,6.0,4.0,71.0,686.51,1.1,2.0,-3.19,89.57881652988104,80.0,4.619810856362533,1.0339694023132324,527.1650461288069
Dacetuzumab,67.44,9.18,-0.286,30.4,6.15,3.0,0.098,0.667,0.714,2.0,2.0,0.0,3.0,0.0,8.0,4.0,64.0,373.5,3.0,1.0,12.6,78.72012986234544,61.0,4.619991393493755,1.0755151510238647,534.1754983543201
Daclizumab,68.05,8.58,-0.388,38.9,2.99,3.0,1.081,0.556,0.571,1.0,1.0,0.0,0.0,0.0,8.0,4.0,60.0,432.72,4.0,2.0,0.2,85.1262432135301,61.0,4.704108547854733,2.8253397941589355,577.5941950915201
Dalidnetug,77.2,8.62,-0.416,41.7,2.98,3.0,1.071,0.556,0.714,3.0,3.0,0.0,2.0,1.0,8.0,4.0,69.0,215.44,3.0,3.0,6.51,80.208222749128,73.0,4.633615009396036,1.5896029472351074,486.33841073123983
Dalotuzumab,77.01,8.79,-0.306,31.5,3.9,3.0,1.82,0.556,0.571,3.0,3.0,0.0,1.0,1.0,7.0,4.0,67.0,370.15,3.0,1.0,6.6,79.96033211385212,73.0,4.670317331718844,1.3137205839157104,530.1161535478341
Dapirolizumab,78.35,8.31,-0.304,36.6,2.06,3.0,0.341,0.667,0.714,6.0,4.0,0.0,2.0,2.0,8.0,4.0,63.0,593.34,2.0,2.0,4.4,86.11078421118248,83.0,4.595235102718934,0.5928088426589966,565.5870161885274
Daretabart,71.84,8.97,-0.337,34.7,5.24,3.0,1.19,0.556,0.714,2.0,2.0,0.0,1.0,0.0,8.0,4.0,64.0,354.73,3.0,1.0,4.84,78.35330855176112,59.0,4.666619096936878,2.507113456726074,625.825741088185
Datopotamab,70.31,8.78,-0.248,31.9,3.89,3.0,0.004,0.556,0.714,4.0,3.0,0.0,0.0,0.0,9.0,4.0,66.0,340.75,3.0,3.0,6.3,82.75233776129538,69.0,4.703729810510277,2.1330020427703857,550.9119208822839
Dazukibart,78.47,8.29,-0.369,42.8,1.99,3.0,1.908,0.556,0.714,3.0,3.0,0.0,0.0,1.0,10.0,4.0,64.0,640.26,3.0,4.0,-3.0,85.51181204930373,74.0,4.691247182078175,2.2109880447387695,500.4994380685981
Delpacibart,77.06,8.82,-0.383,40.3,3.99,3.0,4.09,0.667,0.714,2.0,2.0,0.0,1.0,1.0,10.0,4.0,61.0,253.37,2.0,1.0,3.1,82.29106965676428,64.0,4.702150415123245,2.3485395908355713,562.4979522731027
Demcizumab,74.39,5.89,-0.346,31.4,-1.18,3.0,3.074,0.556,0.714,4.0,4.0,0.0,1.0,1.0,9.0,4.0,68.0,509.08,4.0,4.0,-2.0,78.6342238520704,73.0,4.691201212641957,0.7841740846633911,553.8638647503551
Denikitug,76.02,8.81,-0.282,39.0,3.98,3.0,3.896,0.556,0.571,3.0,3.0,0.0,2.0,2.0,9.0,4.0,71.0,913.47,4.0,2.0,0.8,75.65342293683165,68.0,4.597469456760507,0.7491147518157959,516.9791348808983
Denintuzumab,69.6,6.99,-0.172,37.6,-0.01,3.0,2.009,0.667,0.714,4.0,4.0,0.0,0.0,0.0,10.0,4.0,64.0,1091.07,3.0,3.0,0.0,84.47305410926441,76.0,4.763702395796044,2.34604549407959,562.8276506411245
Depatuxizumab,75.45,8.62,-0.357,36.7,2.9,3.0,6.819,0.556,0.714,2.0,2.0,0.0,2.0,1.0,9.0,4.0,61.0,389.38,2.0,2.0,0.6,87.59946289055414,62.0,4.715039575593711,1.78932523727417,510.99821791088385
Depemokimab,60.71,8.35,-0.228,30.1,1.91,2.0,1.999,0.778,0.857,10.0,9.0,0.0,2.0,1.0,9.0,4.0,70.0,527.42,2.1,3.0,4.4,73.79189913828908,78.0,4.7032982449839364,2.2660608291625977,515.9594524453593
Dezamizumab,68.5,7.06,-0.419,41.9,0.08,3.0,2.175,0.556,0.571,2.0,2.0,0.0,0.0,3.0,8.0,4.0,67.0,373.22,3.0,4.0,0.0,80.7126221758275,82.0,4.664154213476339,1.835135817527771,568.4305332221478
Disitamab,78.25,7.86,-0.38,31.7,1.24,3.0,2.833,0.667,0.714,3.0,2.0,0.0,0.0,1.0,8.0,4.0,58.0,584.4,3.0,2.0,0.0,82.02197711027415,61.0,4.5948031527441255,1.0479060411453247,591.4047620604069
Divozilimab,74.98,9.1,-0.327,38.0,5.98,3.0,0.072,0.556,0.714,3.0,3.0,0.0,1.0,0.0,10.0,4.0,65.0,256.53,3.0,1.0,4.0,84.30883697154358,68.0,4.664949777733041,1.0142329931259155,577.7532657085438
Domagrozumab,79.61,8.6,-0.317,41.2,2.88,3.0,1.008,0.556,0.714,3.0,2.0,0.0,2.0,1.0,9.0,4.0,61.0,218.09,3.0,1.0,3.1,86.9715506594861,62.0,4.686613352917835,1.8441553115844727,497.60320641924744
Domvanalimab,70.41,8.82,-0.272,41.6,3.97,3.0,1.92,0.667,0.857,5.0,3.0,0.0,2.0,0.0,11.0,4.0,64.0,583.6,3.0,2.0,8.0,85.41236844862873,81.0,4.591643632902338,1.1124248504638672,446.62379441328864
Donanemab,81.98,8.77,-0.335,34.6,3.82,3.0,0.08,0.667,0.714,3.0,3.0,0.0,0.0,1.0,8.0,4.0,65.0,380.19,3.0,2.0,5.1,77.61751080567414,55.0,4.722529747547248,1.5035014152526855,608.2480864413877
Donitabart,66.87,9.45,-0.319,29.3,9.07,3.0,0.644,0.556,0.714,2.0,2.0,0.0,1.0,0.0,9.0,4.0,64.0,474.92,4.0,1.0,21.2,78.92416221164028,58.0,4.660107300310078,1.9288945198059082,633.3101941952777
Donzakimig2,63.72,6.95,-0.425,38.1,-0.04,3.0,2.257,0.556,0.571,1.0,1.0,0.0,0.0,1.0,7.0,6.0,60.0,310.03,4.0,1.0,0.0,82.88797442494527,55.0,4.659533483898221,2.380401134490967,564.6454834882408
Dostarlimab,79.86,6.97,-0.288,41.9,-0.03,3.0,2.097,0.667,0.714,3.0,2.0,0.0,2.0,1.0,9.0,4.0,61.0,156.64,1.0,2.0,0.0,86.3892700222133,68.0,4.698827160567772,2.619657516479492,488.2582209848884
Dresbuxelimab,67.51,7.75,-0.387,32.8,0.81,2.0,0.911,0.667,0.714,5.0,5.0,1.0,1.0,0.0,7.0,4.0,72.0,248.94,2.0,4.0,0.0,72.5480437042855,83.0,4.684705752099466,2.2274277210235596,514.6473270036794
Drotokibart,66.99,8.64,-0.145,48.1,2.89,3.0,1.087,0.667,0.857,6.0,4.0,0.0,1.0,0.0,9.0,4.0,64.0,499.49,3.0,1.0,6.0,87.38765878581117,73.0,4.57450969029164,0.9063658118247986,535.5554992142778
Duligotuzumab,75.25,4.93,-0.25,38.4,-5.1,3.0,2.827,0.667,0.714,3.0,3.0,0.0,1.0,1.0,8.0,4.0,66.0,903.32,1.1,9.0,0.0,85.22771466510979,75.0,4.715154774109425,1.907239317893982,579.918472309349
Ebdarokimab,69.37,8.35,-0.307,52.9,1.81,3.0,1.998,0.556,0.714,4.0,3.0,0.0,0.0,1.0,13.0,4.0,64.0,413.95,2.0,2.0,2.0,82.43800145216154,77.0,4.644202395062137,1.7721256017684937,501.0374502094917
Ebribafusp,65.35,8.98,-0.317,39.9,4.81,3.0,0.906,0.556,0.714,1.0,1.0,0.0,0.0,3.0,9.0,4.0,61.0,300.87,3.0,2.0,6.2,77.82753223742287,51.0,4.724075102899957,2.804624080657959,620.2890701903301
Eclutatug,74.12,9.01,-0.334,39.8,4.89,2.0,0.838,0.556,0.571,2.0,2.0,0.0,2.0,1.0,9.0,4.0,64.0,523.66,3.0,2.0,15.5,83.99133127455265,68.0,4.721177769750176,1.9092695713043213,484.3545656563327
Eculizumab,64.55,5.23,-0.276,31.8,-2.26,3.0,0.007,0.556,0.571,1.0,1.0,0.0,0.0,1.0,10.0,4.0,67.0,612.73,3.0,2.0,-0.0,81.51964226304773,74.0,4.6361652743185875,1.8245021104812622,613.3379273071258
