antibody_id,origin,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters
Alcestobart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Alcestobart.pdb,86.72349577443984,51,4.731033856846461,2.36074161529541,,,H1-10-1,H2-16-?,H3-3,L1-11-1,L2-7-1,L3-9,,8.85,-0.316,48.1,3.7,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.6806,10,5,62,5
Aldastotug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Aldastotug.pdb,82.15791471717317,63,4.704935113075136,1.0016424655914307,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.85,-0.398,40.3,0.9,0.667,3.0,0,0,1,hydro_patch_moderate (0.67),HIGH,0.6528,20,6,48,4
Alextatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Alextatug.pdb,81.82072451695669,75,4.655740528500815,1.1020176410675049,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.72,-0.341,44.0,4.8,0.667,4.0,0,1,3,hydro_patch_moderate (0.67),HIGH,0.6027,21,5,42,4
Alirocumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Alirocumab.pdb,76.60755661822701,71,4.600535111281337,1.5660768747329712,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.356,35.0,0.9,0.556,2.0,1,1,4,,HIGH,0.7928,19,1,45,4
Alomfilimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Alomfilimab.pdb,83.8984809223827,66,4.7277958697893405,2.8560543060302734,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.72,-0.338,46.5,-2.0,0.556,3.0,0,3,2,,HIGH,0.6831,30,9,51,5
Alsevalimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Alsevalimab.pdb,83.82239424673283,66,4.70254580527544,1.8872838020324707,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.84,-0.278,44.7,3.8,0.556,2.0,0,0,0,,HIGH,0.7901,15,0,74,5
Amlenetug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Amlenetug.pdb,85.89331621113507,69,4.6652713250748965,2.208080530166626,,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,7.87,-0.321,42.1,0.8,0.556,3.0,0,2,2,,HIGH,0.8,16,1,65,4
Amlitelimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Amlitelimab.pdb,79.65283861456457,76,4.654217072794587,1.6737346649169922,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.66,-0.238,45.8,2.9,0.667,2.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7647,27,2,32,5
Amrecibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Amrecibart.pdb,82.22920914002985,71,4.741026234184624,2.825824499130249,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.86,-0.3,44.9,0.9,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7259,8,3,59,2
Amubarvimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Amubarvimab.pdb,85.27826879958894,60,4.712631019583919,2.0819573402404785,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,7.87,-0.229,39.4,0.9,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7138,11,0,75,5
Anetumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Anetumab.pdb,85.1654483886103,67,4.644582071921808,1.432851791381836,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.77,-0.309,36.6,-0.2,0.556,4.0,0,1,2,,HIGH,0.5919,13,8,51,5
Anifrolumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Anifrolumab.pdb,81.21958780761479,69,4.691700544246246,2.0596039295196533,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.86,-0.257,37.8,-0.1,0.667,3.0,0,0,2,hydro_patch_moderate (0.67),HIGH,0.6609,31,11,29,4
Ansipastobart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ansipastobart.pdb,87.59600760278236,67,4.5885142823154075,1.9251527786254883,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.37,-0.304,39.1,1.9,0.556,4.0,1,2,2,,HIGH,0.7304,22,1,38,4
Ansuvimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ansuvimab.pdb,85.97787836173897,67,4.707461186563916,2.295639991760254,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.39,-0.12,43.4,2.1,0.778,3.0,0,3,2,hydro_patch_high (0.78),HIGH,0.7037,29,6,17,4
Anumigilimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Anumigilimab.pdb,87.8489378049122,64,4.726075669839268,2.0819807052612305,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.35,-0.219,42.3,1.8,0.667,3.0,1,3,1,hydro_patch_moderate (0.67),HIGH,0.7398,12,1,54,4
Anzurstobart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Anzurstobart.pdb,85.85943877348362,78,4.697745998795523,2.3669347763061523,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.84,-0.282,41.5,3.7,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.4259,4,6,49,4
Apitegromab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Apitegromab.pdb,86.19627838554584,73,4.64077194651892,2.256329298019409,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.99,-0.294,43.8,-0.0,0.667,4.0,0,3,3,hydro_patch_moderate (0.67),HIGH,0.5679,13,3,76,4
Aprutumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Aprutumab.pdb,87.35502427398907,87,4.588176561329224,0.8264700174331665,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.85,-0.347,40.3,-0.1,0.556,4.0,0,2,2,,HIGH,0.6439,13,0,69,5
Ascrinvacumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Ascrinvacumab.pdb,83.50681640872972,71,4.662191880943072,1.9043793678283691,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.31,-0.279,33.3,1.8,0.556,3.0,0,0,0,,HIGH,0.6667,20,5,76,5
Astegolimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Astegolimab.pdb,81.88050050206057,74,4.7373693373613746,2.4947164058685303,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.15,-0.385,33.7,-3.1,0.556,3.0,0,1,0,pI_unusually_low (5.15),HIGH,0.6128,7,6,51,2
Atenastobart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Atenastobart.pdb,85.79340729860724,81,4.5899084800493695,1.6433906555175781,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.85,-0.344,30.2,1.0,0.556,4.0,0,2,0,,HIGH,0.7009,30,2,45,5
Atidortoxumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Atidortoxumab.pdb,83.26646122097709,61,4.758370258623645,2.7710795402526855,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.65,-0.2,37.6,2.9,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.7633,7,1,59,4
Atigotatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Atigotatug.pdb,85.17511747064455,68,4.725240306490767,1.9856857061386108,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.84,-0.373,48.0,0.8,0.556,3.0,0,3,1,,HIGH,0.5439,17,3,41,5
Atinumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Atinumab.pdb,88.4168609233319,55,4.731715782456202,1.6414015293121338,,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,8.67,-0.263,45.4,2.8,0.556,3.0,0,2,2,,HIGH,0.7619,19,3,61,5
Atisnolerbart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Atisnolerbart.pdb,82.73496441081598,66,4.645996086291518,1.5196884870529175,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.33,-0.291,37.0,1.8,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.5714,9,11,55,4
Atoltivimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Atoltivimab.pdb,85.7989148553558,69,4.668400332708651,0.5767171382904053,,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.64,-0.306,47.0,3.0,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.7068,12,0,51,5
Avdoralimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Avdoralimab.pdb,81.34670636880678,66,4.49531064994101,0.8393480181694031,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.6,-0.25,41.1,2.9,0.556,3.0,0,2,1,,HIGH,0.6923,16,2,71,3
Avelumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Avelumab.pdb,88.32269433289537,70,4.6615041097005205,1.379421353340149,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.63,-0.18,36.5,2.9,0.667,4.0,2,2,0,hydro_patch_moderate (0.67),HIGH,0.6667,6,5,63,3
Balonkibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Balonkibart.pdb,86.22616852909584,66,4.72275386218947,2.3308379650115967,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.201,43.8,1.9,0.667,3.0,0,2,0,hydro_patch_moderate (0.67),HIGH,0.7298,25,3,33,5
Balstilimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Balstilimab.pdb,86.63284943201862,52,4.750110242476311,2.1506881713867188,,,H1-10-1,H2-16-?,H3-4,L1-11-1,L2-7-1,L3-9,,9.05,-0.33,44.8,4.9,0.778,2.0,0,3,2,hydro_patch_high (0.78),HIGH,0.8148,5,0,101,1
Bamlanivimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bamlanivimab.pdb,81.14161998453217,74,4.649469660252941,1.7572517395019531,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.16,-0.297,49.2,6.8,0.667,3.0,1,0,0,hydro_patch_moderate (0.67),HIGH,0.6455,10,6,55,3
Bapotulimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bapotulimab.pdb,73.73174434187621,63,4.702829310890697,2.5634829998016357,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.32,-0.173,45.6,1.7,0.667,3.0,1,1,1,hydro_patch_moderate (0.67),HIGH,0.4074,1,9,96,3
Barecetamab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Barecetamab.pdb,89.19848983118725,70,4.696730205912712,2.3333005905151367,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.95,-0.318,42.6,-5.9,0.556,4.0,0,3,2,pI_unusually_low (4.95),HIGH,0.6439,22,6,48,5
Batoclimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Batoclimab.pdb,83.233336491671,77,4.601384135628122,1.5989811420440674,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.99,-0.175,35.1,-0.0,0.556,4.0,2,1,3,,HIGH,0.6667,11,4,59,5
Bebtelovimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bebtelovimab.pdb,84.81848508908897,71,4.6932297250166295,2.3181488513946533,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.06,-0.213,35.5,0.1,0.778,4.0,0,0,0,hydro_patch_high (0.78),HIGH,0.6997,31,4,41,5
Befovacimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Befovacimab.pdb,87.41509868913298,64,4.529897703751024,0.5991234183311462,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.34,34.1,1.9,0.667,3.0,2,3,1,hydro_patch_moderate (0.67),HIGH,0.6848,15,5,53,3
Belimumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Belimumab.pdb,80.63109835579479,63,4.710031663800808,2.6375327110290527,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.0,-0.362,41.3,0.0,0.667,4.0,1,0,2,hydro_patch_moderate (0.67),HIGH,0.5059,7,13,31,4
Belrestotug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Belrestotug.pdb,81.09994631611443,70,4.673660757423807,1.1331641674041748,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.62,-0.323,42.7,2.9,0.556,3.0,0,0,0,,HIGH,0.4981,7,4,69,5
Beludavimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Beludavimab.pdb,76.46667922647626,68,4.680018638119553,1.9425371885299683,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.64,-0.375,31.5,2.8,0.556,3.0,0,0,0,,HIGH,0.5632,15,14,47,5
Bempikibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bempikibart.pdb,84.39683443567277,64,4.726051727482971,2.4101462364196777,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.88,-0.251,41.8,1.0,0.556,3.0,0,4,1,,HIGH,0.5817,5,1,73,4
Bentracimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bentracimab.pdb,81.04634157686547,64,4.685333608862865,2.141378164291382,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.13,-0.228,37.1,-1.1,0.667,3.0,0,1,1,hydro_patch_moderate (0.67),HIGH,0.5514,22,20,21,5
Berlimatoxumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Berlimatoxumab.pdb,83.88169907121588,69,4.680493869104431,1.6554714441299438,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.6,-0.343,48.4,2.9,0.667,3.0,0,1,0,hydro_patch_moderate (0.67),HIGH,0.7135,5,2,64,3
Bermekimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bermekimab.pdb,83.56908100205757,70,4.646527206837224,2.384392023086548,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.05,-0.179,45.6,5.0,0.667,3.0,0,1,2,hydro_patch_moderate (0.67),HIGH,0.7788,34,4,25,4
Bersanlimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bersanlimab.pdb,88.21630114652905,62,4.66419254606636,1.739522099494934,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.84,-0.32,50.0,-0.1,0.778,4.0,0,2,3,hydro_patch_high (0.78),HIGH,0.6667,15,0,62,5
Bezetabart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bezetabart.pdb,85.30279531978044,70,4.733287162429716,2.6638481616973877,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.32,-0.261,38.6,2.0,0.778,3.0,0,2,2,hydro_patch_high (0.78),HIGH,0.6455,10,6,58,3
Bezlotoxumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bezlotoxumab.pdb,80.35591720404221,75,4.6163892885866895,0.9027875065803528,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.99,-0.36,39.8,4.8,0.556,3.0,0,0,1,,HIGH,0.5527,7,9,76,3
Bimagrumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bimagrumab.pdb,84.93608239566616,57,4.659401687136845,2.2660627365112305,,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,9.1,-0.304,35.8,5.8,0.556,4.0,0,0,0,,HIGH,0.6125,9,6,48,5
Birinkibart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Birinkibart.pdb,82.35344353636589,65,4.702476705947932,2.6018519401550293,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.27,-0.361,32.6,-3.2,0.556,4.0,0,0,1,pI_unusually_low (5.27),HIGH,0.7392,13,5,56,5
Bleselumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bleselumab.pdb,80.59554435433876,69,4.596390398300213,0.9272037148475647,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.99,-0.245,40.8,4.8,0.556,3.0,0,1,0,,HIGH,0.6308,14,10,50,5
Botensilimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Botensilimab.pdb,85.50799799744196,65,4.641346213116365,1.7484991550445557,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.86,-0.209,39.2,3.8,0.556,3.0,0,2,0,,HIGH,0.725,17,4,76,4
Brazikumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Brazikumab.pdb,86.83220891647655,69,4.619878085348213,1.08092200756073,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.13,-0.32,42.2,-1.1,0.778,4.0,0,2,3,hydro_patch_high (0.78),HIGH,0.7475,11,0,75,5
Bremzalerbart,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Bremzalerbart.pdb,87.59147312193174,66,4.542885670615126,0.508484959602356,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.63,-0.261,28.6,2.7,0.556,3.0,0,2,0,,HIGH,0.6592,27,4,22,5
Briakinumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Briakinumab.pdb,85.48146319956672,62,4.685750173530415,2.28515362739563,,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,9.13,-0.429,42.1,6.1,0.667,4.0,1,2,2,hydro_patch_moderate (0.67),HIGH,0.5498,16,5,74,5
Brodalumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Brodalumab.pdb,86.01060138012402,60,4.687892239243834,2.000603675842285,,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,9.02,-0.355,46.3,4.7,0.556,2.0,0,0,0,,HIGH,0.5931,19,10,43,5
Burosumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Burosumab.pdb,82.91183723204705,69,4.613143125736352,1.994444727897644,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,7.8,-0.232,37.1,0.9,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.6006,11,2,60,3
Calotatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Calotatug.pdb,85.87139575257554,57,4.7601593746695405,2.887885332107544,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.65,-0.244,44.0,3.1,0.556,3.0,0,2,1,,HIGH,0.8148,7,0,111,5
Calpurbatug,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Calpurbatug.pdb,88.46250060719177,70,4.56739571489526,1.1753818988800049,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.86,-0.352,21.4,3.8,0.667,3.0,0,0,2,hydro_patch_moderate (0.67),HIGH,0.6259,32,12,9,5
Camidanlumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Camidanlumab.pdb,83.77732816443898,59,4.563419085512703,1.2487328052520752,,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,9.0,-0.264,40.9,4.7,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.2222,0,5,65,1
Camoteskimab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Camoteskimab.pdb,79.71519611784605,78,4.677241794329626,1.9383981227874756,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.6,-0.333,30.3,2.9,0.556,3.0,0,0,1,,HIGH,0.709,15,9,54,5
Canakinumab,natural_384,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\natural\Canakinumab.pdb,86.38576186198408,72,4.707780990509543,2.3480281829833984,,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.8,-0.324,45.8,0.9,0.778,3.0,0,3,2,hydro_patch_high (0.78),HIGH,0.7743,20,2,48,5
