antibody_1,strategy_1,antibody_2,strategy_2,fr1_identity_pct
Sonelokimab1,Native,Isecarosmab,Native,96.0
Sonelokimab1,Native,Letolizumab,BM,92.0
Sonelokimab1,Native,Ozekibart,BM,88.0
Sonelokimab1,Native,Ozoralizumab,SR,96.0
Sonelokimab1,Native,Podentamig1,Native,88.0
Sonelokimab1,Native,Porustobart,BM,88.0
Sonelokimab1,Native,Rimteravimab,SR,100.0
Sonelokimab1,Native,Sonelokimab1,Native,100.0
Sonelokimab1,Native,Sonelokimab2,SR,96.0
Sonelokimab1,Native,Tarperprumig,BM,92.0
Sonelokimab1,Native,Vobarilizumab,SR,96.0
Sonelokimab2,SR,Brivekimig1,Native,92.0
Sonelokimab2,SR,Brivekimig2,BM,96.0
Sonelokimab2,SR,Caplacizumab,SR,100.0
Sonelokimab2,SR,Enristomig,BM,92.0
Sonelokimab2,SR,Envafolimab,SR,96.0
Sonelokimab2,SR,Erfonrilimab,SR,96.0
Sonelokimab2,SR,Gefurulimab,BM,96.0
Sonelokimab2,SR,Gocatamig2,BM,96.0
Sonelokimab2,SR,Isecarosmab,Native,92.0
Sonelokimab2,SR,Letolizumab,BM,96.0
Sonelokimab2,SR,Ozekibart,BM,92.0
Sonelokimab2,SR,Ozoralizumab,SR,100.0
Sonelokimab2,SR,Podentamig1,Native,92.0
Sonelokimab2,SR,Porustobart,BM,92.0
Sonelokimab2,SR,Rimteravimab,SR,96.0
Sonelokimab2,SR,Sonelokimab1,Native,96.0
Sonelokimab2,SR,Sonelokimab2,SR,100.0
Sonelokimab2,SR,Tarperprumig,BM,92.0
Sonelokimab2,SR,Vobarilizumab,SR,100.0
Tarperprumig,BM,Brivekimig1,Native,88.0
Tarperprumig,BM,Brivekimig2,BM,88.0
Tarperprumig,BM,Caplacizumab,SR,92.0
Tarperprumig,BM,Enristomig,BM,84.0
Tarperprumig,BM,Envafolimab,SR,96.0
Tarperprumig,BM,Erfonrilimab,SR,96.0
Tarperprumig,BM,Gefurulimab,BM,96.0
Tarperprumig,BM,Gocatamig2,BM,88.0
Tarperprumig,BM,Isecarosmab,Native,88.0
Tarperprumig,BM,Letolizumab,BM,88.0
Tarperprumig,BM,Ozekibart,BM,84.0
Tarperprumig,BM,Ozoralizumab,SR,92.0
Tarperprumig,BM,Podentamig1,Native,84.0
Tarperprumig,BM,Porustobart,BM,84.0
Tarperprumig,BM,Rimteravimab,SR,92.0
Tarperprumig,BM,Sonelokimab1,Native,92.0
Tarperprumig,BM,Sonelokimab2,SR,92.0
Tarperprumig,BM,Tarperprumig,BM,100.0
Tarperprumig,BM,Vobarilizumab,SR,92.0
Vobarilizumab,SR,Brivekimig1,Native,92.0
Vobarilizumab,SR,Brivekimig2,BM,96.0
Vobarilizumab,SR,Caplacizumab,SR,100.0
Vobarilizumab,SR,Enristomig,BM,92.0
Vobarilizumab,SR,Envafolimab,SR,96.0
Vobarilizumab,SR,Erfonrilimab,SR,96.0
Vobarilizumab,SR,Gefurulimab,BM,96.0
Vobarilizumab,SR,Gocatamig2,BM,96.0
Vobarilizumab,SR,Isecarosmab,Native,92.0
Vobarilizumab,SR,Letolizumab,BM,96.0
Vobarilizumab,SR,Ozekibart,BM,92.0
Vobarilizumab,SR,Ozoralizumab,SR,100.0
Vobarilizumab,SR,Podentamig1,Native,92.0
Vobarilizumab,SR,Porustobart,BM,92.0
Vobarilizumab,SR,Rimteravimab,SR,96.0
Vobarilizumab,SR,Sonelokimab1,Native,96.0
Vobarilizumab,SR,Sonelokimab2,SR,100.0
Vobarilizumab,SR,Tarperprumig,BM,92.0
Vobarilizumab,SR,Vobarilizumab,SR,100.0
