antibody_name,class_evidence_tier,class_ada_status,ada_value_display,verification_status,verification_matched_pcts,verification_unmatched,verification_source,ada_value_extraction,ada_value_annotation,canonical_provenance,evidence_source,citation_urls,pmids_extracted,data_record_key
Bevacizumab,A,incidence_reported,0.6% (14/2233 patients),verified_fda_label_dailymed_spl,[],[0.6],https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125085s301lbl.pdf,,bevacizumab
Bezlotoxumab,B,qualitative_immunogenicity,No treatment-emergent anti-drug antibodies observed (very limited immunogenicity),verified_qualitative_no_pct_to_match,[],[],https://www.fda.gov/media/98708/download,manually_verified,,reliable_merged_108,FDA标签验证更新,https://www.fda.gov/media/98708/download,,bezlotoxumab
Bimagrumab,A,incidence_reported,4.0%,unverified_clinical_trial_or_ema_source,[],[4.0],"no FDA approval; ADA 4% from clinical trial, not in DailyMed",ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40580805/,40580805,bimagrumab
Bimekizumab,A,incidence_reported,"34% (11/32) in BKZ+PBO group, 47% (8/17) in BKZ group over 36-week trial",verified_text_match,"[34.0, 47.0]",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,ai_extracted_from_real_url_human_review_needed,34%/47% from very small early-phase cohorts (n=32/17); registration trial ADA rate is substantially lower,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,,bimekizumab
Blinatumomab,A,incidence_reported,<1% (neutralizing antibodies),verified_text_match,[1.0],[],pmid:27209293,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/27209293/,27209293,blinatumomab
Brentuximab,A,incidence_reported,"7% (persistently positive antibodies), 30% (transiently positive antibodies)",unverified_clinical_trial_or_ema_source,[],"[7.0, 30.0]",DailyMed immunogenicity section found but 7%/30% text not extracted; Adcetris FDA label values known in literature,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.rxlist.com/adcetris-drug.htm;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125388s099lbl.pdf,,brentuximab
Brodalumab,A,incidence_reported,"0-3.3% (review), 2.38% (pooled), 5.0-9.8% (binding antibodies)",verified_partial_primary_value_confirmed,[3.3],"[2.38, 9.8]",https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,,brodalumab
Brolucizumab,A,incidence_reported,Pre-existing ADA: 36–52% in treatment-naïve patients (HAWK/HARRIER trials),verified_dailymed_spl,[36.0],[52.0],DailyMed:beovu:setid=5d1dc1fa-a2d3-46ed-9e9a-c1a036590d3d,ai_extracted_from_real_url_human_review_needed,ADA value is PRE-EXISTING (treatment-naive); treatment-emergent ADA rate is distinct and lower (~6-13%); pre-existing ADA does not predict clinical immunogenicity,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8182886/,,brolucizumab
Budigalimab,A,incidence_reported,1.80%,unverified_clinical_trial_or_ema_source,[],[1.8],investigational; no FDA approval; ADA 1.8% from phase-I study,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/41054153/,41054153,budigalimab
Burosumab,A,incidence_reported,Adults: 15% (20/131) ADA positive; Children 5-12 years: 19% (10/52); Children 1-4 years: 0% (0/13),verified_fda_label_dailymed_spl,[],"[15.0, 19.0]",https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,,burosumab
Camrelizumab,A,incidence_reported,20.4% of patients had at least one ADA-positive sample (49 patients evaluated),verified_text_match,[20.4],[],https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,,camrelizumab
Canakinumab,A,incidence_reported,"1.5% (CAPS patients), 3.1% (SJIA patients)",verified_text_match,"[1.5, 3.1]",[],https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125319s100lbl.pdf,,canakinumab
Caplacizumab,B,incidence_reported,3% ADA incidence in main trial (range: 2.8%-9% across studies),unverified_source_403_inaccessible,[],[],https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,,caplacizumab
Cemiplimab,A,incidence_reported,"1.9% (3 mg/kg q2w), 2.5% (350 mg q3w)",verified_text_match,"[1.9, 2.5]",[],pmid:37656820,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/37656820/,37656820,cemiplimab
Certolizumab,A,incidence_reported,5.1-6.1%,verified_text_match,[6.1],[],pmid:31783773,manually_verified,,reliable_merged_108,PubMed验证升级,https://pmc.ncbi.nlm.nih.gov/articles/PMC6883678/,31783773,certolizumab
Cetuximab,B,incidence_reported,5% (non-neutralizing antibodies),verified_text_match,[5.0],[],https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.885672/full,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.885672/full,,cetuximab
Cilgavimab,A,incidence_reported,Cilgavimab: 4.1% ADA incidence (2/49 participants); AZD7442 combination: 6.1% TE-ADA positive (3/49 participants),verified_text_match,"[4.1, 6.1]",[],pmid:40799036,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/40799036/,40799036,cilgavimab
Clazakizumab,A,incidence_reported,1.00%,verified_pmc_fulltext,[1.0],[1.0],PMC11371354,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/38995690/,38995690,clazakizumab
Concizumab,A,incidence_reported,25%,verified_text_match,[25.0],[],pmid:35290453,manually_verified,,rehabilitated_forward_search,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/35290453/,35290453,concizumab
Crizanlizumab,B,incidence_reported,0% ADA in main trial (no detectable antibody response); 1.6% (1/61) in healthy subject study,unverified_source_403_inaccessible,[],[],https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,,crizanlizumab
Daclizumab,A,incidence_reported,≤12% (anti-daclizumab antibodies including neutralizing),verified_pubmed_fulltext,[12.0],[12.0],PMC12301192,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC5199226/,,daclizumab
Daratumumab,B,incidence_reported,0% (no ADA detected in two monotherapy trials),unverified_source_403_inaccessible,[],[],https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,,daratumumab
Dazukibart,A,incidence_reported,20.0%,verified_text_match,[20.0],[],pmid:40401504,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40401504/,40401504,dazukibart
Denosumab,B,incidence_reported,<1% (exact percentage not specified but below 1% threshold),verified_text_match,"[1.0, 1.0]",[],https://link.springer.com/article/10.1007/s00198-025-07711-x,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://link.springer.com/article/10.1007/s00198-025-07711-x,,denosumab
Dinutuximab,B,incidence_reported,Overall ADA incidence: 16.8-57.1% across studies; Neutralizing antibodies: 3.6-63.5% of ADA-positive patients,unverified_source_403_inaccessible,[],[],https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,ai_extracted_from_real_url_human_review_needed,16.8–57.1% range across studies; chimeric anti-GD2 antibody has inherent high immunogenicity; neutralizing ab fraction (3.6–63.5% of ADA+) should be distinguished,reliable_merged_108,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,,dinutuximab
Donanemab,A,incidence_reported,>90% TE-ADA,verified_text_match,[90.0],[],pmid:33614890,manually_verified,,rehabilitated_forward_search,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/33614890/,33614890,donanemab
Dostarlimab,A,incidence_reported,2.5% treatment-emergent ADA incidence at recommended therapeutic dose,verified_text_match,[2.5],[],https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,,dostarlimab
Dupilumab,B,incidence_reported,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.74%,unverified_source_403_inaccessible,[],[],https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf;https://www.jaci-inpractice.org/article/S2213-2198(23,,dupilumab
Durvalumab,B,incidence_reported,"0.8% (anti-drug antibodies), 0.8% (neutralizing antibodies)",verified_text_match,"[0.8, 0.8]",[],https://link.springer.com/article/10.1007/s11523-023-01007-y,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://link.springer.com/article/10.1007/s11523-023-01007-y,,durvalumab
Ebronucimab,B,incidence_reported,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,unverified_source_403_inaccessible,[],[],https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,,ebronucimab
Ecromeximab,A,incidence_reported,1.80%,unverified_clinical_trial_or_ema_source,[],[1.8],abandoned drug; no DailyMed; 1.8% from phase-I clinical trial paper,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/28489678/,28489678,ecromeximab
Eculizumab,B,incidence_reported,<2% detection rate (clinical trials),unverified_source_403_inaccessible,[],[],https://www.drugs.com/monograph/eculizumab.html,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.drugs.com/monograph/eculizumab.html,,eculizumab
Efalizumab,A,incidence_reported,approximately 5%,verified_text_match,[5.0],[],pmid:16503742,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/16503742/,16503742,efalizumab
Elezanumab,A,incidence_reported,2.0%,unverified_clinical_trial_or_ema_source,[],[2.0],investigational (AbbVie); no FDA approval; 2% from phase-I,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/38191982/,38191982,elezanumab
Elotuzumab,B,incidence_reported,"15% (NEJM), 18.5% (Springer), ~15-40% depending on regimen",unverified_source_403_inaccessible,[],[],https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,,elotuzumab
Emicizumab,B,incidence_reported,5.1% (34/668 patients),verified_text_match,[5.1],[],https://haematologica.org/article/view/haematol.2022.282099,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://haematologica.org/article/view/haematol.2022.282099,,emicizumab
Enfortumab,A,incidence_reported,"1% transiently positive (4/365 patients), 0.3% persistently positive (1/365 patients)",verified_pubmed_fulltext,[1.0],"[1.0, 0.3]",PMID33991512,manually_verified,,reliable_merged_108,FDA标签验证更新,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761137s000lbl.pdf,,enfortumab
Enuzovimab,A,incidence_reported,1.50%,unverified_clinical_trial_or_ema_source,[],[1.5],Chinese COVID-19 antibody (HFB30132A); no FDA/DailyMed entry,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/39793935/,39793935,enuzovimab
Eptinezumab,A,incidence_reported,20.6% (Study 1); 18.3% (Study 2); 18% (open-label),verified_pmc_fulltext,"[20.6, 18.3, 18.0]","[20.6, 18.3, 18.0]",PMC8446121,manually_verified,,rehabilitated_forward_search,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/34540516/,34540516,eptinezumab
Erenumab,B,incidence_reported,"6.3% (70mg dose), 2.6% (140mg dose)",verified_pmc_fulltext,"[6.3, 2.6]","[6.3, 2.6]",PMID33413094,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf,,erenumab
Etaracizumab,A,incidence_reported,5.0%,unverified_clinical_trial_or_ema_source,[],[5.0],abandoned (MEDI-522/Vitaxin); no DailyMed; 5% from early trial,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/17390341/,17390341,etaracizumab
Etrolizumab,A,incidence_reported,2%,verified_text_match,[2.0],[],pmid:40481373,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40481373/,40481373,etrolizumab
Evolocumab,B,incidence_reported,0.1% (7/4846 subjects),unverified_source_403_inaccessible,[],[],https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,,evolocumab
Exidavnemab,A,incidence_reported,7.00%,unverified_clinical_trial_or_ema_source,[],[7.0],phase-I alpha-synuclein antibody; no FDA approval; 7% from SAD study,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/39105497/,39105497,exidavnemab
Faricimab,A,incidence_reported,~10%,verified_pmc_fulltext,[10.0],[10.0],PMC11563007,manually_verified,,rehabilitated_forward_search,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/39535744/,39535744,faricimab
Fremanezumab,A,incidence_reported,0.4%,verified_pmc_fulltext,[0.4],[0.4],PMC6955415,manually_verified,,rehabilitated_forward_search,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/31418911/,31418911,fremanezumab
Frunevetmab,A,incidence_reported,15.8%,verified_text_match,[15.8],[],pmid:34179175,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/34179175/,34179175,frunevetmab
Fulranumab,A,incidence_reported,6.0%,unverified_clinical_trial_or_ema_source,[],[6.0],abandoned NGF antibody; no DailyMed; 6% from clinical immunogenicity assay paper,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/24590506/,24590506,fulranumab
Galcanezumab,B,incidence_reported,"4.8% (EMA), 4.8% (33/688 patients), 4.6% (phase 2b)",verified_fda_label_dailymed_spl,[],"[4.8, 4.8, 4.6]",https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,,galcanezumab
Gemtuzumab,A,incidence_reported,"1.1% (2/182 patients), 5% (2/40 phase 1), 0% (0/142 phase 2)",unverified_clinical_trial_or_ema_source,[],"[1.1, 5.0]",DailyMed Mylotarg immunogenicity section found but 1.1% not extracted from XML,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287284/,,gemtuzumab
Golimumab,A,incidence_reported,4.1-4.6%,verified_pmid_corrected_match,[],[4.6],pmid:23089571,manually_verified,,pmid_corrected_via_pubmed_search,PubMed验证升级,https://pmc.ncbi.nlm.nih.gov/articles/PMC8115761/,30412238,golimumab
Guselkumab,A,incidence_reported,"4.1-14.7% (systematic review), 7.94% (pooled), 2% (clinical trial)",verified_partial_primary_value_confirmed,[14.7],"[7.94, 2.0]",pmid:35246887,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/35246887/,35246887,guselkumab
Ibritumomab,A,incidence_reported,approximately 2% (HAMA in heavily pretreated patients),verified_text_match,[2.0],[],https://pmc.ncbi.nlm.nih.gov/articles/PMC2721318/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC2721318/,,ibritumomab
Infliximab,A,incidence_reported,"10-40% (Crohn's), 8-17% (RA), 12-44% (AS), 7-18% (PsA)",unverified_clinical_trial_or_ema_source,[],"[40.0, 17.0, 44.0, 18.0]","ranges (10-40%/8-17%) are multi-study literature values, not a single FDA label figure; DailyMed section found but ranges not matched",manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/103772s5412lbl.pdf,,infliximab
Isatuximab,B,incidence_reported,"1.9% (Springer), 2.3% (FDA), 4.2% (Nature)",verified_text_match,"[1.9, 2.3, 4.2]",[],https://link.springer.com/article/10.1007/s11523-021-00827-0,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://link.springer.com/article/10.1007/s11523-021-00827-0,,isatuximab
Itolizumab,A,incidence_reported,15.75%,verified_pmc_fulltext,[15.75],[15.75],PMC4407739,manually_verified,,rehabilitated_forward_search,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/25945063/,25945063,itolizumab
Ixekizumab,A,incidence_reported,14.29% (pooled meta-analysis of 86 studies in psoriasis),verified_text_match,[14.29],[],pmid:38499168,manually_verified,,rehabilitated_forward_search,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/38499168/,38499168,ixekizumab
Lanadelumab,A,incidence_reported,12%,verified_pmc_fulltext,[12.0],[12.0],PMC12259450,manually_verified,,rehabilitated_forward_search,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/31560114/,31560114,lanadelumab
Lecanemab,A,incidence_reported,3.4%,verified_dailymed_spl_pmid_corrected,[],[3.4],pmid:38932388,manually_verified,,dailymed_spl_verified,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/38932388/,38932388,lecanemab
Lokivetmab,A,incidence_reported,2.5%,verified_text_match,[2.5],[],pmid:27647513,manually_verified,,rehabilitated_forward_search,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/27647513/,27647513,lokivetmab
Margetuximab,B,incidence_reported,1.7%,unverified_source_403_inaccessible,[],[],https://www.drugs.com/sfx/margetuximab-side-effects.html,manually_verified,,reliable_merged_108,FDA标签验证更新,https://www.drugs.com/sfx/margetuximab-side-effects.html,,margetuximab
Mepolizumab,A,incidence_reported,2.91% (95% CI: 1.60-4.55),verified_text_match,[2.91],[],https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,mepolizumab
Mogamulizumab,B,incidence_reported,3.9% (10/258 patients),unverified_source_403_inaccessible,[],[],https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,,mogamulizumab
Natalizumab,A,incidence_reported,6% persistent antibodies,verified_text_match,[6.0],[],pmid:17761550,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/17761550/,17761550,natalizumab
Naxitamab,A,incidence_reported,8%,verified_dailymed_spl_pmid_corrected,[],[8.0],pmid:39177945,manually_verified,,dailymed_spl_verified,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/39177945/,39177945,naxitamab
Necitumumab,A,incidence_reported,4.1% (33/814 patients),verified_text_match,[4.1],[],https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,,necitumumab
Nirsevimab,A,incidence_reported,"5% (Trial 04, N=1778); 3.3% (Trial 03, N=492)",verified_dailymed_spl_pmid_corrected,[],"[5.0, 3.3]",pmid:39572535,manually_verified,,dailymed_spl_verified,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/39572535/,39572535,nirsevimab
Nivolumab,B,incidence_reported,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",unverified_source_403_inaccessible,[],[],https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,ai_extracted_from_real_url_human_review_needed,23.8–37.8% only in combination regimens; monotherapy rate 8.5%; do not quote combination value as single ADA incidence,reliable_merged_108,批量升级至A类标准,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,,nivolumab
Obinutuzumab,B,incidence_reported,approximately 13%,unverified_source_403_inaccessible,[],[],https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,,obinutuzumab
Ocrelizumab,B,incidence_reported,approximately 1% (12/1311 patients),unverified_source_403_inaccessible,[],[],https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,,ocrelizumab
Ofatumumab,A,incidence_reported,0.22% (2/914 patients),verified_pmc_fulltext,[0.22],[0.22],PMC10444716,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/37450172/,37450172,ofatumumab
Olaratumab,A,incidence_reported,3.5% (13/370 evaluable patients),unverified_clinical_trial_or_ema_source,[],[3.5],withdrawn from market 2019; DailyMed no longer has SPL,manually_verified,,reliable_merged_108,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,,olaratumab
Omalizumab,A,incidence_reported,"0.00% (systematic review), 0.06% (1/1723 patients)",verified_text_match,[0.06],[],https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,ai_extracted_from_real_url_human_review_needed,,reliable_merged_108,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,omalizumab
