antibody_name,approval_year,assay_platform,assay_generation,dose_mg,dose_freq,dose_route_detail,fc_engineering,fc_effector_status,mtx_comedication,immunosuppressant_context,half_life_days,notes
Ixekizumab,2016,ECL,2,80,q2-4w,SC,IgG4,reduced_effector,none,none,13,IgG4 anti-IL-17A
Lanadelumab,2018,ECL,2,300,q2w,SC,none,normal_IgG1,none,none,14,Anti-kallikrein; HAE prophylaxis
Lecanemab,2023,ECL,2,10 mg/kg,biweekly,IV infusion,IgG1,normal_IgG1,none,none,~7,Anti-amyloid; AD; ARIA monitoring
Mepolizumab,2015,ECL,2,100,q4w,SC,IgG1κ,normal_IgG1,none,ICS background,~20,Anti-IL-5; eosinophilic asthma
Natalizumab,2004,ELISA,1,300,monthly,IV infusion,IgG4,reduced_effector,none,none,~16,Anti-α4-integrin; MS; monthly IV
Naxitamab,2020,ECL,2,3 mg/kg,cycle-based,IV infusion,IgG1,normal_IgG1,none,GM-CSF premedication,~9,Anti-GD2; pediatric neuroblastoma
Necitumumab,2015,ECL,2,800,q2w,IV infusion,none,normal_IgG1,none,chemo combination always,~14,Anti-EGFR; always with gemcitabine/cisplatin
Nirsevimab,2023,ECL,2,50-100,single dose,IM,IgG1 with YTE,extended_half_life,none,none,~70,Single dose RSV prophylaxis; YTE Fc mutations
Ofatumumab,2009,ECL,2,20,monthly,SC (small dose autoinjector),none,normal_IgG1,none,none,16,Anti-CD20; very low dose SC in MS
Omalizumab,2003,ELISA,1,150-375,q2-4w,SC,IgG1κ,normal_IgG1,none,ICS background,~26,Anti-IgE; long-established safety; ELISA era but 0% ADA
Ozoralizumab,2022,ECL,2,30,q4w,SC,VHH-VHH-VHH trivalent,no_Fc_fragment,none,MTX combination common,~30 (PEG extends),PEGylated anti-TNF nanobody trivalent; no Fc; Japan approval
Panitumumab,2006,ELISA,1,6 mg/kg,q2w,IV infusion,IgG2κ,reduced_effector,none,chemo combination,~7.5,Anti-EGFR; fully human IgG2
Pembrolizumab,2014,ECL,2,200,q3w,IV infusion,IgG4κ with S228P,stabilized_IgG4,none,chemo combination sometimes,26,S228P hinge stabilization; most widely used checkpoint
Ranibizumab,2006,ECL,2,0.5,monthly,IVT (intravitreal),none,Fab_no_Fc,none,none,~9 days (vitreous),Fab fragment; intravitreal; derived from bevacizumab
Ravulizumab,2018,ECL,2,~60 mg/kg loading,q8w,IV infusion,IgG2/4 hybrid + YTE-like,extended_recycling,moderate_proportion,immunosuppressants in some aHUS,~50,Ultra-long half-life via Fc recycling
Reslizumab,2016,ECL,2,3 mg/kg,q4w,IV infusion,IgG4κ,reduced_effector,none,ICS background,~24,IV anti-IL-5; weight-based dosing
Retifanlimab,2024,ECL,2,500,q4w,IV infusion,IgG4,reduced_effector,none,chemo combination,~25,Anti-PD-1; Merkel cell carcinoma
Risankizumab,2019,ECL,2,150,q12w,SC (after IV loading),IgG1,normal_IgG1,none,none,~28,Anti-IL-23p19; humanized; surprisingly high ADA for modern drug
Romosozumab,2019,ECL,2,210,monthly,SC,IgG2,reduced_effector,none,none,12.8,Anti-sclerostin; osteoporosis; cardiovascular warning
Sacituzumab,2020,ECL,2,10 mg/kg,d1/8 q21d,IV infusion,IgG1κ ADC,normal_IgG1,none,chemo setting,~16,Anti-Trop-2 ADC; SN-38 payload
Sarilumab,2017,ECL,2,200,q2w,SC,IgG1,normal_IgG1,moderate_proportion,MTX in RA,~10,Anti-IL-6Rα; MTX co-medication in RA
Tarlatamab,2024,ECL,2,10,q2w,IV infusion,IgG1 BiTE,bispecific_effector,none,none,~14,DLL3/CD3 BiTE; SCLC; T-cell engager
Teprotumumab,2020,ECL,2,10-20 mg/kg,q3w,IV infusion,none,normal_IgG1,none,none,~21,Anti-IGF-1R; thyroid eye disease; high IV dose
Tildrakizumab,2018,ECL,2,100,q12w,SC,IgG1κ,normal_IgG1,none,none,~23,Anti-IL-23p19; long dosing interval
Tisotumab,2021,ECL,2,2 mg/kg,q3w,IV infusion,IgG1 ADC,normal_IgG1,none,chemo setting,~4,Anti-TF ADC; vedotin payload
Tixagevimab,2021,ECL,2,300,single,IM,IgG1 with YTE+TM,modified_half_life,none,none,~90,Evusheld combination; YTE+TM mutations
Tocilizumab,2010,ECL,2,4-8 mg/kg,q4w,IV infusion,IgG1,normal_IgG1,moderate_proportion,MTX in RA common,~13,Anti-IL-6R; weight-based IV dosing; MTX reduces ADA
Toripalimab,2023,ECL,2,240,q3w,IV infusion,IgG4κ,reduced_effector,none,chemo combination,~18,Chinese-origin anti-PD-1
Tralokinumab,2021,ECL,2,300 loading then 300,q2w,SC,IgG4,reduced_effector,none,none,~22,Anti-IL-13; atopic dermatitis
Trastuzumab,2010,ELISA/ECL mixed,1.5,6 mg/kg maintenance,q3w,IV infusion,IgG1,normal_IgG1,none,chemo combination always,~28,Anti-HER2; chemo always; original ELISA data
Ustekinumab,2009,ECL,2,45-90,q12w,SC,IgG1κ,normal_IgG1,none,none,~22,Fully human; anti-IL-12/23 p40; very long dosing interval; low ADA
Vedolizumab,2014,ECL,2,300,q8w (after loading),IV infusion,IgG1,normal_IgG1,moderate_proportion,5-ASA/steroids/thiopurines in IBD,~25,Anti-α4β7; gut-selective; IBD background therapy
Zenocutuzumab,2024,ECL,2,750,q2w,IV infusion,IgG1 bispecific,modified,none,chemo setting,~7,Anti-HER2/HER3 bispecific; NRG1+ tumors
