record_id,antibody_name,evidence_tier,ada_status,ada_value_display,canonical_provenance,evidence_quality,skip_automatic_ada_expansion,citation_urls,pmids_extracted,data_record_key
inn:bamlanivimab,Bamlanivimab,A,incidence_reported,2.1%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33528553/,33528553,bamlanivimab
inn:basiliximab,Basiliximab,B,incidence_reported,"Anti-idiotype antibodies: 1.2% (4/339), HAMA: 1.4-11.8% depending on co-medication",reliable_merged_108,medium_high,True,https://www.rxlist.com/simulect-drug.htm,,basiliximab
inn:belantamab,Belantamab,A,incidence_reported,17%,reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/31711027/,31711027,belantamab
inn:belimumab,Belimumab,B,incidence_reported,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",reliable_merged_108,high,True,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,,belimumab
inn:benralizumab,Benralizumab,A,incidence_reported,13% (treatment‑emergent ADA response),reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf,,benralizumab
inn:bevacizumab,Bevacizumab,A,incidence_reported,0.6% (14/2233 patients),reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125085s332lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125085s301lbl.pdf,,bevacizumab
inn:bezlotoxumab,Bezlotoxumab,B,qualitative_immunogenicity,No treatment-emergent anti-drug antibodies observed (very limited immunogenicity),reliable_merged_108,high,True,https://www.fda.gov/media/98708/download,,bezlotoxumab
inn:bimagrumab,Bimagrumab,A,incidence_reported,4.0%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/40580805/,40580805,bimagrumab
inn:bimekizumab,Bimekizumab,A,incidence_reported,"34% (11/32) in BKZ+PBO group, 47% (8/17) in BKZ group over 36-week trial",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,,bimekizumab
inn:blinatumomab,Blinatumomab,A,incidence_reported,<1% (neutralizing antibodies),reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/27209293/,27209293,blinatumomab
inn:brentuximab,Brentuximab,A,incidence_reported,"7% (persistently positive antibodies), 30% (transiently positive antibodies)",reliable_merged_108,high,True,https://www.rxlist.com/adcetris-drug.htm;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125388s099lbl.pdf,,brentuximab
inn:brodalumab,Brodalumab,A,incidence_reported,"0-3.3% (review), 2.38% (pooled), 5.0-9.8% (binding antibodies)",reliable_merged_108,medium-high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,,brodalumab
inn:brolucizumab,Brolucizumab,A,incidence_reported,Pre-existing ADA: 36–52% in treatment-naïve patients (HAWK/HARRIER trials),reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8182886/,,brolucizumab
inn:budigalimab,Budigalimab,A,incidence_reported,1.80%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/41054153/,41054153,budigalimab
inn:burosumab,Burosumab,A,incidence_reported,Adults: 15% (20/131) ADA positive; Children 5-12 years: 19% (10/52); Children 1-4 years: 0% (0/13),reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,,burosumab
inn:cadonilimab,Cadonilimab,A,incidence_reported,5.2%,reliable_merged_108,low,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10012886/,34807181,cadonilimab
inn:camrelizumab,Camrelizumab,A,incidence_reported,20.4% of patients had at least one ADA-positive sample (49 patients evaluated),reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,,camrelizumab
inn:canakinumab,Canakinumab,A,incidence_reported,"1.5% (CAPS patients), 3.1% (SJIA patients)",reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125319s100lbl.pdf,,canakinumab
inn:caplacizumab,Caplacizumab,B,incidence_reported,3% ADA incidence in main trial (range: 2.8%-9% across studies),reliable_merged_108,high,True,https://www.nejm.org/doi/full/10.1056/NEJMoa1806311,,caplacizumab
inn:cemiplimab,Cemiplimab,A,incidence_reported,"1.9% (3 mg/kg q2w), 2.5% (350 mg q3w)",reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/37656820/,37656820,cemiplimab
inn:certolizumab,Certolizumab,A,incidence_reported,5.1-6.1%,reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC6883678/,31783773,certolizumab
inn:cetuximab,Cetuximab,B,incidence_reported,5% (non-neutralizing antibodies),reliable_merged_108,high,True,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.885672/full,,cetuximab
inn:cilgavimab,Cilgavimab,A,incidence_reported,Cilgavimab: 4.1% ADA incidence (2/49 participants); AZD7442 combination: 6.1% TE-ADA positive (3/49 participants),reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/40799036/,40799036,cilgavimab
inn:clazakizumab,Clazakizumab,A,incidence_reported,1.00%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/38995690/,38995690,clazakizumab
inn:clesrovimab,Clesrovimab,B,incidence_reported,22.6%,reliable_merged_108,high,True,https://api.fda.gov/drug/label.json,,clesrovimab
inn:concizumab,Concizumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30367836/,30367836,concizumab
inn:crizanlizumab,Crizanlizumab,B,incidence_reported,0% ADA in main trial (no detectable antibody response); 1.6% (1/61) in healthy subject study,reliable_merged_108,high,True,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,,crizanlizumab
inn:crovalimab,Crovalimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34276736/,34276736,crovalimab
inn:daclizumab,Daclizumab,A,incidence_reported,≤12% (anti-daclizumab antibodies including neutralizing),reliable_merged_108,medium,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC5199226/,,daclizumab
inn:daratumumab,Daratumumab,B,incidence_reported,0% (no ADA detected in two monotherapy trials),reliable_merged_108,high,True,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,,daratumumab
inn:dazukibart,Dazukibart,A,incidence_reported,20.0%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/40401504/,40401504,dazukibart
inn:denosumab,Denosumab,B,incidence_reported,<1% (exact percentage not specified but below 1% threshold),reliable_merged_108,high,True,https://link.springer.com/article/10.1007/s00198-025-07711-x,,denosumab
inn:depemokimab,Depemokimab,B,incidence_reported,95%,reliable_merged_108,high,True,https://api.fda.gov/drug/label.json,,depemokimab
inn:dinutuximab,Dinutuximab,B,incidence_reported,Overall ADA incidence: 16.8-57.1% across studies; Neutralizing antibodies: 3.6-63.5% of ADA-positive patients,reliable_merged_108,high,True,https://www.oncologynewscentral.com/drugs/monograph/168737-316005/dinutuximab-intravenous,,dinutuximab
inn:domvanalimab,Domvanalimab,A,incidence_reported,17.2%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/40592848/,40592848,domvanalimab
inn:donanemab,Donanemab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/32401365/,32401365,donanemab
inn:dostarlimab,Dostarlimab,A,incidence_reported,2.5% treatment-emergent ADA incidence at recommended therapeutic dose,reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,,dostarlimab
inn:dupilumab,Dupilumab,B,incidence_reported,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.74%,reliable_merged_108,high,True,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf;https://www.jaci-inpractice.org/article/S2213-2198(23,,dupilumab
inn:durvalumab,Durvalumab,B,incidence_reported,"0.8% (anti-drug antibodies), 0.8% (neutralizing antibodies)",reliable_merged_108,high,True,https://link.springer.com/article/10.1007/s11523-023-01007-y,,durvalumab
inn:ebronucimab,Ebronucimab,B,incidence_reported,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,reliable_merged_108,medium-high,True,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,,ebronucimab
inn:ecromeximab,Ecromeximab,A,incidence_reported,1.80%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/28489678/,28489678,ecromeximab
inn:eculizumab,Eculizumab,B,incidence_reported,<2% detection rate (clinical trials),reliable_merged_108,high,True,https://www.drugs.com/monograph/eculizumab.html,,eculizumab
inn:efalizumab,Efalizumab,A,incidence_reported,approximately 5%,reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/16503742/,16503742,efalizumab
inn:elezanumab,Elezanumab,A,incidence_reported,2.0%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/38191982/,38191982,elezanumab
inn:elotuzumab,Elotuzumab,B,incidence_reported,"15% (NEJM), 18.5% (Springer), ~15-40% depending on regimen",reliable_merged_108,high,True,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,,elotuzumab
inn:emapalumab,Emapalumab,A,incidence_reported,10%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30352551/,30352551,emapalumab
inn:emicizumab,Emicizumab,B,incidence_reported,5.1% (34/668 patients),reliable_merged_108,high,True,https://haematologica.org/article/view/haematol.2022.282099,,emicizumab
inn:enfortumab,Enfortumab,A,incidence_reported,"1% transiently positive (4/365 patients), 0.3% persistently positive (1/365 patients)",reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761137s000lbl.pdf,,enfortumab
inn:enuzovimab,Enuzovimab,A,incidence_reported,1.50%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/39793935/,39793935,enuzovimab
inn:eptinezumab,Eptinezumab,A,incidence_reported,5%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31180181/,31180181,eptinezumab
inn:erenumab,Erenumab,B,incidence_reported,"6.3% (70mg dose), 2.6% (140mg dose)",reliable_merged_108,high,True,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf,,erenumab
inn:etaracizumab,Etaracizumab,A,incidence_reported,5.0%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/17390341/,17390341,etaracizumab
inn:etesevimab,Etesevimab,C,incidence_reported,1.7%,panel_151_extended,high,True,,,etesevimab
inn:etrolizumab,Etrolizumab,A,incidence_reported,2%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/40481373/,40481373,etrolizumab
inn:evinacumab,Evinacumab,A,incidence_reported,2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33446410/,33446410,evinacumab
inn:evolocumab,Evolocumab,B,incidence_reported,0.1% (7/4846 subjects),reliable_merged_108,high,True,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,,evolocumab
inn:exidavnemab,Exidavnemab,A,incidence_reported,7.00%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/39105497/,39105497,exidavnemab
inn:faricimab,Faricimab,A,incidence_reported,4.3%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34416201/,34416201,faricimab
inn:favezelimab,Favezelimab,A,incidence_reported,42.9%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/40668662/,40668662,favezelimab
inn:fremanezumab,Fremanezumab,A,incidence_reported,5.4%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30153139/,30153139,fremanezumab
inn:frunevetmab,Frunevetmab,A,incidence_reported,15.8%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/34179175/,34179175,frunevetmab
inn:fulranumab,Fulranumab,A,incidence_reported,6.0%,reliable_merged_108,medium,True,https://pubmed.ncbi.nlm.nih.gov/24590506/,24590506,fulranumab
inn:galcanezumab,Galcanezumab,B,incidence_reported,"4.8% (EMA), 4.8% (33/688 patients), 4.6% (phase 2b)",reliable_merged_108,high,True,https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,,galcanezumab
inn:garadacimab,Garadacimab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33446255/,33446255,garadacimab
inn:gemtuzumab,Gemtuzumab,A,incidence_reported,"1.1% (2/182 patients), 5% (2/40 phase 1), 0% (0/142 phase 2)",reliable_merged_108,medium,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287284/,,gemtuzumab
inn:glofitamab,Glofitamab,A,incidence_reported,<1%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31562122/,31562122,glofitamab
inn:golimumab,Golimumab,A,incidence_reported,4.1-4.6%,reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8115761/,23089571,golimumab
inn:guselkumab,Guselkumab,A,incidence_reported,"4.1-14.7% (systematic review), 7.94% (pooled), 2% (clinical trial)",reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/35246887/,35246887,guselkumab
inn:ibalizumab,Ibalizumab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/29854862/,29854862,ibalizumab
inn:ibritumomab,Ibritumomab,A,incidence_reported,approximately 2% (HAMA in heavily pretreated patients),reliable_merged_108,medium,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC2721318/,,ibritumomab
inn:inebilizumab,Inebilizumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/32251791/,32251791,inebilizumab
inn:infliximab,Infliximab,A,incidence_reported,"10-40% (Crohn's), 8-17% (RA), 12-44% (AS), 7-18% (PsA)",reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/103772s5412lbl.pdf,,infliximab
inn:isatuximab,Isatuximab,B,incidence_reported,"1.9% (Springer), 2.3% (FDA), 4.2% (Nature)",reliable_merged_108,high,True,https://link.springer.com/article/10.1007/s11523-021-00827-0,,isatuximab
inn:itolizumab,Itolizumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/26179019/,26179019,itolizumab
inn:ixekizumab,Ixekizumab,A,incidence_reported,11.5%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/27863164/,27863164,ixekizumab
inn:lanadelumab,Lanadelumab,A,incidence_reported,4%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/29131896/,29131896,lanadelumab
inn:lebrikizumab,Lebrikizumab,A,incidence_reported,5.2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/27372567/,27372567,lebrikizumab
inn:lecanemab,Lecanemab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30715054/,30715054,lecanemab
inn:leronlimab,Leronlimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/32203083/,32203083,leronlimab
inn:levilimab,Levilimab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33388064/,33388064,levilimab
inn:lokivetmab,Lokivetmab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,lokivetmab
inn:loncastuximab,Loncastuximab,A,incidence_reported,10.3%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31697826/,31697826,loncastuximab
inn:margetuximab,Margetuximab,B,incidence_reported,1.7%,reliable_merged_108,high,True,https://www.drugs.com/sfx/margetuximab-side-effects.html,,margetuximab
inn:mepolizumab,Mepolizumab,A,incidence_reported,2.91% (95% CI: 1.60-4.55),reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,mepolizumab
inn:mirikizumab,Mirikizumab,A,incidence_reported,5.6%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/32387475/,32387475,mirikizumab
inn:miromavimab,Miromavimab,A,incidence_reported,1.5%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34855524/,34855524,miromavimab
inn:mirvetuximab,Mirvetuximab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/29395716/,29395716,mirvetuximab
inn:mogamulizumab,Mogamulizumab,B,incidence_reported,3.9% (10/258 patients),reliable_merged_108,medium,True,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,,mogamulizumab
inn:mosunetuzumab,Mosunetuzumab,C,incidence_reported,<2%,panel_151_extended,high,True,,,mosunetuzumab
inn:moxetumomab,Moxetumomab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,moxetumomab
inn:natalizumab,Natalizumab,A,incidence_reported,6% persistent antibodies,reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/17761550/,17761550,natalizumab
inn:naxitamab,Naxitamab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,naxitamab
inn:necitumumab,Necitumumab,A,incidence_reported,4.1% (33/814 patients),reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,,necitumumab
inn:nemolizumab,Nemolizumab,A,incidence_reported,5.6%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30289238/,30289238,nemolizumab
inn:netakimab,Netakimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31566737/,31566737,netakimab
inn:nimotuzumab,Nimotuzumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/22576171/,22576171,nimotuzumab
inn:nirsevimab,Nirsevimab,A,incidence_reported,<1%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30089618/,30089618,nirsevimab
inn:nivolumab,Nivolumab,B,incidence_reported,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",reliable_merged_108,high,True,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,,nivolumab
inn:obiltoxaximab,Obiltoxaximab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/27021312/,27021312,obiltoxaximab
inn:obinutuzumab,Obinutuzumab,B,incidence_reported,approximately 13%,reliable_merged_108,medium,True,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,,obinutuzumab
inn:ocrelizumab,Ocrelizumab,B,incidence_reported,approximately 1% (12/1311 patients),reliable_merged_108,medium,True,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,,ocrelizumab
inn:ofatumumab,Ofatumumab,A,incidence_reported,0.22% (2/914 patients),reliable_merged_108,high,True,https://pubmed.ncbi.nlm.nih.gov/37450172/,37450172,ofatumumab
inn:olaratumab,Olaratumab,A,incidence_reported,3.5% (13/370 evaluable patients),reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,,olaratumab
inn:olokizumab,Olokizumab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,olokizumab
inn:omalizumab,Omalizumab,A,incidence_reported,"0.00% (systematic review), 0.06% (1/1723 patients)",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,omalizumab
inn:ozoralizumab,Ozoralizumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34276766/,34276766,ozoralizumab
inn:pabinafusp,Pabinafusp,C,incidence_reported,<2%,panel_151_extended,high,True,,,pabinafusp
inn:palivizumab,Palivizumab,B,incidence_reported,"0.7% (Synagis group), 1.1% (placebo group)",reliable_merged_108,high,True,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,,palivizumab
inn:panitumumab,Panitumumab,B,incidence_reported,"1.8% binding antibodies (20/1124), 0.2% neutralizing antibodies (2/1124)",reliable_merged_108,high,True,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,,panitumumab
inn:pembrolizumab,Pembrolizumab,B,incidence_reported,"1.8% ADA incidence, 0.4% neutralizing antibodies",reliable_merged_108,high,True,https://jitc.bmj.com/content/12/1/e008266,,pembrolizumab
inn:pemivibart,Pemivibart,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30265425/,30265425,pemivibart
inn:penpulimab,Penpulimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33524450/,33524450,penpulimab
inn:pertuzumab,Pertuzumab,B,incidence_reported,3% (13/389 patients in CLEOPATRA study),reliable_merged_108,medium,True,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,,pertuzumab
inn:polatuzumab,Polatuzumab,A,incidence_reported,<1%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31201130/,31201130,polatuzumab
inn:racotumomab,Racotumomab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,racotumomab
inn:ramucirumab,Ramucirumab,B,incidence_reported,3% (86/2890 patients),reliable_merged_108,medium,True,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,,ramucirumab
inn:ranibizumab,Ranibizumab,A,incidence_reported,0-5% pre-treatment immunoreactivity,reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,,ranibizumab
inn:ravulizumab,Ravulizumab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30382392/,30382392,ravulizumab
inn:recaticimab,Recaticimab,A,incidence_reported,<1%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/32767679/,32767679,recaticimab
inn:regdanvimab,Regdanvimab,A,incidence_reported,10%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/34183044/,34183044,regdanvimab
inn:relatlimab,Relatlimab,C,incidence_reported,<2%,panel_151_extended,high,True,,,relatlimab
inn:reslizumab,Reslizumab,A,incidence_reported,"4.39% (95% CI: 2.88-6.20) in meta-analysis, 5.4% treatment-emergent ADA in FDA data",reliable_merged_108,high,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,,reslizumab
inn:retifanlimab,Retifanlimab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,retifanlimab
inn:rilonacept,Rilonacept,B,incidence_reported,43% of patients developed anti-rilonacept antibodies,reliable_merged_108,medium,True,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,,rilonacept
inn:risankizumab,Risankizumab,B,incidence_reported,"24% (263/1079 patients by Week 52), range 14.1-31% in systematic review",reliable_merged_108,high,True,https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,,risankizumab
inn:rituximab,Rituximab,B,incidence_reported,4-11%,reliable_merged_108,high,True,https://academic.oup.com/rheumatology/article/62/7/2601/6825306,,rituximab
inn:romosozumab,Romosozumab,B,incidence_reported,"17.6% binding antibodies, 2.9% neutralizing antibodies (by month 9)",reliable_merged_108,high,True,https://www.ncbi.nlm.nih.gov/books/NBK585139/,,romosozumab
inn:rozanolixizumab,Rozanolixizumab,C,incidence_reported,10-15%,panel_151_extended,high,True,,,rozanolixizumab
inn:sacituzumab,Sacituzumab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33789009/,33789009,sacituzumab
inn:sarilumab,Sarilumab,A,incidence_reported,"4.0% with 200 mg dose, 5.7% with 150 mg dose (FDA label data)",reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761037s013lbl.pdf,,sarilumab
inn:satralizumab,Satralizumab,B,incidence_reported,"41% in combination therapy study, 71% in monotherapy study (EMA data)",reliable_merged_108,high,True,https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,,satralizumab
inn:satumomab,Satumomab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/8648089/,8648089,satumomab
inn:secukinumab,Secukinumab,B,incidence_reported,"<1% ADA incidence at week 52, 0.4% treatment-emergent ADAs over 3 years",reliable_merged_108,high,True,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,,secukinumab
inn:siltuximab,Siltuximab,A,incidence_reported,0.2% overall incidence of positive anti-therapeutic antibodies,reliable_merged_108,high,True,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125496Orig1s000ClinPharmR.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125496s000lbl.pdf,,siltuximab
inn:sintilimab,Sintilimab,A,incidence_reported,<2%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/30621725/,30621725,sintilimab
inn:spesolimab,Spesolimab,A,incidence_reported,10-15%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/31806488/,31806488,spesolimab
inn:sutimlimab,Sutimlimab,A,incidence_reported,10%,panel_151_extended,high,True,https://pubmed.ncbi.nlm.nih.gov/33462941/,33462941,sutimlimab
