antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence,subcategory
Bavituximab,other,Whole mAb,Chimeric,Phosphatidylserine,Phase-III,Avid Bioservices;IMV;Massachusetts General Hospital;Merck Sharp & Dohme;Peregrine Pharmaceuticals;University of Arizona;University of Texas Southwestern Medical Center;University of Texas M. D. Anderson Cancer Center,Non-small cell lung cancer;Glioblastoma;Liver cancer;Solid tumours,,,True,True,chimeric
Begelomab,other,Whole mAb,Murine,DPP4/ADCP2/CD26,Phase-II/III,ADIENNE,Graft-versus-host disease,,,True,True,murine
Benufutamab,other,Whole mAb,Chimeric,TNFRSF10B/CD262/DR5/TRAILR2,Phase-I/II,Genmab;VU University Medical Center;iDD Biotech,Solid tumours;Multiple myeloma,,Chimeric: Mouse/Human,True,True,chimeric
Besufetamig,other,Bispecific mAb,Genetically human;Genetically human,PDCD1/CD279/PD1;CD3E,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Bifikafusp,other,Whole mAb Fusion,,FN extracellular domain B,Preregistration,Philogen,Non-small cell lung cancer;Diffuse large B-cell lymphoma;[With onfekafusp] Malignant melanoma;[With onfekafusp] Basal cell cancer;[With onfekafusp] Squamous cell cancer;[With onfekafusp] Solid tumours,,Radretumab+Bifikafusp+Onfekafusp have identical V domains,True,True,fc_fusion
Bintrafusp,other,Whole mAb Fusion,,PDL1/CD274,Approved,AIO Studien gGmbH;Array BioPharma;Chong Kun Dang;Dana-Farber Cancer Institute;Debiopharm;eFFECTOR Therapeutics;EMD Serono;Forty Seven;Fred Hutchinson Cancer Research Center;Gachon University Gil Medical Center;Hellenic Cooperative Oncology Group;Hospices Civils de Lyon;Johannes Gutenberg-University Mainz;M. D. Anderson Cancer Center;Merck KGaA;National Cancer Institute (USA);National Cancer Institute Slovakia;Netherlands Cancer Institute;Pfizer;Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins;Syndax Pharmaceuticals;Transgene;University College London;University of Birmingham;University of California San Diego;University of Iowa;Vaccinex;Vanderbilt-Ingram Cancer Center;VAXIMM;Verastem Oncology;Washington University School of Medicine,Renal cell carcinoma;Breast cancer;Diffuse large B cell lymphoma;Gastric cancer;Head and neck cancer;Non-small cell lung cancer;Ovarian cancer;Bladder cancer;Endometrial cancer;Fallopian tube cancer;Germ cell and embryonal neoplasms;Gestational trophoblastic disease;Glioblastoma;Haemangiosarcoma;Intestinal cancer;Leiomyosarcoma;Nasopharyngeal cancer;Neuroendocrine tumours;Osteosarcoma;Peripheral T-cell lymphoma;Peritoneal cancer;Prostate cancer;Recurrent respiratory papillomatosis;Small cell lung cancer;Solid tumours;Squamous cell cancer;Thymoma;Liposarcoma;Lymphoma;Oropharyngeal cancer;Pancreatic cancer;Acute myeloid leukaemia;Follicular lymphoma;Hodgkin's disease;Liver cancer;Meningioma,Merkel cell carcinoma;Urogenital cancer,Avelumab and Bintrafusp have identical V domains,True,True,fc_fusion
Boserolimab,other,Whole mAb,,TNFRSF7/CD27,Phase-II,Bionovion;Merck Sharp & Dohme,Non-small cell lung cancer;Small cell lung cancer,,,True,True,other_formats
Brenetafusp,format_other,Fusion Protein (scFv fused to TCR Fab),,CD3,Phase-III,Immunocore,Malignant melanoma;Solid tumours;Endometrial cancer;Non-small cell lung cancer;Ovarian cancer,,6kr0:DD has an identical heavy chain. Identical sequence to Tebentafusp.,True,True,fc_fusion
Brentuximab,other,Whole mAb ADC,Chimeric,TNFRSF8/CD30,Approved,Bristol-Myers Squibb;Celgene Corporation;Dana-Farber Cancer Institute;Fondazione Italiana Linfomi;Fox Chase Cancer Center;Immune Tolerance Network;Lymphoma Academic Research Organisation;Massachusetts General Hospital;National Cancer Institute (USA);National Institute of Allergy and Infectious Diseases;Seattle Genetics;Stanford University;Takeda;Takeda Oncology;UNC Lineberger Comprehensive Cancer Center;Washington University School of Medicine,Adult T-cell leukaemia-lymphoma;Diffuse large B cell lymphoma;Germ cell and embryonal neoplasms;Mastocytosis;Mesothelioma;Non-Hodgkin's lymphoma;Peripheral T-cell lymphoma;Sezary syndrome;Diffuse scleroderma,Anaplastic large cell lymphoma;Cutaneous T-cell lymphoma;Hodgkin's disease;Mycosis fungoides;T-cell lymphoma,ADC with vedotin,True,True,adc
Carotuximab,other,Whole mAb,Chimeric,ENG/CD105,Phase-II,National Cancer Institute (USA);Santen Pharmaceutical;TRACON Pharmaceuticals;University of Alabama at Birmingham;University of Minnesota;Roswell Park Cancer Institute,,,,True,True,chimeric
Cemavafusp,format_other,Fusion Protein (Toxin fused to an scFv),,PDL1/CD274,Phase-I,TBC,Head and neck cancer;Non-small cell lung cancer;Solid tumours,,,True,True,fc_fusion
Cetuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Approved,Array BioPharma;Bristol-Myers Squibb;Celldex Therapeutics Inc;Centre Jean Perrin;Eli Lilly;Merck KGaA;New York University School of Medicine;Novartis;Pierre Fabre;Roche;University Hospital Ghent;University of California;University of Heidelberg;University of Michigan Comprehensive Cancer Center,Non-small cell lung cancer;Bladder cancer;Breast cancer;Gastric cancer;Mesothelioma;Rectal cancer;Squamous cell cancer;Adenoid cystic carcinoma;Oesophageal cancer,Colorectal cancer;Head and neck cancer,Ficerafusp and Cetuximab have the same Fv sequence.,True,True,chimeric
Cinrebafusp,other,Fusion Protein,,ERBB2/CD340/HER2,Phase-II,Eli Lilly and Company;Pieris Pharmaceuticals;Seagen,Gastic cancer;Solid tumours,,Identical Fv sequence to Anvatabart; Coprelotamab; Trastuzumab; Timigutuzumab,True,True,fc_fusion
Citatuzumab,other,Fab Fusion,,EPCAM/CD326,Phase-I,Viventia Biotech;Sesen Bio,,,,True,True,fc_fusion
Clervonafusp,other,di-Fab Fusion,,SLC29A2,Phase-II,Valerion Therapeutics,Glycogen storage disease type II,,June '22: Corrected FWL2 and CDRL3 sequences,True,True,fc_fusion
Coltuximab,other,Whole mAb ADC,Chimeric,CD19,Phase-II,ImmunoGen,Diffuse large B cell lymphoma,,ADC with ravtansine,True,True,adc
Coramitug,other,Whole mAb,Chimeric,Misfolded TTR,Phase-II,Neotope Biosciences;Novo Nordisk,Transthyretin-related hereditary amyloidosis;Cardiovascular disorders,,Chimeric: Mouse/Human,True,True,chimeric
Cosfroviximab,other,Whole mAb,Chimeric,Zaire Ebolavirus Glycoprotein,Phase-II,Mapp Biopharmaceutical;Public Health Agency of Canada;National Institute of Allergy and Infectious Diseases,Ebola virus infections,,,True,True,chimeric
Dafsolimab,other,Whole mAb,Murine,CD3E,Phase-III,Xenikos,Steroid-refractory acute graft-versus-host disease;Graft-versus-host disease,,ADC with setaritox,True,True,murine
Dalutrafusp,other,Whole mAb Fusion,,TGFBR2,Phase-I,Gilead Sciences,,,,True,True,fc_fusion
Derlotuximab,other,Whole mAb Radiolabelled,Chimeric,DNA/H1 Complex,Approved,Avid Bioservices;MediPharm Biotech,Glioblastoma,Lung cancer,,True,True,radiolabelled
Devextinetug,other,Whole mAb,Chimeric,Metamphetamine,Phase-II,InterveXion Therapeutics;NIDA,Methamphetamine overdose,,,True,True,chimeric
Dinutuximab,other,Whole mAb,Chimeric,Ganglioside GD2,Approved,National Cancer Institute (USA);New Approaches to Neuroblastoma Therapy Consortium;St. John of God Foundation;United Therapeutics Corporation,Small cell lung cancer,Neuroblastoma,,True,True,chimeric
Docaravimab,other,Whole mAb (Mouse),Murine,Rabies Virus Strain ERA Glycoprotein Ectodomain Epitope G-III,Approved,Candila Healthcare,,Rabies,Mouse antibody,True,True,murine
Eciskafusp,other,Fusion Protein,,PDCD1/CD279/PD1,Phase-I,Roche,Solid tumours,,Fv identical in sequence to Tobemstomig and Lomvastomig Fv1.,True,True,fc_fusion
Ecromeximab,other,Whole mAb,Chimeric,GD3 ganglioside,Phase-II,Kyowa Hakko;Kyowa Kirin;Life Science Pharmaceuticals;Ludwig Institute for Cancer Research,,,,True,True,chimeric
Edrecolomab,other,Whole mAb,Murine,EPCAM/CD326,Approved (w),Ajinomoto;Centocor Inc,,Colorectal cancer,,True,True,murine
Elipovimab,other,Whole mAb,Genetically human,HIV-1 gp120,Phase-I,Gilead Sciences,,,,True,True,other_formats
Englumafusp,other,Fusion Protein,,CD19,Phase-I,Roche,B cell Lymphoma,,June '22: Corrected CDRH2 sequence. Aug '22: WHO changed name from ensomafusp to englumafusp in PL127.,True,True,fc_fusion
Ensituximab,other,Whole mAb,Chimeric,MUC5AC,Phase-II,Neogenix Oncology;Duke University Medical Center;H. Lee Moffitt Cancer Center and Research Institute;Johns Hopkins Medical Institutions;Montefiore Medical Center;National Cancer Institute (USA);Precision Biologics;University of North Carolina;University of Texas Southwestern Medical Center;Yale University School of Medicine,Colorectal cancer;Pancreatic cancer,,,True,True,chimeric
Eramkafusp,other,Whole mAb Fusion,Chimeric (Murine/Human),MS4A1/CD20,Phase-I,Spectrum Pharmaceuticals;ImmunGene,,,Possibly a Rituximab biosimilar. (June '22): Corrected IMGT VH 128 S->A,True,True,fc_fusion
Etuptamig,other,Bispecific mAb,Genetically human;Chimeric and/or humanised,NCR3LG1/B7-H6;CD3E,TBC,TBC,TBC,TBC,TBC,True,True,chimeric
Ficerafusp,other,Fusion Protein,Chimeric,EGFR/ERBB1/HER1,Phase-II/III,Bicara Therapeutics,Solid tumours,,Chimeric: Mouse/Human,True,True,fc_fusion
Frunevetmab,other,Feline Whole mAb,,NGFB,Unknown,Nexvet,Feline osteoarthritis,,,True,True,other_formats
Futuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Phase-III,Symphogen;Merck,Colorectal cancer;Glioma;Non-small cell lung cancer,,,True,True,chimeric
Gacovetug,other,Dimerised heavy domain (VH-h-CH2-CH3-CHS dimer),Genetically Alpaca,F4+ ETEC (Veterinary Application),TBC,Vrije Universiteit Brussel,Veterinary F4+ E coli Infections,,anti-[F4+ enterotoxigenic Escherichia coli (ETEC) FaeG (subunit of the major constituent of F4 + fimbriae). Alpaca VHH domain on Sus Scrofa derived heavy chain dimer.,True,False,other_formats
Galiximab,other,Whole mAb,Chimeric,B7/CD80/CD28LG,Phase-II,Biogen;Biogen Idec,,,,True,True,chimeric
Galvokimig1,other,Trispecific (G1(VH-CH1-h)-scFv_L-kappa-scFv); Bispecific entry,Humanised;Humanised,IL17A and IL17F;ALB,TBC,TBC,TBC,TBC,G1(VH-CH1-h)-scFv_L-kappa segment. Fv1 identical to Bimekizumab. Fv2 identical to Donzakimig Fv2.,True,True,bispecific_other
Girentuximab,other,Whole mAb Radiolabelled,Chimeric,CA9,Phase-III,Centocor Inc;Heidelberg Pharma AG,,,,True,True,radiolabelled
Grisnilimab,other,Whole mAb,Murine,CD7,Phase-I/II,Xenikos,Steroid-refractory acute graft-versus-host disease;Graft-versus-host disease,,,True,True,murine
Gulgafafusp,other,Fusion Protein (whole mAb with protein),,GLP1R,Phase-III,Gmax Biopharm,Type 2 diabetes mellitus,,,True,True,fc_fusion
Ibritumomab,other,Whole mAb,Murine,MS4A1/CD20,Approved,Biogen;Schering;Spectrum Pharmaceuticals,,Non-Hodgkin's lymphoma,Sequence sourced through DrugBank. ADC with tiuxetan,True,True,murine
Indatuximab,other,Whole mAb ADC,Chimeric,SDC1/CD138,Phase-II,Biotest AG,,,ADC with ravtansine,True,True,adc
Infliximab,other,Whole mAb,Chimeric,TNF/TNFA,Approved,Centocor;Janssen Biotech;Merck & Co;Mitsubishi Tanabe Pharma Corporation;National Jewish Medical and Research Center;Xian-Janssen,,Ankylosing spondylitis;Behcet's syndrome;Crohn's disease;Mucocutaneous lymph node syndrome;Plaque psoriasis;Psoriasis;Psoriatic arthritis;Rheumatoid arthritis;Ulcerative colitis,Danvilostomig Fv1;Ipilimumab; Sovipostobart; and Tazlestobart all have the same sequence. Likely biosimilars.,True,True,chimeric
Inlecitug,other,Whole mAb,Chimeric,KDR/CD309/VEGFR2,TBC,TBC,TBC,TBC,TBC,True,True,chimeric
Isatuximab,other,Whole mAb,Chimeric,ADPRC1/CD38,Approved,ImmunoGen;Huntsman Cancer Institute;Roche;Sanofi,Acute myeloid leukaemia;Precursor cell lymphoblastic leukaemia-lymphoma;Colorectal cancer;Diffuse large B cell lymphoma;Hodgkin's disease;Solid tumours;Urogenital cancer,Multiple myeloma,,True,True,chimeric
Itanistomig,other,Bispecific Mixed Domains (VH-G1CH1-h)-H-gamma1_L-kappa-L-kappa),Genetically human;Humanised,PDL1/CD274;IAP/CD47,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Laprituximab,other,Whole mAb ADC,Chimeric,EGFR/ERBB1/HER1,Phase-I,ImmunoGen,,,,True,True,adc
Larcaviximab,other,Whole mAb,Chimeric,Zaire Ebolavirus Glycoprotein,Phase-II,Mapp Biopharmaceutical;Public Health Agency of Canada;National Institute of Allergy and Infectious Diseases,Ebola virus infections,,,True,True,chimeric
Latikafusp,other,Whole mAb Fusion,,PDCD1/CD279/PD1,Phase-I,Amgen,,,,True,True,fc_fusion
Ledostomig,other,Bispecific Mixed mAb and scFv,Chimeric and/or humanised;Chimeric and/or humanised,NT5E/CALJA/CD73;PDCD1/CD279/PD1,TBC,TBC,TBC,TBC,TBC,True,True,chimeric
Lemalesomab,other,Whole mAb,Murine,NCA90/p95,Phase-I,ND,,,,True,True,murine
Lepunafusp,other,Whole mAb Fusion,,TfR1/CD71,Phase-I/II,JCR Pharmaceuticals,Mucopolysaccharidosis I,,,True,True,fc_fusion
Lilotomab,other,Whole mAb ADC,Murine,CD37,Phase-II,Nordic Nanovector,Follicular lymphoma;Non-Hodgkin's lymphoma;Diffuse large B cell lymphoma,,,True,True,adc
Linvoseltamab,other,Bispecific mAb,Genetically human;Genetically human,TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E,Preregistration,Regeneron Pharmaceuticals,Multiple Myeloma,,,True,True,bispecific_other
Lofacimig,other,Bispecific Tandem VH Domains fused to G1 Constant Domain,Humanised;Humanised,F11;F11,TBC,TBC,TBC,TBC,Fv1 and Fv2: Humanised from Camel. VH1 binds the Apple-2 domain; VH2 binds the Apple-3 domain.,True,False,bispecific_other
Loncastuximab,other,Whole mAb ADC,Chimeric,CD19,Approved,ADC Therapeutics,Follicular lymphoma;Mantle-cell lymphoma;Non-Hodgkin's lymphoma,Diffuse large B cell lymphoma,ADC with tesirine,True,True,adc
Lorukafusp,other,Whole mAb Fusion,,Ganglioside GD2,Phase-II,Lexigen Pharmaceuticals;Apeiron Biologics;Merck KGaA;University of Wisconsin-Madison,Malignant melanoma;Neuroblastoma,,,True,True,fc_fusion
Lulizumab,format_vhh_or_single_domain,Single Domain Variable Fragment;L,Humanised,CD28,Phase-II,Bristol-Myers Squibb,Sjogren's syndrome;Systemic lupus erythematosus;Renal transplant rejection,,,False,True,other_formats
Lumiliximab,other,Whole mAb,Chimeric,FCER2/CD23,Phase-II,Biogen Idec,,,Lumiliximab and Gomiliximab are the same mAb,True,True,chimeric
Lunaxafusp,other,Fusion Protein,,ERBB2/CD340/HER2,TBC,TBC,TBC,TBC,Murine scFv against a human antigen,True,True,fc_fusion
Lunsekimig3,other,Trispecific and Pentavalent (sc-5-VH); Monospecific entry,Chimeric,TSLP,Phase-II,Sanofi,Asthma;Inflammation,,Pentavalent; targets two different epitopes on IL13 and TSLP. Fv5 Chimeric: Llama/Human,True,False,chimeric
Margetuximab,other,Whole mAb,Chimeric,ERBB2/CD340/HER2,Approved,Raven biotechnologies;GC Pharma;Green Cross;MacroGenics;Merck Sharp & Dohme,Gastric cancer;Oesophageal cancer,Breast cancer,,True,True,chimeric
Melredableukin,other,Whole mAb Fusion,,Non-Binding,Phase-II,Roche,Ulcerative colitis,,Fused to IL2. (June '22: Corrected FWL3 sequence),True,True,fc_fusion
Miromavimab,other,Whole mAb (Mouse),Murine,Rabies Virus Strain ERA Glycoprotein Ectodomain Epitope G-II,Approved,Candila Healthcare,,Rabies,,True,True,murine
Mirvetuximab,other,Whole mAb ADC,Chimeric,FOLR1,Approved,ImmunoGen;National Comprehensive Cancer Network,Breast cancer;Endometrial cancer,Ovarian cancer;Fallopian tube cancer;Peritoneal cancer,,True,True,adc
Mirzotamab,other,Whole mAb,Chimeric,B7H3/CD276,Phase-I,AbbVie,,,Chimeric: Mouse/Human. ADC with clezutoclax,True,True,chimeric
Modakafusp,other,Whole mAb Fusion,,ADPRC1/CD38,Phase-II,Takeda,,,,True,True,fc_fusion
Modotuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Phase-III,Symphogen;Merck,Colorectal cancer;Glioma;Non-small cell lung cancer,,Modotuximab is the new name for Zatuximab (PL110),True,True,chimeric
Moxetumomab,other,Fv Fusion,Murine,SIGLEC2/CD22,Approved,National Cancer Institute (USA);AstraZeneca;M. D. Anderson Cancer Center;MedImmune;National Cancer Institute (USA),,Hairy cell leukaemia,ADC with pasudotox,True,True,fc_fusion
Muromonab,other,Whole mAb,Murine,CD3E,Approved (withdrawn),Cancer Research UK;Ortho-McNeil;XOMA,,,LC IMGT 127 is N not K as in Jain paper.,True,True,murine
Naptumomab,other,Fab Fusion,Murine,TPBG/WAIF1,Phase-III,Active Biotech,,,,True,True,fc_fusion
Naratuximab,other,Whole mAb ADC,Chimeric,CD37,Phase-II,ImmunoGen;Chronic lymphocytic leukaemia,Diffuse large B cell lymphoma;Non-Hodgkin's lymphoma,,ADC with emtansine,True,True,adc
Nesfrotamig,other,Bispecific Mixed mAb and scFv,Humanised;Genetically human,ERBB2/CD340/HER2;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Netakimab,other,Whole mAb,Chimeric,IL17A,Approved,CJSC Biocad,Ankylosing spondylitis;Psoriatic Arthritis;Primary biliary cirrhosis,Plaque psoriasis,Chimeric: Llama/Human,True,True,chimeric
Obiltoxaximab,other,Whole mAb,Chimeric,Anthrax Protective Antigen,Approved,Elusys Therapeutics,,Anthrax,,True,True,chimeric
Omburtamab,other,Whole mAb Radiolabelled,Murine,B7H3/CD276,Preregistration,Memorial Sloan-Kettering Cancer Center;Y-mAbs Therapeutics,Neuroblastoma;Meningeal carcinomatosis;Soft tissue sarcoma;Peritoneal cancer,,,True,True,radiolabelled
Ompekimig1,other,Trispecific Mixed mAb and scFv; Bispecific entry,Genetically human;Genetically human,IL13;IL4,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Onfekafusp,other,Whole mAb Fusion,,FN extracellular domain B,Phase-III,Philogen,Malignant melanoma;Basal cell cancer;Squamous cell cancer;Solid tumours,,Radretumab+Bifikafusp+Onfekafusp have identical V domains,True,True,fc_fusion
Opamistomig,other,Bispecific Mixed mAb and scFv,Humanised;Genetically human,PDL1/CD274;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Pabinafusp,other,Whole mAb Fusion,,TFRC/CD71,Approved,JCR Pharmaceuticals,,Mucopolysaccharidosis II,,True,True,fc_fusion
Placulumab,format_vhh_or_single_domain,Single Domain Variable Fragment (VL) + Fc,Genetically human,TNF/TNFA,Phase-II,Domantis;Peptech;Arana Therapeutics;Teva Pharmaceutical Industries,,,,False,True,other_formats
Porgaviximab,other,Whole mAb,Chimeric,Zaire Ebolavirus Glycoprotein,Phase-II,Mapp Biopharmaceutical;Public Health Agency of Canada;National Institute of Allergy and Infectious Diseases,,,,True,True,chimeric
Pritoxaximab,other,Whole mAb,Chimeric,Shiga Toxin Type 1,Phase-II,Sunol Molecular Corporation;Uniformed Services University of the Health Sciences;BELLUS Health;Taro Pharmaceuticals Inc,,,,True,True,chimeric
Pumitamig1,other,Bispec Mixed Domains (Fv entry),Humanised,VEGFA,TBC,TBC,TBC,TBC,TBC,True,True,other_formats
Racotumomab,other,Whole mAb,Murine,Idiotope of anti-NeuGc-ganliosides,Approved,Center of Molecular Immunology;Elea;Innogene Kalbiotech;Recombio,Neuroblastoma,Non-small cell lung cancer,,True,True,murine
Ramantamig1,other,Trispecific Mixed mAb and scFv; Bispecific entry,Genetically human;Genetically human,CD3E;GPRC5D,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Retlirafusp,other,Whole mAb Fusion,,PDL1/CD274,Phase-III,Jiangsu Hengrui Medicine,Pancreatic cancer;Solid tumours;Head and neck squamous cell carcinoma,,,True,True,fc_fusion
Riltovetbart,other,Whole mAb,,IL31 (Canine),Unknown,TBC,Canine Lupus,,,True,True,other_formats
Ripertamab,other,Whole mAb,Chimeric,MS4A1/CD20,Approved,Sinocelltech,Non-Hodgkin's lymphoma,Diffuse Large B cell Lymphoma,Likely to be a Rituximab biosimilar,True,True,chimeric
Rituximab,other,Whole mAb,Chimeric,MS4A1/CD20,Approved,Biogen;Biogen Idec;Cedars-Sinai Medical Center;Chugai Pharmaceutical;Genentech;Hackensack University Medical Center;Hoosier Cancer Research Network;Janssen Research & Development;M. D. Anderson Cancer Center;Mayo Clinic;Nagoya University;Oregon Health & Science University;Roche;SCRI Development Innovations;Takeda Oncology;University of Gottingen;University of Texas M. D. Anderson Cancer Center;University of Tours;Zenyaku Kogyo,Mantle-cell lymphoma;Transplant rejection;Neuromyelitis optica;B-cell lymphoma;Chronic inflammatory demyelinating polyradiculoneuropathy;Glomerulonephritis;Precursor cell lymphoblastic leukaemia-lymphoma;Renal transplant rejection,Chronic lymphocytic leukaemia;Diffuse large B cell lymphoma;Follicular lymphoma;Idiopathic thrombocytopenic purpura;Lymphoproliferative disorders;Microscopic polyangiitis;Nephrotic syndrome;Non-Hodgkin's lymphoma;Pemphigus vulgaris;Rheumatoid arthritis;Wegener's granulomatosis,Biosimilars available,True,True,chimeric
Rozibafusp,other,Whole mAb Fusion,,ICOS/CD278,Phase-II,Amgen,Systemic lupus erythematosus,,,True,True,fc_fusion
Satumomab,other,Whole mAb Radiolabelled,Murine,TAG72,Approved,Cytogen Corporation,,Radionuclide imaging enhancers,,True,True,radiolabelled
Setoxaximab,other,Whole mAb,Chimeric,Shiga Toxin Type 2,Phase-II,Sunol Molecular Corporation;Uniformed Services University of the Health Sciences;BELLUS Health;Taro Pharmaceuticals Inc,,,,True,True,chimeric
Silevimig,other,Bispecific ((G1_L-kappa)_scFv-G1(h-CH2-CH3)),Genetically human,Rabies Lyssavirus Glycoprotein G epitope III;Rabies Lyssavirus Glycoprotein G epitope I,Preregistration,Genrix (Shanghai) Biopharmaceuticals,Rabies,,,True,True,bispecific_other
Siltuximab,other,Whole mAb,Chimeric,IL6,Approved,Centocor Inc;Janssen Biotech;Memorial Sloan-Kettering Cancer Center,Multiple myeloma,Giant lymph node hyperplasia,,True,True,chimeric
Simlukafusp,other,Whole mAb Fusion,,FAP,Phase-I,Roche,,,,True,True,fc_fusion
Sotiburafusp,other,Fusion Protein (whole mAb with protein),,VEGFR-1,Phase-II,Huabo Biopharm,Renal cell carcinoma;Solid tumours,,,True,True,fc_fusion
Suciraslimab,other,Whole mAb,Chimeric,SIGLEC2/CD22,Preregistration,Lonn Ryonn Pharma; SinoMab Bioscience Ltd,Rheumatoid arthritis;Non-Hodgkin's lymphoma;Systemic lupus erythematosus;Sjogren's syndrome,,,True,True,chimeric
Tabituximab,other,Whole mAb ADC,Chimeric,FZD10/CD350,Phase-I,OncoTherapy Science;Centre Leon Berard,,,,True,True,adc
Tebentafusp,format_other,scFv Fusion,,CD3E,Approved,Immunocore;MedImmune,Malignant melanoma,Uveal melanoma,T-Beta section specific for PMEL peptide 280-288 presented by MH1. 6kr0:DD has an identical heavy chain. Identical sequence to Brenetafusp.,True,True,fc_fusion
Tegoprubart,other,Whole mAb,Chimeric,CD40LG/CD154,Phase-II,ALS Therapy Development Institute;Eledon Pharmaceuticals,Allotransplant rejection;Amyotrophic lateral sclerosis;IgA nephropathy;Renal transplant rejection;Autoimmune disorders,,Same Fv sequence as Ruplizumab,True,True,chimeric
Tenatumomab,other,Whole mAb Radiolabelled,Murine,TNC,Phase-I,sigma-tau SpA,,,,True,True,radiolabelled
Teneliximab,other,Whole mAb,Chimeric,TNFRSF5/CD40,Phase-II,Bristol-Myers Squibb,Cancer,,,True,True,chimeric
Tomuzotuximab,other,Whole mAb,Chimeric,EGFR/ERBB1/HER1,Phase-II,Glycotope,Head and neck cancer;Colorectal cancer;Gastric cancer;Non-small cell lung cancer;Renal cancer;Solid tumours,,Cetuximab biobetter,True,True,chimeric
Trevotamig,other,Bispecific Mixed Domains (H-gamma1_L-kappa-scFvhl),Humanised;Chimeric,EPCAM/CD326;CD3E,TBC,TBC,TBC,TBC,TBC,True,True,chimeric
Ubletamig,other,Bispecific mAb,Genetically human;Genetically human,MUC16/CA125;CD28,TBC,TBC,TBC,TBC,TBC,True,True,bispecific_other
Ublituximab,other,Whole mAb,Chimeric,MS4A1/CD20,Approved,LFB Biotechnologies;rEVO Biologics;Johns Hopkins University;TG Therapeutics Inc,Chronic lymphocytic leukaemia;Diffuse large B cell lymphoma;Follicular lymphoma;Mantle-cell lymphoma;Non-Hodgkin's lymphoma,Multiple sclerosis,Rituximab biobetter,True,True,chimeric
Umizortamig1,other,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 1),,EGFRvIII;CD3E,TBC,TBC,TBC,TBC,scFv-IgG1 portion. Joint entry with Umizortamig2 (tetraspecific),True,True,bispecific_other
Umizortamig2,other,Tetraspecific scFv-IgG-scFv-scFv (Bispecific entry 2),,PDL1/CD274;TNFRSF9/CD137/4-1BB,TBC,TBC,TBC,TBC,scFv-scFv portion. Joint entry with Umizortamig2 (tetraspecific),True,True,bispecific_other
