fr_id	source_sequence_id	hallmark_label	hallmark_score	proxy_agg	fr_length
VHH_FR_0057	AM939723|IGHV3S25*01|Vicugna	ambiguous	0.5000	0.9500	80
VHH_FR_0058	AM939713|IGHV3S17*01|Vicugna	ambiguous	0.5000	0.8955	80
VHH_FR_0059	AM939740|IGHV3S41*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0060	AM939729|IGHV3S30*01|Vicugna	ambiguous	0.5000	0.9250	80
VHH_FR_0061	AM939725|IGHV3S27*01|Vicugna	ambiguous	0.5000	0.9000	80
VHH_FR_0062	AM939726|IGHV3S28*01|Vicugna	ambiguous	0.5000	0.8636	80
VHH_FR_0063	AM939727|IGHV3S29*01|Vicugna	ambiguous	0.5000	0.8636	80
VHH_FR_0064	AM939752|IGHV3S58*01|Vicugna	vhh_like	0.7500	0.8500	80
VHH_FR_0065	AM773729|IGHV3-3*01|Vicugna	vhh_like	0.7500	0.8500	80
VHH_FR_0066	AM939724|IGHV3S26*01|Vicugna	ambiguous	0.5000	0.9500	80
VHH_FR_0067	AM939742|IGHV3S43*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0068	AM939737|IGHV3S39*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0069	AM939732|IGHV3S33*01|Vicugna	ambiguous	0.5000	0.9500	80
VHH_FR_0070	AM939736|IGHV3S37*01|Vicugna	ambiguous	0.5000	0.9727	80
VHH_FR_0071	AM773548|IGHV3S1*01|Vicugna	ambiguous	0.5000	0.9250	80
VHH_FR_0072	AC245243|IGHV3-30-5*02|Homo	ambiguous	0.5000	0.9500	80
VHH_FR_0073	M99665|IGHV3-33*02|Homo	ambiguous	0.5000	0.9500	80
VHH_FR_0074	M77300|IGHV3-30*09|Homo	ambiguous	0.5000	0.9727	80
VHH_FR_0075	M77339|IGHV3-30*13|Homo	ambiguous	0.5000	1.0000	80
VHH_FR_0076	AC244456|IGHV3-30-5*01|Homo	ambiguous	0.5000	1.0000	80
VHH_FR_0077	M77323|IGHV3-30*05|Homo	ambiguous	0.5000	1.0000	80
VHH_FR_0078	M77327|IGHV3-30*15|Homo	ambiguous	0.5000	0.9727	80
VHH_FR_0079	M77326|IGHV3-30*10|Homo	ambiguous	0.5000	0.9727	80
VHH_FR_0080	AM939738|IGHV3S4*01|Vicugna	ambiguous	0.5000	0.8000	80
VHH_FR_0081	M99656|IGHV3-19*01|Homo	ambiguous	0.5000	0.8364	80
VHH_FR_0082	IMGT000111|IGHV3-19*02|Homo	ambiguous	0.5000	0.8364	80
