Therapeutic,IDC_ADA_Incidence,IDC_NAb_Incidence,Clinical_Impact_PK,Clinical_Impact_Safety
Bamlanivimab,2.8,0.6,No,Unknown
Belimumab,4.1,0.8,Unknown,Unknown
Bimagrumab,3.9,0.8,No,No
Clesrovimab,22.5,4.5,Yes,No
Crovalimab,14.9,3.0,Yes,Yes
Daratumumab,0.4,0.1,No,Unknown
Dupilumab,9.0,1.8,Unknown,No
Ebronucimab,12.6,2.5,Yes,Unknown
Emapalumab,8.8,1.8,Unknown,No
Enuzovimab,1.1,0.2,Yes,Unknown
Evinacumab,1.8,0.4,Yes,Yes
Evolocumab,0.9,0.2,Unknown,No
Fulranumab,5.6,1.1,Yes,Yes
Garadacimab,2.0,0.4,No,Yes
Nivolumab,38.3,7.7,Unknown,Yes
Olaratumab,3.4,0.7,Unknown,Unknown
Pemivibart,15.9,3.2,Yes,Unknown
Ramucirumab,2.9,0.6,Yes,Yes
Regdanvimab,9.7,1.9,No,Yes
Relatlimab,5.1,1.0,Unknown,No
Secukinumab,2.3,0.5,Unknown,Unknown
Sintilimab,2.4,0.5,No,Unknown
Tafolecimab,14.9,3.0,Yes,Unknown
Tezepelumab,3.9,0.8,Unknown,Yes
Tremelimumab,17.9,3.6,Yes,Yes
Axatilimab,16.0,3.2,Unknown,Unknown
Belantamab,16.2,3.2,Yes,Unknown
Budigalimab,2.4,0.5,No,Yes
Crizanlizumab,0.0,0.0,No,No
Depemokimab,10.0,2.0,No,Unknown
Domvanalimab,17.1,3.4,Yes,Unknown
Eculizumab,3.4,0.7,Yes,No
Elezanumab,2.2,0.4,No,Unknown
Elotuzumab,15.3,3.1,No,No
Etaracizumab,5.7,1.1,No,Unknown
Exidavnemab,7.6,1.5,No,No
Favezelimab,43.7,8.7,No,Yes
Gemtuzumab,2.5,0.5,Yes,No
Ibalizumab,3.0,0.6,No,Yes
Inebilizumab,14.8,3.0,Unknown,Yes
Lebrikizumab,5.4,1.1,Yes,No
Leronlimab,16.0,3.2,No,Yes
Levilimab,0.7,0.1,Unknown,Yes
Mirikizumab,5.0,1.0,Unknown,Yes
Mogamulizumab,13.4,2.7,Yes,Yes
Nemolizumab,4.9,1.0,Yes,No
Nimotuzumab,16.2,3.2,Yes,Yes
Obinutuzumab,12.9,2.6,Unknown,No
Ocrelizumab,2.3,0.5,No,No
Olokizumab,3.0,0.6,Unknown,Yes
Palivizumab,0.7,0.1,Unknown,Yes
Penpulimab,13.5,2.7,Yes,Yes
Pertuzumab,3.6,0.7,Yes,No
Polatuzumab,0.0,0.0,Unknown,Unknown
Recaticimab,0.0,0.0,Unknown,Yes
Rozanolixizumab,37.7,7.5,No,Unknown
Satralizumab,41.7,8.3,Yes,Yes
Spesolimab,15.5,3.1,Unknown,No
Sutimlimab,10.8,2.2,No,No
Tafasitamab,9.3,1.9,Unknown,No
Tagitanlimab,2.2,0.4,No,Unknown
Timigutuzumab,12.6,2.5,Unknown,Yes
Vunakizumab,16.3,3.3,Yes,Yes
Nipocalimab,45.8,9.2,Unknown,Unknown
Epcoritamab,4.9,1.0,No,Unknown
Elranatamab,9.0,1.8,Unknown,No
