antibody_name,class_evidence_tier,ada_value_display,cannot_verify_reason,detail,evidence_source,citation_urls,pmids_extracted
Inebilizumab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 32251791 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/32251791/,32251791
Lebrikizumab,A,5.2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 27372567 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/27372567/,27372567
Leronlimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 32203083 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/32203083/,32203083
Levilimab,A,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33388064 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33388064/,33388064
Loncastuximab,A,10.3%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 31697826 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/31697826/,31697826
Mirikizumab,A,5.6%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 32387475 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/32387475/,32387475
Miromavimab,A,1.5%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 34855524 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/34855524/,34855524
Mirvetuximab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 29395716 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/29395716/,29395716
Mosunetuzumab,C,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Moxetumomab,C,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Nemolizumab,A,5.6%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 30289238 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/30289238/,30289238
Netakimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 31566737 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/31566737/,31566737
Nimotuzumab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 22576171 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/22576171/,22576171
Obiltoxaximab,A,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 27021312 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/27021312/,27021312
Olokizumab,C,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Pabinafusp,C,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Pemivibart,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 30265425 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/30265425/,30265425
Penpulimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33524450 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33524450/,33524450
Polatuzumab,A,<1%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 31201130 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/31201130/,31201130
Racotumomab,C,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Recaticimab,A,<1%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 32767679 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/32767679/,32767679
Regdanvimab,A,10%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 34183044 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/34183044/,34183044
Relatlimab,C,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Rozanolixizumab,C,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID none verified to point to unrelated paper,批量生成证据链,,
Satumomab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 8648089 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/8648089/,8648089
Sintilimab,A,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 30621725 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/30621725/,30621725
Spesolimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 31806488 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/31806488/,31806488
Sutimlimab,A,10%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33462941 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33462941/,33462941
Tafasitamab,A,10%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 32333849 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/32333849/,32333849
Tafolecimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 35326524 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/35326524/,35326524
Tagitanlimab,A,<1%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33837950 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33837950/,33837950
Tebentafusp,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 35106386 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/35106386/,35106386
Teclistamab,A,<2%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 34402163 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/34402163/,34402163
Timigutuzumab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 34540688 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/34540688/,34540688
Vilobelimab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 33619099 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/33619099/,33619099
Vunakizumab,A,10-15%,ai_batch_fake_pmid,evidence_source='批量生成证据链'; PMID 31138300 verified to point to unrelated paper,批量生成证据链,https://pubmed.ncbi.nlm.nih.gov/31138300/,31138300
