antibody_name,class_evidence_tier,ada_value_display,verification_status,manual_check_reason,manual_check_urls,suggested_action,evidence_source,citation_urls,pmids_extracted
Gemtuzumab,A,"1.1% (2/182 patients), 5% (2/40 phase 1), 0% (0/142 phase 2)",unverified_clinical_trial_or_ema_source,Mylotarg DailyMed has immunogenicity section — human must extract 1.1%,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=32fd2bb2-1cfa-4250-feb8-d7956c794e05,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287284/,
Infliximab,A,"10-40% (Crohn's), 8-17% (RA), 12-44% (AS), 7-18% (PsA)",unverified_clinical_trial_or_ema_source,Remicade FDA label PDF — ranges from multiple indications,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/103772s5412lbl.pdf;https://pubmed.ncbi.nlm.nih.gov/?term=infliximab+immunogenicity+incidence,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/103772s5412lbl.pdf,
Margetuximab,B,1.7%,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.drugs.com/sfx/margetuximab-side-effects.html,Open URL with institutional access and search Section 6.2 Immunogenicity,FDA标签验证更新,https://www.drugs.com/sfx/margetuximab-side-effects.html,
Mogamulizumab,B,3.9% (10/258 patients),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,
Nivolumab,B,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Checkpoint,
Obinutuzumab,B,approximately 13%,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,
Ocrelizumab,B,approximately 1% (12/1311 patients),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,
Olaratumab,A,3.5% (13/370 evaluable patients),unverified_clinical_trial_or_ema_source,Lartruvo withdrawn 2019; 3.5% from archived FDA label,https://pubmed.ncbi.nlm.nih.gov/?term=olaratumab+lartruvo+immunogenicity,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,
Palivizumab,B,"0.7% (Synagis group), 1.1% (placebo group)",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,
Pertuzumab,B,3% (13/389 patients in CLEOPATRA study),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,
Ramucirumab,B,3% (86/2890 patients),unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,
Rilonacept,B,43% of patients developed anti-rilonacept antibodies,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/rilonacept,
Rituximab,B,4-11%,unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://academic.oup.com/rheumatology/article/62/7/2601/6825306,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://academic.oup.com/rheumatology/article/62/7/2601/6825306,
Satralizumab,B,"41% in combination therapy study, 71% in monotherapy study (EMA data)",unverified_clinical_trial_or_ema_source,EMA-only; 41%/71% from EMA EPAR PDF (not DailyMed),https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,Open PMC full text or EMA PDF and search for ADA/immunogenicity section,批量升级至A类标准,https://www.ema.europa.eu/en/documents/product-information/enspryng-epar-product-information_en.pdf,
Secukinumab,B,"<1% ADA incidence at week 52, 0.4% treatment-emergent ADAs over 3 years",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,
Tezepelumab,B,"4.9% ADA positive in tezepelumab group (vs 8.3% placebo), 5% in FDA data (29/601 patients), 2.91% in systematic review",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,
Tremelimumab,B,"1.8‑16.7% ADA incidence range; specific studies: 11% (HIMALAYA), 14% (POSEIDON), 16.1% monotherapy, 7.3‑7.4% combination therapy",unverified_source_403_inaccessible,HTTP 403 — institutional/subscription access needed,https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-in-unresectable-hcc,Open URL with institutional access and search Section 6.2 Immunogenicity,批量升级至A类标准,https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-in-unresectable-hcc,
