antibody_name,class_evidence_tier,ada_value_display,verification_status,verification_matched_pcts,ada_value_annotation,evidence_source,citation_urls,pmids_extracted
Bezlotoxumab,B,No treatment-emergent anti-drug antibodies observed (very limited immunogenicity),verified_qualitative_no_pct_to_match,[],,FDA标签验证更新,https://www.fda.gov/media/98708/download,
Bimekizumab,A,"34% (11/32) in BKZ+PBO group, 47% (8/17) in BKZ group over 36-week trial",verified_text_match,"[34.0, 47.0]",34%/47% from very small early-phase cohorts (n=32/17); registration trial ADA rate is substantially lower,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303624/,
Blinatumomab,A,<1% (neutralizing antibodies),verified_text_match,[1.0],,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/27209293/,27209293
Brodalumab,A,"0-3.3% (review), 2.38% (pooled), 5.0-9.8% (binding antibodies)",verified_partial_primary_value_confirmed,[3.3],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC12525274/,
Brolucizumab,A,Pre-existing ADA: 36–52% in treatment-naïve patients (HAWK/HARRIER trials),verified_dailymed_spl,[36.0],ADA value is PRE-EXISTING (treatment-naive); treatment-emergent ADA rate is distinct and lower (~6-13%); pre-existing ADA does not predict clinical immunogenicity,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8182886/,
Burosumab,A,Adults: 15% (20/131) ADA positive; Children 5-12 years: 19% (10/52); Children 1-4 years: 0% (0/13),verified_fda_label_dailymed_spl,[],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761068s005lbl.pdf,
Camrelizumab,A,20.4% of patients had at least one ADA-positive sample (49 patients evaluated),verified_text_match,[20.4],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC9892498/,
Canakinumab,A,"1.5% (CAPS patients), 3.1% (SJIA patients)",verified_text_match,"[1.5, 3.1]",,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/BLA125319_858687lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125319s100lbl.pdf,
Cemiplimab,A,"1.9% (3 mg/kg q2w), 2.5% (350 mg q3w)",verified_text_match,"[1.9, 2.5]",,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/37656820/,37656820
Certolizumab,A,5.1-6.1%,verified_text_match,[6.1],,PubMed验证升级,https://pmc.ncbi.nlm.nih.gov/articles/PMC6883678/,31783773
Cetuximab,B,5% (non-neutralizing antibodies),verified_text_match,[5.0],,批量升级至A类标准,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.885672/full,
Cilgavimab,A,Cilgavimab: 4.1% ADA incidence (2/49 participants); AZD7442 combination: 6.1% TE-ADA positive (3/49 participants),verified_text_match,"[4.1, 6.1]",,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/40799036/,40799036
Clazakizumab,A,1.00%,verified_pmc_fulltext,[1.0],,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/38995690/,38995690
Concizumab,A,25%,verified_text_match,[25.0],,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/35290453/,35290453
Daclizumab,A,≤12% (anti-daclizumab antibodies including neutralizing),verified_pubmed_fulltext,[12.0],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC5199226/,
Dazukibart,A,20.0%,verified_text_match,[20.0],,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40401504/,40401504
Denosumab,B,<1% (exact percentage not specified but below 1% threshold),verified_text_match,"[1.0, 1.0]",,批量升级至A类标准,https://link.springer.com/article/10.1007/s00198-025-07711-x,
Donanemab,A,>90% TE-ADA,verified_text_match,[90.0],,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/33614890/,33614890
Dostarlimab,A,2.5% treatment-emergent ADA incidence at recommended therapeutic dose,verified_text_match,[2.5],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,
Durvalumab,B,"0.8% (anti-drug antibodies), 0.8% (neutralizing antibodies)",verified_text_match,"[0.8, 0.8]",,批量升级至A类标准,https://link.springer.com/article/10.1007/s11523-023-01007-y,
Efalizumab,A,approximately 5%,verified_text_match,[5.0],,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/16503742/,16503742
Emicizumab,B,5.1% (34/668 patients),verified_text_match,[5.1],,批量升级至A类标准,https://haematologica.org/article/view/haematol.2022.282099,
Enfortumab,A,"1% transiently positive (4/365 patients), 0.3% persistently positive (1/365 patients)",verified_pubmed_fulltext,[1.0],,FDA标签验证更新,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761137s000lbl.pdf,
Eptinezumab,A,20.6% (Study 1); 18.3% (Study 2); 18% (open-label),verified_pmc_fulltext,"[20.6, 18.3, 18.0]",,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/34540516/,34540516
Erenumab,B,"6.3% (70mg dose), 2.6% (140mg dose)",verified_pmc_fulltext,"[6.3, 2.6]",,批量升级至A类标准,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf,
Etrolizumab,A,2%,verified_text_match,[2.0],,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/40481373/,40481373
Faricimab,A,~10%,verified_pmc_fulltext,[10.0],,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/39535744/,39535744
Fremanezumab,A,0.4%,verified_pmc_fulltext,[0.4],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/31418911/,31418911
Frunevetmab,A,15.8%,verified_text_match,[15.8],,250抗体检索验证,https://pubmed.ncbi.nlm.nih.gov/34179175/,34179175
Galcanezumab,B,"4.8% (EMA), 4.8% (33/688 patients), 4.6% (phase 2b)",verified_fda_label_dailymed_spl,[],,批量升级至A类标准,https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,
Golimumab,A,4.1-4.6%,verified_pmid_corrected_match,[],,PubMed验证升级,https://pmc.ncbi.nlm.nih.gov/articles/PMC8115761/,30412238
Guselkumab,A,"4.1-14.7% (systematic review), 7.94% (pooled), 2% (clinical trial)",verified_partial_primary_value_confirmed,[14.7],,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/35246887/,35246887
Ibritumomab,A,approximately 2% (HAMA in heavily pretreated patients),verified_text_match,[2.0],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC2721318/,
Isatuximab,B,"1.9% (Springer), 2.3% (FDA), 4.2% (Nature)",verified_text_match,"[1.9, 2.3, 4.2]",,批量升级至A类标准,https://link.springer.com/article/10.1007/s11523-021-00827-0,
Itolizumab,A,15.75%,verified_pmc_fulltext,[15.75],,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/25945063/,25945063
Ixekizumab,A,14.29% (pooled meta-analysis of 86 studies in psoriasis),verified_text_match,[14.29],,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/38499168/,38499168
Lanadelumab,A,12%,verified_pmc_fulltext,[12.0],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/31560114/,31560114
Lecanemab,A,3.4%,verified_dailymed_spl_pmid_corrected,[],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/38932388/,38932388
Lokivetmab,A,2.5%,verified_text_match,[2.5],,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/27647513/,27647513
Mepolizumab,A,2.91% (95% CI: 1.60-4.55),verified_text_match,[2.91],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,
Natalizumab,A,6% persistent antibodies,verified_text_match,[6.0],,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/17761550/,17761550
Naxitamab,A,8%,verified_dailymed_spl_pmid_corrected,[],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/39177945/,39177945
Necitumumab,A,4.1% (33/814 patients),verified_text_match,[4.1],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125547s000lbl.pdf,
Nirsevimab,A,"5% (Trial 04, N=1778); 3.3% (Trial 03, N=492)",verified_dailymed_spl_pmid_corrected,[],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/39572535/,39572535
Ofatumumab,A,0.22% (2/914 patients),verified_pmc_fulltext,[0.22],,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/37450172/,37450172
Omalizumab,A,"0.00% (systematic review), 0.06% (1/1723 patients)",verified_text_match,[0.06],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,
Ozoralizumab,A,"29.2% (with MTX, OHZORA trial); 44.3% (without MTX, NATSUZORA trial)",verified_text_match,"[29.2, 44.3]",,forward_pubmed_search_abstract_confirmed,https://pubmed.ncbi.nlm.nih.gov/41717779/,41717779
Panitumumab,B,"1.8% binding antibodies (20/1124), 0.2% neutralizing antibodies (2/1124)",verified_text_match,"[1.8, 0.2]",,批量升级至A类标准,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3231982/,
Pembrolizumab,B,"1.8% ADA incidence, 0.4% neutralizing antibodies",verified_text_match,"[1.8, 0.4]",,批量升级至A类标准,https://jitc.bmj.com/content/12/1/e008266,
Ranibizumab,A,0-5% pre-treatment immunoreactivity,verified_fda_label_dailymed_spl,[],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,
Ravulizumab,A,0.5%,verified_pmc_fulltext,[0.5],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/36890354/,36890354
Reslizumab,A,"4.39% (95% CI: 2.88-6.20) in meta-analysis, 5.4% treatment-emergent ADA in FDA data",verified_text_match,"[4.39, 5.4]",,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,
Retifanlimab,A,2.8%,verified_dailymed_spl,[2.8],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/38649621/,38649621
Risankizumab,B,"24% (263/1079 patients by Week 52), range 14.1-31% in systematic review",verified_fda_label_dailymed_spl,[],,批量升级至A类标准,https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,
Romosozumab,B,"17.6% binding antibodies, 2.9% neutralizing antibodies (by month 9)",verified_text_match,"[17.6, 2.9]",,批量升级至A类标准,https://www.ncbi.nlm.nih.gov/books/NBK585139/,
Sacituzumab,A,1.1%,verified_dailymed_spl,[1.1],,fda_label_sec6.2_confirmed,https://pubmed.ncbi.nlm.nih.gov/37633306/,37633306
Sarilumab,A,"4.0% with 200 mg dose, 5.7% with 150 mg dose (FDA label data)",verified_fda_label_dailymed_spl,[],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761037s001lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761037s013lbl.pdf,
Siltuximab,A,0.2% overall incidence of positive anti-therapeutic antibodies,verified_text_match,[0.2],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125496Orig1s000ClinPharmR.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125496s000lbl.pdf,
Tarlatamab,A,8%,verified_text_match,[8.0],,pmc_fulltext_confirmed,https://pubmed.ncbi.nlm.nih.gov/39589690/,39589690
Teprotumumab,B,"2.3% ADA incidence (4 patients) in phase II/III trials, or 0% in specific placebo-controlled study",verified_text_match,[2.3],,批量升级至A类标准,https://link.springer.com/article/10.1007/s40265-022-01804-1,
Tildrakizumab,A,"6.5% TE-POS with 100 mg, 8.2% with 200 mg; neutralizing antibodies 2.5% (100 mg) and 3.2% (200 mg)",verified_partial_primary_value_confirmed,"[6.5, 2.5, 3.2]",,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,
Tisotumab,B,5.7% ADA incidence in recurrent/metastatic cervical cancer patients,verified_text_match,[5.7],,批量升级至A类标准,https://www.pfizermedical.com/tivdak/clinical-pharmacology,
Tixagevimab,A,"4.1% for tixagevimab component (2 participants), 6.1% for AZD7442 combination (3 participants)",verified_text_match,"[4.1, 6.1]",,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/40799036/,40799036
Tocilizumab,A,"2% positive anti-tocilizumab antibodies (46 patients), 1% neutralizing antibodies (30 patients)",verified_partial_primary_value_confirmed,[2.0],,FDA标签验证升级,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/125276s092lbl.pdf;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125276s114lbl.pdf,
Toripalimab,A,"Animal: 10% ADA in cynomolgus monkeys; Human: 33.3% (0.3 mg/kg), 42.9% (1 mg/kg), 16.7% (3 mg/kg) ADA incidence",verified_text_match,"[10.0, 33.3, 42.9, 16.7]",Values include animal (cynomolgus monkey) and dose-ranging phase-I human data; routine clinical ADA rate may differ from these early-phase values,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC8789657/,
Tralokinumab,A,"0.5‑1.2% ADA incidence across dosing regimens (asthma trials), 1.4% ADA in atopic dermatitis trials, 0.1% neutralizing antibodies",verified_pmc_fulltext,"[1.2, 1.4, 0.1]",,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/30649752/,30649752
Trastuzumab,A,<8% ADA incidence (range consistent with other anticancer biologics),verified_pubmed_fulltext,[8.0],,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC5061540/,
Ustekinumab,A,2.3% incidence (27/1154 patients) in IM-UNITI trial through week 44; 4.6% (23/505) in ulcerative colitis trial; 6-12.4% in psoriasis/PsA; 2.9-4.6% in IBD,verified_partial_primary_value_confirmed,"[2.3, 4.6, 4.6]",,批量升级至A类标准,https://pmc.ncbi.nlm.nih.gov/articles/PMC10219534/,
Vedolizumab,A,"2.4% ADA with continuous treatment (1513 patients), 22.1% ADA after treatment interruption and re‑treatment (240 patients)",verified_text_match,"[2.4, 22.1]",22.1% only applies to patients who interrupted then restarted therapy; continuous-treatment rate is 2.4%,批量升级至A类标准,https://pubmed.ncbi.nlm.nih.gov/33908636/,33908636
Zenocutuzumab,B,5% antidrug antibody incidence,verified_text_match,[5.0],,批量升级至A类标准,https://oncodaily.com/oncolibrary/zenocutuzumab-nrj-new-paper-alert,
