canonical_id,display_name,in_root_ada_147,in_master_ada_158,in_panel_136,in_combined_db_146,in_batch2,in_batch3,in_negative_library,in_ph3_candidates,in_gap_list,ada_first_pct_panel,ada_first_pct_combined,ada_pct_consistent,thera_genetics_class,vh_germline,vl_germline,source_db_combined,curation_gap_fields,evidence_tier,anomalies
eptinezumab,Eptinezumab,True,True,True,True,False,False,False,False,False,20.6,20.6,True,humanized,IGHV3-66*01,IGKV3-7*02,Master,,,
etrolizumab,Etrolizumab,True,True,True,True,False,False,False,False,False,2.0,2.0,True,humanized,IGHV3-66*01,IGKV1-39*01,Master,,,
faricimab,Faricimab,True,True,True,True,False,False,False,False,False,10.0,10.0,True,humanized,IGHV3-41*02,IGKV1-16*01,Master,,,
fremanezumab,Fremanezumab,True,True,True,True,False,False,False,False,False,0.4,0.4,True,humanized,IGHV3-15*01,IGKV3-11*01,Master,,,
galcanezumab,Galcanezumab,True,True,True,True,False,False,False,False,False,4.8,4.8,True,humanized,IGHV1-69*02,IGKV1-39*01,Master,,,
itolizumab,Itolizumab,True,True,True,True,False,False,False,False,False,15.75,15.75,True,humanized,IGHV3-21*01,IGKV1-17*01,Master,,,
ixekizumab,Ixekizumab,True,True,True,True,False,False,False,False,False,14.29,14.29,True,humanized,IGHV1-69*01,IGKV2D-29*02,Master,,,
lecanemab,Lecanemab,True,True,True,True,False,False,False,False,False,3.4,3.4,True,humanized,IGHV3-48*01,IGKV2-30*02,Master,,,
mepolizumab,Mepolizumab,True,True,True,True,False,False,False,False,False,2.91,2.91,True,humanized,IGHV4-4*08,IGKV4-1*01,Master,,,
natalizumab,Natalizumab,True,True,True,True,False,False,False,False,False,6.0,6.0,True,humanized,IGHV1-3*01,IGKV1-33*01,Master,,,
naxitamab,Naxitamab,True,True,True,True,False,False,False,False,False,8.0,8.0,True,humanized,IGHV3-53*03,IGKV3-15*01,Master,,,
omalizumab,Omalizumab,True,True,True,True,False,False,False,False,False,0.0,0.0,True,humanized,IGHV4-38-2*01,IGKV7-3*01,Master,,,
ozoralizumab,Ozoralizumab,True,True,True,True,False,False,False,False,False,29.2,29.2,True,humanized,IGHV3-41*02,,Master,,,
pembrolizumab,Pembrolizumab,True,True,True,True,False,False,False,False,False,1.8,1.8,True,humanized,IGHV1-2*02,IGKV7-3*01,Master,,,
ranibizumab,Ranibizumab,True,True,True,True,False,False,False,False,False,5.0,5.0,True,humanized,IGHV3-23*04,IGKV1-16*01,Master,,,
ravulizumab,Ravulizumab,True,True,True,True,False,False,False,False,False,0.5,0.5,True,humanized,IGHV1-46*01,IGKV1-39*01,Master,,,
reslizumab,Reslizumab,True,True,True,True,False,False,False,False,False,4.39,4.39,True,humanized,IGHV3-66*01,IGKV1-39*01,Master,,,
retifanlimab,Retifanlimab,True,True,True,True,False,False,False,False,False,2.8,2.8,True,humanized,IGHV1-46*01,IGKV7-3*01,Master,,,
risankizumab,Risankizumab,True,True,True,True,False,False,False,False,False,24.0,24.0,True,humanized,IGHV1-69*02,IGKV1-27*01,Master,,,
romosozumab,Romosozumab,True,True,True,True,False,False,False,False,False,17.6,17.6,True,humanized,IGHV1-2*02,IGKV1-33*01,Master,,,
sacituzumab,Sacituzumab,True,True,True,True,False,False,False,False,False,1.1,1.1,True,humanized,IGHV7-4-1*02,IGKV1-13*02,Master,,,
tarlatamab,Tarlatamab,True,True,True,True,False,False,False,False,False,8.0,8.0,True,humanized,IGHV4-59*03,IGKV3-20*01,Master,,,
tildrakizumab,Tildrakizumab,True,True,True,True,False,False,False,False,False,6.5,6.5,True,humanized,IGHV1-18*01,IGKV1-39*01,Master,,,
tocilizumab,Tocilizumab,True,True,True,True,False,False,False,False,False,2.0,2.0,True,humanized,IGHV4-28*01,IGKV1-33*01,Master,,,
toripalimab,Toripalimab,True,True,True,True,False,False,False,False,False,10.0,10.0,True,humanized,IGHV1-3*01,IGKV2-30*02,Master,,,
trastuzumab,Trastuzumab,True,True,True,True,False,False,False,False,False,8.0,8.0,True,humanized,IGHV3-23*04,IGKV1-39*01,Master,,,
vedolizumab,Vedolizumab,True,True,True,True,False,False,False,False,False,2.4,2.4,True,humanized,IGHV1-3*01,IGKV2-28*01,Master,,,
zenocutuzumab,Zenocutuzumab,True,True,True,True,False,False,False,False,False,5.0,5.0,True,humanized,IGHV1-2*02,IGKV1-39*01,Master,,,
aducanumab,Aducanumab,True,True,True,True,False,False,False,False,True,0.4,0.4,True,genetically_human,IGHV3-33*01,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
atoltivimab,Atoltivimab,True,True,True,True,False,False,False,False,True,80.0,0.0,False,genetically_human,IGHV3-33*01,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay'];ada_pct_mismatch_panel_vs_combined"
bamlanivimab,Bamlanivimab,True,True,True,True,False,False,False,False,True,2.1,2.1,True,genetically_human,IGHV1-69*04,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
belimumab,Belimumab,True,True,True,True,False,False,False,False,True,4.8,4.8,True,genetically_human,IGHV1-69*01,IGKV1-13*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
bimagrumab,Bimagrumab,True,True,True,True,False,False,False,False,True,4.0,4.0,True,genetically_human,IGHV1-2*02,IGKV1-37*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
clesrovimab,Clesrovimab,True,True,True,True,False,False,False,False,True,22.6,22.6,True,genetically_human,IGHV3-49*04,IGKV1-13*02,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
crovalimab,Crovalimab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,genetically_human,IGHV2-70*01,IGKV1-12*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
daratumumab,Daratumumab,True,True,True,True,False,False,False,False,True,0.0,0.0,True,genetically_human,IGHV3-23*01,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
dupilumab,Dupilumab,True,True,True,True,False,False,False,False,True,7.61,7.61,True,genetically_human,IGHV3-23*04,IGKV2-28*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
ebronucimab,Ebronucimab,True,True,True,True,False,False,False,False,True,12.5,12.5,True,genetically_human,IGHV3-21*01,IGKV2/OR22-4*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
emapalumab,Emapalumab,True,True,True,True,False,False,False,False,True,10.0,10.0,True,genetically_human,IGHV3-23*01,IGKV3D-20*02,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
enuzovimab,Enuzovimab,True,True,True,True,False,False,False,False,True,1.5,1.5,True,genetically_human,IGHV3-53*01,IGKV1-12*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
evinacumab,Evinacumab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,genetically_human,IGHV3-43*02,IGKV1-5*03,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
evolocumab,Evolocumab,True,True,True,True,False,False,False,False,True,0.1,0.1,True,genetically_human,IGHV1-18*01,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
fulranumab,Fulranumab,True,True,True,True,False,False,False,False,True,6.0,6.0,True,genetically_human,IGHV3-48*02,IGKV1-13*02,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
garadacimab,Garadacimab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,genetically_human,IGHV3-23*01,IGKV3D-20*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
nivolumab,Nivolumab,True,True,True,True,False,False,False,False,True,37.8,37.8,True,genetically_human,IGHV3-33*01,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
olaratumab,Olaratumab,True,True,True,True,False,False,False,False,True,3.5,3.5,True,genetically_human,IGHV4-39*01,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
pemivibart,Pemivibart,True,True,True,True,False,False,False,False,True,15.0,15.0,True,genetically_human,IGHV3-21*07,IGKV2/OR22-4*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
ramucirumab,Ramucirumab,True,True,True,True,False,False,False,False,True,3.0,3.0,True,genetically_human,IGHV3-21*01,IGKV1-12*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
regdanvimab,Regdanvimab,True,True,True,True,False,False,False,False,True,10.0,10.0,True,genetically_human,IGHV2-70*12,IGKV3D-20*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
relatlimab,Relatlimab,True,True,True,True,True,False,False,False,True,2.0,5.6,False,genetically_human,IGHV4-34*03,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",C,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay'];ada_pct_mismatch_panel_vs_combined"
secukinumab,Secukinumab,True,True,True,True,False,False,False,False,True,1.0,1.0,True,genetically_human,IGHV3-7*01,IGKV3-20*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
sintilimab,Sintilimab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,genetically_human,IGHV1-69*01,IGKV1-12*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
tafolecimab,Tafolecimab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,genetically_human,IGHV4-39*01,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
tezepelumab,Tezepelumab,True,True,True,True,False,False,False,False,True,4.9,4.9,True,genetically_human,IGHV3-33*01,IGKV1-13*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
tremelimumab,Tremelimumab,True,True,True,True,False,False,False,False,True,16.7,16.7,True,genetically_human,IGHV3-33*01,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
axatilimab,Axatilimab,True,True,True,True,False,False,False,False,True,16.3,16.3,True,humanised,IGHV2-70*01,IGKV1-6*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
belantamab,Belantamab,True,True,True,True,False,False,False,False,True,17.0,17.0,True,humanised,IGHV1-69*02,IGKV1-33*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
budigalimab,Budigalimab,True,True,True,True,False,False,False,False,True,1.8,1.8,True,humanised_engineered,IGHV1-3*04,IGKV2-28*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
crizanlizumab,Crizanlizumab,True,True,True,True,False,False,False,False,True,0.0,0.0,True,humanised,IGHV1-46*01,IGKV7-3*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
depemokimab,Depemokimab,True,True,True,True,False,False,False,False,True,95.0,10.0,False,humanised,IGHV4-34*09,IGKV4-1*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay'];ada_pct_mismatch_panel_vs_combined"
domvanalimab,Domvanalimab,True,True,True,True,False,False,False,False,True,17.2,17.2,True,humanised,IGHV3-48*01,IGKV1-9*03,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
eculizumab,Eculizumab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,humanised,IGHV1-46*01,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
elezanumab,Elezanumab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,humanised,IGHV1-18*01,IGKV2-40*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
elotuzumab,Elotuzumab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,humanised,IGHV3-48*01,IGKV1-27*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
etaracizumab,Etaracizumab,True,True,True,True,False,False,False,False,True,5.0,5.0,True,humanised,IGHV3-30*01,IGKV3-11*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
exidavnemab,Exidavnemab,True,True,True,True,False,False,False,False,True,7.0,7.0,True,humanised_engineered,IGHV4-59*03,IGKV2-28*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
favezelimab,Favezelimab,True,True,True,True,False,False,False,False,True,42.9,42.9,True,humanised,IGHV1-58*01,IGKV2/OR2-7D*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
gemtuzumab,Gemtuzumab,True,True,True,True,False,False,False,False,True,1.1,1.1,True,humanised,IGHV1-18*02,IGKV7-3*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
ibalizumab,Ibalizumab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,humanised,IGHV1-46*01,IGKV4-1*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
inebilizumab,Inebilizumab,True,True,True,True,False,True,False,False,True,15.0,15.0,True,humanised,IGHV3-23*03,IGKV7-3*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
lebrikizumab,Lebrikizumab,True,True,True,True,False,False,False,False,True,5.2,5.2,True,humanised,IGHV4-59*03,IGKV7-3*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
leronlimab,Leronlimab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,humanised,IGHV3-23*03,IGKV2D-29*02,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
levilimab,Levilimab,True,True,True,True,False,False,False,False,True,2.0,2.0,True,humanised_engineered,IGHV3-66*01,IGKV7-3*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
mirikizumab,Mirikizumab,True,True,True,True,False,False,False,False,True,5.6,5.6,True,humanised,IGHV1-2*02,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
mogamulizumab,Mogamulizumab,True,True,True,True,False,False,False,False,True,3.9,14.1,False,humanised,IGHV3-21*01,IGKV2-28*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay'];ada_pct_mismatch_panel_vs_combined"
nemolizumab,Nemolizumab,True,True,True,True,False,False,False,False,True,5.6,5.6,True,humanised,IGHV1-2*02,IGKV1-39*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
nimotuzumab,Nimotuzumab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,humanised,IGHV1-69*03,IGKV2-30*02,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
obinutuzumab,Obinutuzumab,True,True,True,True,False,False,False,False,True,13.0,13.0,True,humanised,IGHV1-69*02,IGKV2-28*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
ocrelizumab,Ocrelizumab,True,True,True,True,False,False,False,False,True,1.0,1.0,True,humanised,IGHV3-23*04,IGKV1-13*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
olokizumab,Olokizumab,True,True,True,True,False,False,False,False,True,15.0,3.2,False,humanised,IGHV3-72*01,IGKV1-17*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",C,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay'];ada_pct_mismatch_panel_vs_combined"
palivizumab,Palivizumab,True,True,True,True,False,False,False,False,True,0.7,0.7,True,humanised,IGHV2-70*01,IGKV1-13*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
penpulimab,Penpulimab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,humanised_engineered,IGHV3-23*04,IGKV1-16*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
pertuzumab,Pertuzumab,True,True,True,True,False,False,False,False,True,3.0,3.0,True,humanised,IGHV3-23*04,IGKV1-16*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
polatuzumab,Polatuzumab,True,True,True,True,False,False,False,False,True,1.0,1.0,True,humanised,IGHV3-23*04,IGKV7-3*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
recaticimab,Recaticimab,True,True,True,True,False,False,False,False,True,1.0,1.0,True,humanised_engineered,IGHV1-2*02,IGKV4-1*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
rozanolixizumab,Rozanolixizumab,True,True,True,True,False,False,False,False,True,15.0,37.0,False,humanised_engineered,IGHV3-48*03,IGKV2-29*02,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",C,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay'];ada_pct_mismatch_panel_vs_combined"
satralizumab,Satralizumab,True,True,True,True,False,True,False,False,True,41.0,41.0,True,humanised,IGHV4-4*02,IGKV1-33*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",B,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
spesolimab,Spesolimab,True,True,True,True,False,False,False,False,True,15.0,15.0,True,humanised,IGHV1-2*02,IGKV3-20*01,Master,"['route', 'half_life', 'fc_engineering', 'dose', 'assay']",A,"curation_gap:['route', 'half_life', 'fc_engineering', 'dose', 'assay']"
