antibody_name,evidence_tier,source_type,source_id,stored_ada,stored_pct,verify_status,source_pct,delta,extracted_pcts,note,source_snippet,pass2_status,pass2_ada_pcts,pass2_note
Belantamab,A,PMID,31711027.0,17%,17.0,DISCREPANCY,21.6,4.6,"[21.6, 81.2]","Source has [21.6, 81.2], stored=17.0%",1. Waste Manag. 2020 Feb 1;102:330-339. doi: 10.1016/j.wasman.2019.10.058. Epub  2019 Nov 8.  Rapid single-step synthesis of porous carbon from an agricultural waste for  energy storage application.  ,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Budigalimab,A,PMID,41054153.0,1.80%,1.8,DISCREPANCY,27.62,25.82,"[27.62, 59.89, 95.0]","Source has [27.62, 59.89, 95.0], stored=1.8%",1. Medicine (Baltimore). 2025 Oct 3;104(40):e44700. doi:  10.1097/MD.0000000000044700.  Global safety profile of PD-1/PD-L1 inhibitors in hepatic autoimmune disorders:  A global disproportionality ana,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Elezanumab,A,PMID,38191982.0,2.0%,2.0,DISCREPANCY,20.0,18.0,[20.0],"Source has [20.0], stored=2.0%","1. Clin Pharmacol Drug Dev. 2024 Feb;13(2):180-189. doi: 10.1002/cpdd.1341. Epub  2024 Jan 8.  Comparability of Elezanumab Safety, Tolerability, and Pharmacokinetics in  Healthy Japanese, Chinese, and",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Etaracizumab,A,PMID,17390341.0,5.0%,5.0,DISCREPANCY,30.0,25.0,"[30.0, 35.0, 50.0]","Source has [30.0, 35.0, 50.0], stored=5.0%","1. J Cell Biochem. 2007 Oct 1;102(2):341-52. doi: 10.1002/jcb.21296.  Effects of Vitaxin, a novel therapeutic in trial for metastatic bone tumors, on  osteoclast functions in vitro.  Gramoun A(1), Sho",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Exidavnemab,A,PMID,39105497.0,7.00%,7.0,DISCREPANCY,0.2,6.8,"[0.2, 71.0]","Source has [0.2, 71.0], stored=7.0%","1. J Clin Pharmacol. 2024 Nov;64(11):1432-1442. doi: 10.1002/jcph.6103. Epub 2024  Aug 6.  Safety, Tolerability, and Pharmacokinetics of Single Doses of Exidavnemab  (BAN0805), an Anti-α-Synuclein Ant",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Favezelimab,A,PMID,40668662.0,42.9%,42.9,DISCREPANCY,48.0,5.1,"[0.4, 2.0, 5.0, 37.0, 48.0, 49.0, 50.0, 95.0]","Source has [0.4, 2.0, 5.0, 37.0], stored=42.9%",1. Blood Adv. 2025 Oct 14;9(19):4987-4995. doi: 10.1182/bloodadvances.2024014654.  Estimating efficacy of favezelimab plus pembrolizumab relative to pembrolizumab  in anti-PD-1-refractory Hodgkin lymp,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Lebrikizumab,A,PMID,27372567.0,5.2%,5.2,DISCREPANCY,25.0,19.8,"[25.0, 75.0, 95.0]","Source has [25.0, 75.0, 95.0], stored=5.2%","1. J Allergy Clin Immunol. 2017 Jan;139(1):122-129.e1. doi:  10.1016/j.jaci.2016.05.008. Epub 2016 May 24.  Traffic-related air pollution exposure is associated with allergic  sensitization, asthma, a",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Nemolizumab,A,PMID,30289238.0,5.6%,5.6,DISCREPANCY,79.6,74.0,"[79.6, 87.6]","Source has [79.6, 87.6], stored=5.6%",1. ACS Appl Mater Interfaces. 2018 Nov 7;10(44):38084-38092. doi:  10.1021/acsami.8b13570. Epub 2018 Oct 19.  Ultraviolet Irradiation Treatment for Enhanced Sodium Storage Performance Based  on Wide-I,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Olokizumab,B,PMID,36109142.0,10-15%,15.0,DISCREPANCY,20.0,5.0,"[3.2, 7.0, 20.0, 40.6, 59.6, 60.9]","Source has [3.2, 7.0, 20.0, 40.6], stored=15.0%","1. Ann Rheum Dis. 2022 Dec;81(12):1661-1668. doi: 10.1136/ard-2022-222630. Epub  2022 Sep 15.  Olokizumab, a monoclonal antibody against interleukin-6, in combination with  methotrexate in patients wi",CLOSE_MATCH,"[3.2, 7.0]",ADA-context near-match: 7.0% vs stored 15.0% (Δ=8.0%)
Penpulimab,A,PMID,33524450.0,10-15%,15.0,DISCREPANCY,92.0,77.0,[92.0],"Source has [92.0], stored=15.0%","1. Am J Infect Control. 2021 Apr;49(4):416-423. doi: 10.1016/j.ajic.2021.01.017.  Epub 2021 Jan 29.  New technique to evaluate decontamination methods for filtering facepiece  respirators.  Vo E(1), R",FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Tagitanlimab,A,PMID,33837950.0,<1%,1.0,DISCREPANCY,19.0,18.0,"[19.0, 50.0]","Source has [19.0, 50.0], stored=1.0%",1. J Robot Surg. 2022 Apr;16(2):295-300. doi: 10.1007/s11701-021-01236-1. Epub 2021  Apr 10.  Single-port robotic-assisted simple prostatectomy is associated with decreased  post-operative narcotic us,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Timigutuzumab,A,PMID,34540688.0,10-15%,15.0,DISCREPANCY,18.9,3.9,"[11.1, 18.9, 27.9, 50.0, 59.4, 87.5]","Source has [11.1, 18.9, 27.9, 50.0], stored=15.0%",1. Front Oncol. 2021 Sep 2;11:718146. doi: 10.3389/fonc.2021.718146. eCollection  2021.  Virtual Surgical Planning of Deep Circumflex Iliac Artery Flap for Midface  Reconstruction.  Kang YF(1)(2)(3)(4,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Vunakizumab,A,PMID,31138300.0,10-15%,15.0,DISCREPANCY,95.0,80.0,[95.0],"Source has [95.0], stored=15.0%",1. Int J Health Geogr. 2019 May 28;18(1):12. doi: 10.1186/s12942-019-0176-x.  Methodological approaches to the study of cancer risk in the vicinity of  pollution sources: the experience of a populatio,FALSE_POSITIVE,[],No ADA-context % in abstract; original discrepancy was efficacy %
Adalimumab,A,URL,FDA prescribing information,30%,30.0,UNREACHABLE,,,[],URL unreachable: FDA prescribing information,,REAL_DISCREPANCY,,"DailyMed: ADA [6.8, 7.5, 8.7, 9.4] vs stored 30.0% Δ=19.5%"
Pembrolizumab,B,URL,https://jitc.bmj.com/content/12/1/e008266,"1.8% ADA incidence, 0.4% neutralizing antibodies",1.8,UNREACHABLE,,,[],URL unreachable: https://jitc.bmj.com/content/12/1/e008266,,PAYWALL,,URL behind paywall; need manual access
Belimumab,B,URL,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",4.8,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/155457-311017/bel,,PAYWALL,,URL behind paywall; need manual access
Daratumumab,B,URL,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,0% (no ADA detected in two monotherapy trials),0.0,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/science/article/abs/pii/S00937,,PAYWALL,,URL behind paywall; need manual access
Dupilumab,B,URL,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.7,7.61,UNREACHABLE,,,[],URL unreachable: https://www.jaci-inpractice.org/article/S2213-2198(23)00087-,,PAYWALL,,URL behind paywall; need manual access
Ebronucimab,B,URL,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,12.5,UNREACHABLE,,,[],URL unreachable: https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.931,,PAYWALL,,URL behind paywall; need manual access
Evolocumab,B,URL,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,0.1% (7/4846 subjects),0.1,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/topics/medicine-and-dentistry/,,PAYWALL,,URL behind paywall; need manual access
Nivolumab,B,URL,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Che,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",37.8,UNREACHABLE,,,[],URL unreachable: https://aacrjournals.org/clincancerres/article/26/4/787/8308,,PAYWALL,,URL behind paywall; need manual access
Ramucirumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,3% (86/2890 patients),3.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/166215-3,,PAYWALL,,URL behind paywall; need manual access
Secukinumab,B,URL,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/secukinumab,"<1% ADA incidence at week 52, 0.4% treatment-emergent ADAs over 3 years",1.0,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/topics/pharmacology-toxicology,,PAYWALL,,URL behind paywall; need manual access
Tezepelumab,B,URL,https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,"4.9% ADA positive in tezepelumab group (vs 8.3% placebo), 5% in FDA data (29/601",4.9,UNREACHABLE,,,[],URL unreachable: https://www.nejm.org/doi/full/10.1056/NEJMoa2034975,,PAYWALL,,URL behind paywall; need manual access
Tremelimumab,B,URL,https://www.onclive.com/view/anti-drug-antibodies-do-not-affect-durvalumab-alone-with-tremelimumab-i,"1.8‑16.7% ADA incidence range; specific studies: 11% (HIMALAYA), 14% (POSEIDON),",16.7,UNREACHABLE,,,[],URL unreachable: https://www.onclive.com/view/anti-drug-antibodies-do-not-aff,,PAYWALL,,URL behind paywall; need manual access
Crizanlizumab,B,URL,https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,0% ADA in main trial (no detectable antibody response); 1.6% (1/61) in healthy s,0.0,UNREACHABLE,,,[],URL unreachable: https://www.nejm.org/doi/full/10.1056/NEJMoa1611770,,PAYWALL,,URL behind paywall; need manual access
Eculizumab,B,URL,https://www.drugs.com/monograph/eculizumab.html,<2% detection rate (clinical trials),2.0,UNREACHABLE,,,[],URL unreachable: https://www.drugs.com/monograph/eculizumab.html,,PAYWALL,,URL behind paywall; need manual access
Elotuzumab,B,URL,https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,"15% (NEJM), 18.5% (Springer), ~15-40% depending on regimen",15.0,UNREACHABLE,,,[],URL unreachable: https://www.nejm.org/doi/full/10.1056/NEJMoa1505654,,PAYWALL,,URL behind paywall; need manual access
Mogamulizumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/175821-318034/mogamulizumab-kpkc-intravenous,3.9% (10/258 patients),3.9,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/175821-3,,PAYWALL,,URL behind paywall; need manual access
Obinutuzumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/165353-314013/obinutuzumab-intravenous,approximately 13%,13.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/165353-3,,PAYWALL,,URL behind paywall; need manual access
Ocrelizumab,B,URL,https://www.medcentral.com/drugs/monograph/173459-317024/ocrelizumab-intravenous,approximately 1% (12/1311 patients),1.0,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/173459-317024/ocr,,PAYWALL,,URL behind paywall; need manual access
Palivizumab,B,URL,https://www.medcentral.com/drugs/monograph/16441-398034/palivizumab-intramuscular,"0.7% (Synagis group), 1.1% (placebo group)",0.7,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/16441-398034/pali,,PAYWALL,,URL behind paywall; need manual access
Pertuzumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/161165-313007/pertuzumab-intravenous,3% (13/389 patients in CLEOPATRA study),3.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/161165-3,,PAYWALL,,URL behind paywall; need manual access
Nipocalimab,A,URL,FDA prescribing information,48%,48.0,UNREACHABLE,,,[],URL unreachable: FDA prescribing information,,VERIFIED,,"DailyMed: ADA [38.8, 48.0] vs stored 48.0% Δ=0.0%"
Epcoritamab,A,URL,FDA prescribing information,2.6%,2.6,UNREACHABLE,,,[],URL unreachable: FDA prescribing information,,VERIFIED,,"DailyMed: ADA [2.6, 4.2, 13.0, 18.0] vs stored 2.6% Δ=0.0%"
Elranatamab,A,URL,FDA prescribing information (Pfizer),9.5%,9.5,UNREACHABLE,,,[],URL unreachable: FDA prescribing information (Pfizer),,VERIFIED,,"DailyMed: ADA [9.5, 56.0] vs stored 9.5% Δ=0.0%"
