antibody_name,evidence_tier,source_type,source_id,stored_ada,stored_pct,verify_status,source_pct,delta,extracted_pcts,note,source_snippet
Certolizumab,A,PMID,31783773.0,5.1-6.1%,6.1,VERIFIED,6.1,0.0,"[6.1, 95.0]",,"1. Arthritis Res Ther. 2019 Nov 29;21(1):256. doi: 10.1186/s13075-019-2009-5.  Associations between certolizumab pegol serum levels, anti-drug antibodies and  treatment response in patients with infla"
Clazakizumab,A,PMID,38995690.0,1.00%,1.0,DISCREPANCY,99.0,98.0,"[99.0, 100.0]","Source has [99.0], stored=1.0%","1. Kidney360. 2024 Aug 1;5(8):1207-1225. doi: 10.34067/KID.0000000000000509. Epub  2024 Jul 12.  New Therapies for Highly Sensitized Patients on the Waiting List.  Vo A(1), Ammerman N, Jordan SC.  Aut"
Concizumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=156f6404-1f6f-417f-bcf8-f07a27a82cc1,22.2% (71/320 treated patients; anticoncizumab-mtci antibodies; US PI §12.6),22.2,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Daclizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC5199226/,≤12% (anti-daclizumab antibodies including neutralizing),12.0,URL_LIVE,,,"[0.0, 0.3, 1.0, 2.0, 5.0, 10.0, 12.0, 19.0]",URL live; ADA % not extracted from page,
Dazukibart,A,PMID,40401504.0,20.0%,20.0,VERIFIED,20.0,0.0,[20.0],,"1. Clin Pharmacol Drug Dev. 2025 Aug;14(8):572-582. doi: 10.1002/cpdd.1522. Epub  2025 May 22.  Pharmacokinetics, Safety, and Tolerability of Single-Dose Dazukibart in Healthy  Adults in China and Jap"
Donanemab,A,PMID,32401365.0,87%,87.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Yeast. 2020 May;37(5-6):327-335. doi: 10.1002/yea.3471. Epub 2020 Jun 17.  A suite of polymerase chain reaction-based peptide tagging plasmids for  epitope-targeted enzymatic functionalization of y
Dostarlimab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC8321970/,2.5% treatment-emergent ADA incidence at recommended therapeutic dose,2.5,VERIFIED,2.5,0.0,"[0.0, 0.1, 0.3, 0.6, 1.0, 1.3, 1.5, 1.6]",,
Emicizumab,B,URL,https://haematologica.org/article/view/haematol.2022.282099,5.1% (34/668 patients),5.1,VERIFIED,5.1,0.0,"[1.0, 2.0, 3.0, 5.0, 5.1, 8.0, 12.0, 13.0]",,
Eptinezumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=79065861-6aa5-4d1f-829f-3a6471286b36,"20.6% (Study 1, 92/447); 18.3% (Study 2, 129/706); 18% (open-label 23/128) anti-",20.6,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Etrolizumab,A,PMID,40481373.0,2%,2.0,VERIFIED,2.0,0.0,[2.0],,"1. AAPS J. 2025 Jun 6;27(4):107. doi: 10.1208/s12248-025-01090-1.  Factors Impacting the Immunogenicity of Etrolizumab & Clinical Consequences.  Sperinde G(1), Webb-Vargas Y(2), Hu Z(3), Saha A(4), Ha"
Faricimab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=04cc9ef7-c02a-4e92-a655-0062674e8487,8% to 10.4% (treatment-emergent anti-faricimab antibodies after dosing; US PI §1,8.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Fremanezumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=98e344ea-5916-4947-b6f2-4a76ccc04b6b,0.4% (6/1701; 3-month placebo-controlled adult studies; US PI §12.6),0.4,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Galcanezumab,B,URL,https://www.ema.europa.eu/en/documents/product-information/emgality-epar-product-information_en.pdf,"4.8% (EMA), 4.8% (33/688 patients), 4.6% (phase 2b)",4.8,URL_LIVE,,,"[0.0, 1.0, 1.7, 2.0, 3.0, 4.0, 5.0, 6.0]",URL live; ADA % not extracted from page,
Itolizumab,A,PMID,24703722,15.75% (antidrug antibodies; phase III psoriasis cohort per Krupashankar et al. ,15.75,VERIFIED,18.6,2.85,"[2.3, 8.9, 11.1, 18.6, 27.0, 36.4, 38.0, 41.9]",,"1. J Am Acad Dermatol. 2014 Sep;71(3):484-92. doi: 10.1016/j.jaad.2014.01.897. Epub  2014 Apr 2.  Efficacy and safety of itolizumab, a novel anti-CD6 monoclonal antibody, in  patients with moderate to"
Ixekizumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac96658a-d7dc-4c7c-8928-2adcdf4318b2,"22% (approx.; plaque psoriasis adults, recommended regimen, antibodies by 60 wee",22.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Lecanemab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9d1ff786-e577-410a-a273-c4d7d0e4e975,"3.4% (30/883; treatment-emergent anti-lecanemab-irmb antibodies, IV 18 months, S",3.4,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Mepolizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,2.91% (95% CI: 1.60-4.55),2.91,VERIFIED,2.91,0.0,"[0.0, 0.15, 0.55, 0.73, 0.76, 0.89, 1.0, 1.12]",,
Natalizumab,A,PMID,17761550.0,6% persistent antibodies,6.0,VERIFIED,9.0,3.0,"[3.0, 6.0, 9.0]",,1. Neurology. 2007 Oct 2;69(14):1391-403. doi: 10.1212/01.wnl.0000277457.17420.b5.  Epub 2007 Aug 29.  The incidence and significance of anti-natalizumab antibodies: results from  AFFIRM and SENTINEL.
Naxitamab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=29a80c6b-8bad-4650-8c7f-f18490c868ec,8% (Study 201: 2/24 ADA-positive after DANYELZA; US PI §6.2),8.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Omalizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,"0.00% (systematic review), 0.06% (1/1723 patients)",0.0,VERIFIED,0.0,0.0,"[0.0, 0.15, 0.55, 0.73, 0.76, 0.89, 1.0, 1.12]",,
Ozoralizumab,A,PMID,37055803,29.2% (OHZORA 80 mg+MTX TI/TB ADA by week 52); 30.8% (OHZORA 30 mg+MTX); 46.8%/3,29.2,DISCREPANCY,20.0,9.2,"[20.0, 50.0]","Source has [20.0, 50.0], stored=29.2%","1. Arthritis Res Ther. 2023 Apr 13;25(1):60. doi: 10.1186/s13075-023-03036-4.  Efficacy and pharmacokinetics of ozoralizumab, an anti-TNFα NANOBODY(®)  compound, in patients with rheumatoid arthritis:"
Pembrolizumab,B,URL,https://jitc.bmj.com/content/12/1/e008266,"1.8% ADA incidence, 0.4% neutralizing antibodies",1.8,UNREACHABLE,,,[],URL unreachable: https://jitc.bmj.com/content/12/1/e008266,
Ranibizumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125156s105lbl.pdf,0-5% pre-treatment immunoreactivity,5.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Ravulizumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9a590d9-0217-43c7-908d-e62a71279791,0.5% (1/219 PNH patients; treatment-emergent antibodies; US PI §12.6),0.5,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Reslizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC10601343/,"4.39% (95% CI: 2.88-6.20) in meta-analysis, 5.4% treatment-emergent ADA in FDA d",4.39,VERIFIED,4.35,0.04,"[0.0, 0.15, 0.55, 0.73, 0.76, 0.89, 1.0, 1.12]",,
Retifanlimab,B,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=109648d0-d30a-42fc-8273-39cb1540a751,0% (SCAC POD1UM-303/202); 2.8% (3/106 MCC POD1UM-201; treatment-emergent ADAs; U,0.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Risankizumab,B,URL,https://www.rxabbvie.com/pdf/skyrizi_pi.pdf,"24% (263/1079 patients by Week 52), range 14.1-31% in systematic review",24.0,URL_LIVE,,,"[0.0, 1.0, 1.7, 2.0, 3.0, 4.0, 5.0, 6.0]",URL live; ADA % not extracted from page,
Romosozumab,B,URL,https://www.ncbi.nlm.nih.gov/books/NBK585139/,"17.6% binding antibodies, 2.9% neutralizing antibodies (by month 9)",17.6,DISCREPANCY,5.0,12.6,"[0.3, 0.5, 1.8, 1.9, 2.5, 2.9, 4.9, 5.0]","Source pcts: [2.9, 5.0], stored=17.6%",
Sacituzumab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57a597d2-03f0-472e-b148-016d7169169d,1.1% (9/785; antibodies to sacituzumab govitecan; median ~4 months exposure; US ,1.1,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Tarlatamab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1e7b6163-5d83-42ea-82c9-cf7620cdc782,8% (36/445; treatment-emergent ADA; DeLLphi-300/301/304; US PI §12.6),8.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Tildrakizumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC6972989/,"6.5% TE-POS with 100 mg, 8.2% with 200 mg; neutralizing antibodies 2.5% (100 mg)",6.5,VERIFIED,6.0,0.5,"[0.0, 0.1, 0.3, 1.0, 1.6, 2.0, 3.0, 4.0]",,
Tocilizumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/125276s092lbl.pdf,"2% positive anti-tocilizumab antibodies (46 patients), 1% neutralizing antibodie",2.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Toripalimab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC8789657/,"Animal: 10% ADA in cynomolgus monkeys; Human: 33.3% (0.3 mg/kg), 42.9% (1 mg/kg)",10.0,VERIFIED,10.2,0.2,"[0.0, 0.2, 0.361, 0.4, 0.6, 0.63, 1.0, 1.7]",,
Trastuzumab,A,URL,https://pmc.ncbi.nlm.nih.gov/articles/PMC5061540/,<8% ADA incidence (range consistent with other anticancer biologics),8.0,VERIFIED,7.0,1.0,"[0.0, 0.4, 1.0, 2.0, 3.0, 3.4, 3.8, 5.0]",,
Vedolizumab,A,PMID,33908636.0,"2.4% ADA with continuous treatment (1513 patients), 22.1% ADA after treatment in",2.4,VERIFIED,1.1,1.3,"[1.1, 2.4, 2.5, 19.4, 22.0, 22.1, 23.1]",,1. J Clin Pharmacol. 2021 Sep;61(9):1174-1181. doi: 10.1002/jcph.1877. Epub 2021  Jul 14.  Vedolizumab Immunogenicity With Long-Term or Interrupted Treatment of Patients  With Inflammatory Bowel Disea
Zenocutuzumab,B,URL,https://oncodaily.com/oncolibrary/zenocutuzumab-nrj-new-paper-alert,5% antidrug antibody incidence,5.0,VERIFIED,5.0,0.0,"[0.0, 2.0, 3.0, 4.0, 5.0, 14.0, 20.0, 29.0]",,
Aducanumab,A,PMID,33361324.0,0.4%,0.4,UNCERTAIN,,,[],ADA % not found in abstract text,"1. mSystems. 2020 Dec 22;5(6):e01044-20. doi: 10.1128/mSystems.01044-20.  Simultaneous Presence of Bacteriochlorophyll and Xanthorhodopsin Genes in a  Freshwater Bacterium.  Kopejtka K(#)(1), Tomasch "
Atoltivimab,A,FDA_PI,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0536b6fe-6fe5-4fd6-8cc6-1b481945c1fa,0% (not detected),0.0,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Bamlanivimab,A,PMID,33528553.0,2.1%,2.1,VERIFIED,2.2,0.1,"[0.3, 0.4, 1.7, 2.2, 14.1, 15.7, 30.3, 36.4]",,1. JAMA Netw Open. 2021 Feb 1;4(2):e2036148. doi:  10.1001/jamanetworkopen.2020.36148.  Assessment of Incidence and Factors Associated With Severe Maternal Morbidity  After Delivery Discharge Among Wo
Belimumab,B,URL,https://www.medcentral.com/drugs/monograph/155457-311017/belimumab-intravenous,"4.8% (1 mg/kg dose), 0.7% (10 mg/kg dose, potentially underestimated)",4.8,UNREACHABLE,,,[],URL unreachable: https://www.medcentral.com/drugs/monograph/155457-311017/bel,
Bimagrumab,A,PMID,40580805.0,4.0%,4.0,VERIFIED,5.0,1.0,"[5.0, 35.0, 40.0]",,1. Clin Nutr. 2025 Aug;51:187-197. doi: 10.1016/j.clnu.2025.06.007. Epub 2025 Jun  11.  Therapeutic advances in sarcopenia management: From traditional interventions to  personalized medicine.  Liu X(
Clesrovimab,B,FDA_PI,https://api.fda.gov/drug/label.json,22.6%,22.6,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Crovalimab,A,PMID,34276736.0,10-15%,15.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Front Plant Sci. 2021 Jul 1;12:685334. doi: 10.3389/fpls.2021.685334.  eCollection 2021.  Structural Modeling and in planta Complementation Studies Link Mutated Residues  of the Medicago truncatula
Daratumumab,B,URL,https://www.sciencedirect.com/science/article/abs/pii/S0093775422000082,0% (no ADA detected in two monotherapy trials),0.0,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/science/article/abs/pii/S00937,
Dupilumab,B,URL,https://www.jaci-inpractice.org/article/S2213-2198(23)00087-9/pdf,7.61% ADA incidence in dupilumab studies; Neutralizing antibodies: 0.00% to 10.7,7.61,UNREACHABLE,,,[],URL unreachable: https://www.jaci-inpractice.org/article/S2213-2198(23)00087-,
Ebronucimab,B,URL,https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.9318,12.5% ADA incidence (3/24 subjects) in healthy volunteer phase I study,12.5,UNREACHABLE,,,[],URL unreachable: https://www.ahajournals.org/doi/10.1161/circ.146.suppl_1.931,
Emapalumab,A,PMID,30352551.0,10%,10.0,UNCERTAIN,,,[],ADA % not found in abstract text,"1. BMC Plant Biol. 2018 Oct 23;18(1):255. doi: 10.1186/s12870-018-1459-2.  Identification and characterization of NF-Y gene family in walnut (Juglans regia  L.).  Quan S(1)(2), Niu J(3)(4), Zhou L(1)("
Enuzovimab,A,PMID,39793935.0,1.50%,1.5,DISCREPANCY,50.0,48.5,"[50.0, 64.0]","Source has [50.0, 64.0], stored=1.5%","1. Int J Antimicrob Agents. 2025 Mar;65(3):107439. doi:  10.1016/j.ijantimicag.2024.107439. Epub 2025 Jan 9.  Population pharmacokinetics and pharmacodynamics of HFB30132A, a monoclonal  antibody agai"
Evinacumab,A,PMID,33446410.0,2%,2.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. J Am Coll Cardiol. 2021 Feb 16;77(6):772-810. doi: 10.1016/j.jacc.2020.11.022.  Epub 2021 Jan 11.  2021 Update to the 2017 ACC Expert Consensus Decision Pathway for Optimization  of Heart Failure T
Evolocumab,B,URL,https://www.sciencedirect.com/topics/medicine-and-dentistry/evolocumab,0.1% (7/4846 subjects),0.1,UNREACHABLE,,,[],URL unreachable: https://www.sciencedirect.com/topics/medicine-and-dentistry/,
Fulranumab,A,PMID,24590506.0,6.0%,6.0,DISCREPANCY,60.0,54.0,[60.0],"Source has [60.0], stored=6.0%",1. AAPS J. 2014 May;16(3):464-77. doi: 10.1208/s12248-014-9581-z. Epub 2014 Mar 5.  Development of a method that eliminates false-positive results due to nerve  growth factor interference in the asses
Garadacimab,A,PMID,33446255.0,<2%,2.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Allergy Asthma Clin Immunol. 2021 Jan 14;17(1):9. doi:  10.1186/s13223-021-00510-z.  Exome sequencing enables diagnosis of X-linked hypohidrotic ectodermal dysplasia  in patient with eosinophilic e
Nivolumab,B,URL,https://aacrjournals.org/clincancerres/article/26/4/787/83087/Antidrug-Antibodies-Against-Immune-Che,"23.8-37.8% (combination therapy), 8.5% (monotherapy)",37.8,UNREACHABLE,,,[],URL unreachable: https://aacrjournals.org/clincancerres/article/26/4/787/8308,
Olaratumab,A,FDA_PI,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/761038lbl.pdf,3.5% (13/370 evaluable patients),3.5,URL_LIVE,,,[],FDA PI URL live; deep parse pending,
Pemivibart,A,PMID,30265425.0,10-15%,15.0,DISCREPANCY,57.0,42.0,"[57.0, 73.0, 86.0, 91.0, 98.0]","Source has [57.0, 73.0, 86.0, 91.0], stored=15.0%","1. Am J Addict. 2018 Dec;27(8):612-617. doi: 10.1111/ajad.12805. Epub 2018 Sep 28.  Expanding access to buprenorphine treatment in rural areas with the use of  telemedicine.  Weintraub E(1), Greenblat"
Ramucirumab,B,URL,https://www.oncologynewscentral.com/drugs/monograph/166215-315007/ramucirumab-intravenous,3% (86/2890 patients),3.0,UNREACHABLE,,,[],URL unreachable: https://www.oncologynewscentral.com/drugs/monograph/166215-3,
Regdanvimab,A,PMID,34183044.0,10%,10.0,UNCERTAIN,,,[],ADA % not found in abstract text,1. Orphanet J Rare Dis. 2021 Jun 28;16(1):288. doi: 10.1186/s13023-021-01904-3.  Gene expression analysis in EBV-infected ataxia-telangiectasia cell lines by  RNA-sequencing reveals protein synthesis 
