antibody_name,ada_value_display,claimed_pcts,verified,matched_pcts,verified_source,verified_snippet
Fremanezumab,0.4%,[0.4],True,[0.4],PMC6955415,Br J Clin Pharmacol Br J Clin Pharmacol 279 brjclinpharm BCP British Journal of Clinical Pharmacology 0306-5251 1365-2125 Wiley PMC6955415 PMC6955415.1 6955415 6955415 31418911 10.1111/bcp.14096 BCP14096 MP-00217-19.R1 1 Original Article Original Articles Population pharmacokinetic modelling and sim
Fulranumab,6.0%,[6.0],False,[],,
Gemtuzumab,"1.1% (2/182 patients), 5% (2/40 phase 1), 0% (0/142 phase 2)","[1.1, 5.0]",False,[],,
Infliximab,"10-40% (Crohn's), 8-17% (RA), 12-44% (AS), 7-18% (PsA)","[40.0, 17.0, 44.0, 18.0]",False,[],,
Itolizumab,15.75%,[15.75],True,[15.75],PMC4407739,"Clin Cosmet Investig Dermatol Clin Cosmet Investig Dermatol 1442 ccid Clinical, Cosmetic and Investigational Dermatology Clinical, Cosmetic and Investigational Dermatology 1178-7015 Dove Press PMC4407739 PMC4407739.1 4407739 4407739 25945063 10.2147/CCID.S47784 ccid-8-215 1 Review Itolizumab – a hum"
Lanadelumab,12%,[12.0],True,[12.0],PMC12259450,pmc Front Mol Biosci Front Mol Biosci 2732 fmolb Front. Mol. Biosci. Frontiers in Molecular Biosciences 2296-889X Frontiers Media SA PMC12259450 PMC12259450.1 12259450 12259450 40666499 10.3389/fmolb.2025.1591644 1591644 1 Molecular Biosciences Original Research Clinicopathologic and proteomic chara
Ofatumumab,0.22% (2/914 patients),[0.22],True,[0.22],PMC10444716,"pmc Neurol Ther Neurol Ther 2709 neurther Neurology and Therapy 2193-8253 2193-6536 Springer PMC10444716 PMC10444716.1 10444716 10444716 37450172 10.1007/s40120-023-00518-0 518 1 Review The Development of Ofatumumab, a Fully Human Anti-CD20 Monoclonal Antibody for Practical Use in Relapsing Multiple"
Olaratumab,3.5% (13/370 evaluable patients),[3.5],False,[],,
Ravulizumab,0.5%,[0.5],True,[0.5],PMC10188401,pmc J Neurol J Neurol 365 springeropen Journal of Neurology 0340-5354 1432-1459 pmc-is-collection-domain yes pmc-collection-title Springer PMC10188401 PMC10188401.1 10188401 10188401 36890354 10.1007/s00415-023-11617-1 11617 1 Original Communication Ravulizumab pharmacokinetics and pharmacodynamics 
Retifanlimab,2.8%,[2.8],False,[],,
Sacituzumab,1.1%,[1.1],False,[],,
Satralizumab,"41% in combination therapy study, 71% in monotherapy study (EMA data)","[41.0, 71.0]",False,[],,
Tralokinumab,"0.5‑1.2% ADA incidence across dosing regimens (asthma trials), 1.4% ADA in atopic dermatitis trials, 0.1% neutralizing antibodies","[1.2, 1.4, 0.1]",True,"[1.2, 1.4, 0.1]",PMC6520328,Drug Saf Drug Saf 365 springeropen Drug Safety 0114-5916 1179-1942 pmc-is-collection-domain yes pmc-collection-title Springer PMC6520328 PMC6520328.1 6520328 6520328 30649752 10.1007/s40264-018-00788-w 788 1 Original Research Article Evaluation of Antibody Properties and Clinically Relevant Immunoge
Trastuzumab,<8% ADA incidence (range consistent with other anticancer biologics),[8.0],False,[],,
